Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
42,lambda-42,6581,8178.6,744.5715546540844,6514.4,638.7333559475347
44,int.neg,713,362.8,16.315636671610456,362.8,16.315636671610456
47,int.+,16981,5311.4,622.5582703651122,5311.4,622.5582703651122
48,int.-,913,504.4,18.994736112934017,504.4,18.994736112934017
49,int.*,400,677.4,66.31591060974733,677.4,66.31591060974733
51,int.%,400,1692.2,79.35174856296491,1692.2,79.35174856296491
52,int.=,1,36.0,7.314369419163897,36.0,7.314369419163897
53,int.<,15303,5218.4,448.240225771851,5218.4,448.240225771851
55,int.>,10000,1505.0,415.14274653424934,1505.0,415.14274653424934
56,int.>=,1426,312.2,15.449919093639295,312.2,15.449919093639295
57,int.&,400,688.8,57.001754358966885,688.8,57.001754358966885
64,list.get,5000,3926.6,187.3507405910102,3926.6,187.3507405910102
65,list.set,100,956.8,56.795246279948465,956.8,56.795246279948465
66,list.put,100,173.8,2.1679483388678826,173.8,2.1679483388678826
67,list.length,5050,971.2,84.1647194494225,971.2,84.1647194494225
86,+,10400,14008.8,885.3014740753572,10361.6,526.4801040875145
87,-,913,1621.2,172.07324022055263,1116.8,159.76764378308891
88,*,400,1742.0,243.36495228360224,1064.6,188.28515607981421
90,%,400,3499.6,268.9066752611396,1807.4,279.53407663467436
91,=,1,68.8,18.99210362229524,32.8,22.286767374386084
93,<,15303,23254.6,2139.75437842758,18036.2,1706.1795626486683
95,>,10000,16749.2,1803.1540976854976,15244.2,2154.351572979675
96,>=,1426,2035.0,229.8107917396396,1722.8,228.16375698169068
97,&,400,2512.4,603.2315475835129,1823.6,557.5861368434477
103,Ball.init-values,100,14061.0,816.4680030472718,1223.4,49.125349871527604
104,Ball.bounce,5000,64215.4,4756.676181957313,22336.0,1207.491407836925
105,Bounce.benchmark,1,151179.8,22082.94438475087,44620.2,22170.010841224233
106,Bounce.verify_result,1,89.4,35.69733883638947,20.6,17.415510328439993
107,Random.next,400,8232.6,797.972931871752,1720.4,171.66624595417704
108,custom_abs,1426,3685.0,329.59596478112417,1287.2,118.66423218476578
