Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
1,base.class,27065,1862.4,282.5089379117057,1862.4,282.5089379117057
5,base.=,89328,5449.0,1282.935111375474,5449.0,1282.935111375474
42,lambda-42,278737,177630.4,21620.46183133006,152015.6,20359.01427623646
43,lambda-43,2003,434.4,86.66198705314804,308.8,59.75951807034591
47,int.+,305749,27534.2,3894.0319336132825,27534.2,3894.0319336132825
48,int.-,19081,2705.0,279.07705029256704,2705.0,279.07705029256704
49,int.*,25133,5516.8,363.549446430606,5516.8,363.549446430606
50,int./,11,913.8,22.39866067424567,913.8,22.39866067424567
52,int.=,270337,16692.8,4417.171402605971,16692.8,4417.171402605971
53,int.<,262125,27669.2,4489.881813589306,27669.2,4489.881813589306
54,int.<=,2006,591.6,143.22290319638125,591.6,143.22290319638125
55,int.>,12027,1562.4,187.46146270633864,1562.4,187.46146270633864
56,int.>=,27045,15689.8,1037.126655717613,15689.8,1037.126655717613
57,int.&,3032,2493.8,107.57183646289575,2493.8,107.57183646289575
59,int.^,3032,2726.4,84.76614890391093,2726.4,84.76614890391093
60,int.>>,3032,1393.2,74.54327602138237,1393.2,74.54327602138237
63,lambda-63,27065,39761.0,11937.775672209627,17817.2,5467.184760002171
64,list.get,194470,76142.0,17644.615510120926,76142.0,17644.615510120926
65,list.set,48041,22435.4,4496.530306803235,22435.4,4496.530306803235
66,list.put,53265,4394.8,614.5316916156562,4394.8,614.5316916156562
67,list.length,48324,3763.2,772.5844290431953,3763.2,772.5844290431953
86,+,27012,25667.2,1303.567489622229,23747.8,1241.9982689198887
87,-,17078,25593.0,7266.897377836019,23013.6,7060.4719955538385
88,*,25133,12857.6,1705.9316516203103,7340.8,1375.0097090566305
89,/,11,925.6,23.373061416938956,11.8,1.6431676725154984
91,=,285400,160380.4,29510.407957193675,105690.0,16864.991906312913
92,!=,101330,99510.6,32119.551900672588,77099.6,24943.626256019794
93,<,262125,294568.6,30358.944782386625,266899.4,28014.719038391228
94,<=,2006,3597.6,296.21833164070046,3006.0,173.10834757457542
95,>,12027,6161.4,1672.7620273069329,4599.0,1559.5121031912513
96,>=,27045,36672.0,5855.403615464949,20982.2,5486.839636803686
97,&,3032,6084.8,349.51852597537663,3591.0,281.921088249886
99,^,3032,3691.2,219.35291199343578,964.8,187.9446727098164
100,not,134407,20494.6,9582.120396864151,20494.6,9582.120396864151
103,vector_with,6021,120523.2,31727.267904753473,26209.6,4840.6882052038845
104,empty_vec,9174,194095.6,28422.806323443856,74136.8,9253.13947803663
106,Vector.init-values,9030,78193.2,15297.002588742671,9449.6,3142.4774939528206
107,Vector.at,1998,6390.4,1785.4220229402345,2260.0,1602.8363921498662
109,Vector.append,25056,362822.6,73606.48475372262,93169.8,27628.308665207867
110,Vector.is_empty,34085,41410.4,12002.149924076104,17478.4,7175.378408139881
111,Vector.for_each,17195,1164623.6,160194.6407820811,235842.0,41493.0799772685
115,Vector.remove_first,14027,83567.2,21015.99484202449,28956.0,9579.759861290888
116,each,4013,9779.8,996.3351343799936,3502.8,765.7641281752495
117,Vector.remove,10,31083.2,3954.125276214703,408.6,105.13705341124984
119,Vector.size,5,10.0,2.8284271247461903,5.4,3.4351128074635335
120,Vector.capacity,10,60.0,47.44470465710583,29.6,39.55123259773328
121,Vector.sort,5,198.6,26.884940022250372,74.0,49.320381182630776
122,Vector._sort,3,32.8,8.78635305459552,8.6,3.0495901363953815
125,Entry.init-values,16,110.4,20.464603587658377,110.4,20.464603587658377
127,_hash,3032,11047.0,1439.3083408359723,4115.8,856.4996789258009
131,Dictionary._get_bucket_idx,3032,13822.6,1249.6420687540895,2875.2,576.9000780031149
132,Dictionary._get_bucket,3016,17311.0,1932.5190814064424,1889.6,597.9241590703624
133,Dictionary.at,3016,48455.6,7524.202270008429,8919.6,2192.2625983216517
135,Dictionary.at_put,16,4950.4,290.44672489115806,922.2,128.38107337142807
142,Dictionary.get_keys,1,2611.8,164.9475674267432,555.8,31.523007470734772
144,_IdEntry.match,3016,4667.8,1120.5568704889545,2276.6,662.1954394285724
145,IdentityDictionary._new_entry,16,839.2,102.17240331909589,728.8,96.8359437399151
146,DeltaBlue.inner_benchmark_loop,1,1919205.8,275629.1107896624,216.8,62.359441947470955
149,lambda,120160,196054.2,56438.969464369206,38034.8,8976.833584287948
150,_Plan.execute,140,603178.2,141987.02448181665,210.6,43.10800389718828
151,_Planner.incremental_add,3009,554026.8,140339.69098654878,8287.6,2247.771741080486
152,_Planner.incremental_remove,5,348994.2,139923.41084571945,25.6,7.733045971672482
