Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
5,base.=,39621,4253.0,26.02883016964074,4253.0,26.02883016964074
43,lambda-43,31,740.6,26.034592372457062,315.4,12.895735729302148
47,int.+,9,62.0,9.027735042633894,62.0,9.027735042633894
48,int.-,31,425.2,14.411800720243116,425.2,14.411800720243116
52,int.=,35,296.4,64.9715322275841,296.4,64.9715322275841
86,+,9,120.8,25.31205246517951,58.8,16.37681287674742
91,=,18797,11138.8,888.1709857904614,8878.4,893.811109798933
92,!=,20859,20146.6,911.4089641867697,14963.0,901.675385047191
100,not,20859,2894.6,152.48376962811483,2894.6,152.48376962811483
103,Element.init-values,31,90.0,14.08900280360537,90.0,14.08900280360537
104,Element.length,10,1406.2,213.10842310898929,216.0,8.746427842267948
105,List.benchmark,1,61307.6,836.495845775698,126.0,13.19090595827292
106,List.make_list,34,19280.2,676.7209173654968,1722.2,49.746356650512624
107,List.is_shorter_than,2809,53994.0,702.6635041042045,24012.6,355.5422619042636
108,List.tail,2809,572680.2,11430.348275533874,3007.0,46.297948118680154
109,List.verify_result,1,14.0,2.5495097567963922,1.0,0.0
