Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
42,lambda-42,8660,10843.0,566.0463761919161,8783.4,578.379027973871
43,lambda-43,5039,5633.8,297.1593848425454,4440.8,293.9025348648766
47,int.+,8660,2059.6,74.88190702699822,2059.6,74.88190702699822
48,int.-,8659,2486.4,83.34146626979873,2486.4,83.34146626979873
52,int.=,8661,1647.8,123.82124211943602,1647.8,123.82124211943602
56,int.>=,8659,1560.8,338.1430170800515,1560.8,338.1430170800515
64,list.get,20156,8971.8,1440.9599925049965,8971.8,1440.9599925049965
65,list.set,20156,9655.4,1674.6115370437408,9655.4,1674.6115370437408
87,-,3620,3440.8,180.0352743214507,2147.4,97.27692429348289
91,=,1,102.4,32.02030605725061,99.8,32.76736181019156
92,!=,8660,14487.8,955.777275310519,11377.2,875.1649558797474
96,>=,8659,13779.8,1475.2280162740942,12219.0,1143.1902728767418
100,not,8660,1465.4,79.10309728449324,1465.4,79.10309728449324
103,Permute.benchmark,1,129607.2,8205.720242611245,114.0,19.06567596493762
104,Permute._permute,8660,733667.8,46269.15543534375,44823.2,2209.4764538233935
105,Permute._swap,10078,36484.8,3163.8435011864917,17857.6,498.6745431641763
106,Permute.verify_result,1,269.4,80.21720513705274,167.0,49.97499374687305
