Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
5,base.=,8205,1184.6,79.80162905605373,1184.6,79.80162905605373
42,lambda-42,8191,9735.6,817.7018405262396,7881.2,748.4598853646065
43,lambda-43,8204,7719.2,793.9579333944589,6055.0,711.0900083674359
47,int.+,8191,1854.4,124.86112285255166,1854.4,124.86112285255166
48,int.-,16394,4849.8,517.5062318465353,4849.8,517.5062318465353
52,int.=,8192,1486.0,69.03984356876832,1486.0,69.03984356876832
56,int.>=,8092,1551.2,59.491175816250255,1551.2,59.491175816250255
64,list.get,16396,11146.2,1635.547064440519,11146.2,1635.547064440519
65,list.set,16396,10617.2,1040.615058511071,10617.2,1040.615058511071
87,-,8190,12384.2,1784.4976043693644,9198.6,1331.7369484999656
91,=,8192,16745.8,2460.7849763845684,15259.8,2424.165361521363
92,!=,8205,8557.2,377.9824069979975,6212.8,317.46999858254316
96,>=,8092,5257.0,183.4598048619915,3705.8,143.55730563088733
100,not,8205,1159.8,41.487347468836816,1159.8,41.487347468836816
103,_TowersDisk.init-values,14,34.0,2.5495097567963927,34.0,2.5495097567963927
104,Towers._push_disk,8205,43612.6,2091.3606336545595,17891.8,708.7691443622529
105,Towers._pop_disk_from,8191,20620.0,1600.8538346769828,11646.8,471.0713321780474
106,Towers._move_top_disk,8191,97076.4,6571.174499280933,24532.4,2735.81931055397
107,Towers._build_tower_at,1,3393.8,57.26866507960528,812.6,29.68669735757078
108,Towers._move_disks,8191,1830119.4,141264.2238601126,21717.8,1139.5473662818936
109,Towers.benchmark,1,158890.2,12003.310155952815,127.8,19.967473550752484
110,Towers.verify_result,1,151.0,46.42736262162648,115.6,45.164145071062734
