Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
42,lambda-42,6581,27074.74,402.8443670719907,21839.02,318.581325278692
44,int.neg,713,551.5,13.613093936743887,551.5,13.613093936743887
47,int.+,16981,16851.74,237.72130913388216,16851.74,237.72130913388216
48,int.-,913,721.62,18.52619766708756,721.62,18.52619766708756
49,int.*,400,365.16,16.103441133078686,365.16,16.103441133078686
51,int.%,400,414.54,15.070189522527516,414.54,15.070189522527516
52,int.=,1,2.06,0.31363569143000225,2.06,0.31363569143000225
53,int.<,15303,19372.86,245.50589252664713,19372.86,245.50589252664713
55,int.>,10000,7016.1,104.16318633641717,7016.1,104.16318633641717
56,int.>=,1426,999.34,27.530769428153004,999.34,27.530769428153004
57,int.&,400,368.54,17.376044969310776,368.54,17.376044969310776
64,list.get,5000,6151.48,82.21878230225323,6151.48,82.21878230225323
65,list.set,100,133.8,6.981023841640351,133.8,6.981023841640351
66,list.put,100,108.78,25.711341101243427,108.78,25.711341101243427
67,list.length,5050,3863.22,72.32502883454916,3863.22,72.32502883454916
86,+,10400,46287.4,569.934117209335,34671.38,424.1946458302123
87,-,913,3448.98,63.96698446887123,2727.36,54.273968654129135
88,*,400,1816.48,67.40170166809668,1451.32,55.94875206063899
90,%,400,2567.2,99.04565016358121,2152.66,87.35632168753162
91,=,1,8.02,0.5146823867043377,5.96,0.5329930887479323
93,<,15303,79046.68,1045.7019015660092,59673.82,810.8437452331214
95,>,10000,57788.54,714.764388466863,50772.44,621.7451462928954
96,>=,1426,5862.52,88.24415110409078,4863.18,71.72757133624361
97,&,400,2487.5,92.80487539972883,2118.96,80.17174422094473
103,Ball.init-values,100,14083.42,510.5389345323915,1370.4,49.240766253425505
104,Ball.bounce,5000,201841.02,2517.6248159480842,47382.18,600.4227316938388
105,Bounce.benchmark,1,335356.1,4254.788520848343,42270.16,559.0268643831369
106,Bounce.verify_result,1,10.84,0.5841442371503106,2.82,0.6288960200872897
107,Random.next,400,8878.8,320.79238629063633,2109.8,79.1338313574297
108,custom_abs,1426,11448.76,157.86994906037873,5034.74,76.72979625056362
