Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
1,base.class,3127,2079.06,27.80134338260577,2079.06,27.80134338260577
5,base.=,144072,94751.66,720.9769338776879,94751.66,720.9769338776879
42,lambda-42,47203,166450.96,1170.4456845185784,132606.72,915.5799108003756
43,lambda-43,5322,19185.42,142.7238077761467,15208.48,114.53494966112964
47,int.+,47203,33844.24,283.3031519739364,33844.24,283.3031519739364
48,int.-,6523,4880.4,57.96128193959855,4880.4,57.96128193959855
49,int.*,604,506.48,11.287052361906017,506.48,11.287052361906017
52,int.=,2666,1847.8,34.86826520444268,1847.8,34.86826520444268
53,int.<,41584,60235.22,422.7326694211342,60235.22,422.7326694211342
56,int.>=,3127,5992.0,47.941716315389755,5992.0,47.941716315389755
57,int.&,1200,1716.76,23.29803355107332,1716.76,23.29803355107332
63,lambda-63,3127,27022.52,203.89815785217465,9458.48,78.58629469752162
64,list.get,156,174.96,5.390694930779765,174.96,5.390694930779765
65,list.set,4737,6657.48,49.77592238200723,6657.48,49.77592238200723
66,list.put,13984,9436.5,94.5747194075689,9436.5,94.5747194075689
67,list.length,3885,2816.54,38.03554191778498,2816.54,38.03554191778498
79,str.length,29082,20096.26,172.9168503728224,20096.26,172.9168503728224
82,str.char-at,25820,23279.18,165.7050108241902,23279.18,165.7050108241902
83,str.substring,2661,7148.98,65.17558388456433,7148.98,65.17558388456433
87,-,1201,5585.92,45.701266003095675,4682.46,41.579631002279385
88,*,604,3039.08,29.262248438448278,2532.6,26.41196389393823
91,=,120475,384647.3,2782.816120627541,280443.3,2030.8440011834587
92,!=,29390,145858.76,1085.2451723373981,88377.32,671.2754670424506
93,<,41584,276500.84,1832.249418900497,216265.62,1445.0790373130553
96,>=,3127,18464.16,128.06668543523466,12472.16,95.91926026505803
97,&,1200,6782.58,53.9758411566826,5065.82,42.7640369603112
100,not,37951,49140.56,386.1016129339585,49140.56,386.1016129339585
104,empty_vec,1027,195518.96,1429.7515691153278,52491.84,388.0641310349585
107,Vector.at,4,86.52,2.9363311830116383,21.06,2.216910886244871
109,Vector.append,3989,237258.58,1650.0096733173457,28316.66,207.65233994760126
119,Vector.size,599,4038.62,38.71449130150996,1417.38,25.434902903574944
125,Json.benchmark,1,1700958.62,11761.159633041198,31.24,2.4458210924608794
126,Json.verify_result,1,270.0,9.752027523357729,19.46,1.5934816200601085
137,_JsonLiteral.init-values,3,53.46,2.689435112526384,21.34,2.056448295444535
143,_Parser.init-values,1,1.94,1.8003401039236777,1.94,1.8003401039236777
144,_Parser.parse,1,1700925.44,11760.56358874431,14.08,2.4812768273365937
145,_Parser._read_value,3392,8188566.34,56301.35502795732,24598.72,192.01637260124136
146,_Parser._read_array_element,2793,4233814.02,29243.537560295452,18511.74,463.55739842294923
147,_Parser._read_array,553,4357539.56,30094.51615525292,13130.82,102.78125970690762
148,_Parser._read_object_key_value_pair,598,2979356.36,20504.403572592822,6007.74,59.30268603890199
149,_Parser._read_object,157,3075060.28,21180.73659377068,69484.4,532.8008013109115
150,_Parser._read_name,598,237137.98,1683.110440432794,1921.86,26.670330530614812
151,_Parser._read_null,590,72457.08,493.48071690713857,2927.96,38.03594433196693
152,_Parser._read_true,26,3784.0,65.70558948670887,172.52,5.4106471000072025
153,_Parser._read_false,3,485.38,8.535376562356491,21.3,1.9717391059774658
154,_Parser._read_required_char,1860,60992.4,412.1017310503488,5690.34,46.68592848350938
155,_Parser._read_string,1351,402005.88,2694.857132557853,8644.88,68.17104538270944
156,_Parser._read_string_internal,1949,623763.9,4238.479975179787,48052.58,341.3231211934282
159,_Parser._read_number,712,205389.26,1370.6215007679355,11099.04,78.01647131162999
160,_Parser._read_fraction,712,8260.38,60.96800432210651,2226.1,22.607791685566202
161,_Parser._read_exponent,712,15455.98,115.66497891297428,3482.76,39.96966196443261
162,_Parser._read_char,10116,199058.9,1362.196414408942,28194.94,202.73229659240943
163,_Parser._read_digit,2543,111735.64,782.3872875725284,9462.94,87.76973817196622
164,_Parser._skip_white_space,8690,157919.38,1164.7354589724446,18764.34,150.21598192099876
165,_Parser._read,25821,585886.26,3889.1854391375896,194713.54,1327.2021701339063
166,_Parser._start_capture,2661,3609.66,40.232797058912986,3609.66,40.232797058912986
168,_Parser._end_capture,2661,88311.84,605.4627294348473,30595.64,211.416482279863
171,_Parser._is_white_space,8690,139155.04,1029.6373040829426,44197.66,340.8935802581567
172,_Parser._is_digit,2543,60787.42,442.1168969992495,17905.22,135.77521790046356
173,_Parser._is_end_of_text,1,5.54,0.5034574339058885,2.92,0.6337449432233954
174,_HashIndexTable.add,598,30716.64,214.16680129168006,4504.04,42.86283771687145
175,_HashIndexTable.get,2,80.3,3.598469062231429,11.2,1.678191446352961
176,_HashIndexTable._string_hash,600,5312.16,42.00406199988043,1874.44,24.10450038427494
177,_HashIndexTable._hash_slot_for,600,15925.58,113.20382376176903,3411.84,38.82370409942875
178,_JsonArray.add,2793,184600.66,1289.3297200246243,9640.04,90.74767889312545
179,_JsonArray.size,1,9.84,0.5095015571464859,3.38,0.7529533687488252
181,_JsonArray.is_array,1,1.4,0.49487165930539345,1.4,0.49487165930539345
182,_JsonArray.as_array,1,1.28,0.4535573676110727,1.28,0.4535573676110727
183,_JsonNumber.init-values,712,24446.34,310.1555639957969,1646.68,20.812515857688368
186,_JsonObject.add,598,116037.96,828.3876880016094,5205.12,48.41387893434468
187,_JsonObject.get,2,224.38,8.580685477588963,11.88,1.1890658312391322
190,_JsonObject.is_object,2,2.96,0.7273098320775918,2.96,0.7273098320775918
191,_JsonObject.as_object,1,1.36,0.4848732213850611,1.36,0.4848732213850611
192,_JsonObject.index_of,2,157.94,5.908865701431286,12.88,1.2394863979133632
193,_JsonString.init-values,1351,1814.2,24.575581044473182,1814.2,24.575581044473182
