Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
42,lambda-42,8660,36080.4,434.47650884103535,28965.74,348.0933964513852
43,lambda-43,5039,19732.2,246.1399966669043,15591.74,197.12409952170975
47,int.+,8660,7114.66,100.50761165205338,7114.66,100.50761165205338
48,int.-,8659,7017.88,98.07548945915626,7017.88,98.07548945915626
52,int.=,8661,6164.24,92.38772778295795,6164.24,92.38772778295795
56,int.>=,8659,6144.6,83.03331025705835,6144.6,83.03331025705835
64,list.get,20156,21893.66,272.9150731323889,21893.66,272.9150731323889
65,list.set,20156,21898.92,267.0776727195784,21898.92,267.0776727195784
87,-,3620,12366.02,159.49748766494267,9488.6,129.19436393848366
91,=,1,8.06,0.6197431989566818,6.28,0.7570080742566726
92,!=,8660,57247.74,712.9229803550777,39587.62,491.6014185230533
96,>=,8659,44298.82,534.7523435942952,38154.22,471.29865266092133
100,not,8660,11497.66,161.11937645543375,11497.66,161.11937645543375
103,Permute.benchmark,1,374118.26,4471.540832958626,16.72,3.0973326246554627
104,Permute._permute,8660,2159062.66,25721.540229543058,106394.22,1230.9184606360775
105,Permute._swap,10078,97982.14,1194.297641943172,54189.56,678.5798844585921
106,Permute.verify_result,1,11.12,0.558423436734059,3.06,0.6197431989566818
