Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
42,lambda-42,9810,38031.42,505.799834975482,30355.98,398.6821397698032
47,int.+,19930,15789.96,222.55620340370072,15789.96,222.55620340370072
48,int.-,4580,3730.12,57.09056178474653,3730.12,57.09056178474653
52,int.=,1130,786.92,21.0701839826145,786.92,21.0701839826145
53,int.<,9821,6964.36,115.09512658347136,6964.36,115.09512658347136
64,list.get,14520,28095.84,350.3058348917183,28095.84,350.3058348917183
65,list.set,7670,17388.18,217.27680924740864,17388.18,217.27680924740864
86,+,10120,47396.42,606.6371705844382,39281.9,503.2816085960438
87,-,4580,15169.5,209.25438575853974,11439.38,161.92576908533619
91,=,1130,4170.28,63.49000885564436,3383.36,53.50863367299735
93,<,9821,54004.36,676.6863669261212,47040.0,585.369201479559
103,Queens.benchmark,1,308892.5,3944.364495772437,65.18,3.629190048504384
105,Queens.queens,10,308703.26,3942.1447483235142,85.4,5.917804336345137
106,Queens.place_queen,1130,1723137.2,21928.951445753253,51374.2,644.2177347728938
107,Queens.get_row_column,8760,100303.92,1308.387320797816,35795.76,507.27409006273865
108,Queens.set_row_column,2180,59407.1,766.0598966831004,17315.96,232.30442377648026
