Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
5,base.=,365787,243390.7,1769.4929545851664,243390.7,1769.4929545851664
7,bool.not,124293,91295.06,1323.7927948411934,91295.06,1323.7927948411934
42,lambda-42,60497,236404.64,1779.73374252603,193529.14,1445.5524049684989
43,lambda-43,10000,35081.12,339.2419905661225,27734.56,307.3488452118552
47,int.+,69805,59745.14,655.4112281302353,59745.14,655.4112281302353
48,int.-,19308,13994.22,117.20822044027253,13994.22,117.20822044027253
50,int./,9999,8094.58,271.6547997074258,8094.58,271.6547997074258
52,int.=,33955,45374.88,560.4901149704546,45374.88,560.4901149704546
53,int.<,11682,8067.74,280.5792703297512,8067.74,280.5792703297512
55,int.>,34066,23522.42,495.5768475592204,23522.42,495.5768475592204
56,int.>=,20310,14217.76,282.86605757957614,14217.76,282.86605757957614
57,int.&,9999,7872.68,79.190403459005,7872.68,79.190403459005
59,int.^,4992,3825.92,45.07537451597162,3825.92,45.07537451597162
64,list.get,42545,43548.84,570.7221118719611,43548.84,570.7221118719611
65,list.set,9314,19342.12,222.85720146519384,19342.12,222.85720146519384
66,list.put,38,39.12,4.99648856289932,39.12,4.99648856289932
86,+,9308,36253.74,290.9143088643814,19384.1,144.49634555085115
87,-,9308,32120.92,262.80316526531664,25473.26,231.45571357592092
89,/,9999,35838.46,437.9541589094941,27743.88,322.8900514201731
91,=,269885,766075.88,4999.928965372981,563615.94,3755.2208196709053
92,!=,129857,631659.7,4429.52519798588,377810.48,2690.224899482562
93,<,11682,49282.16,543.4598669071855,41214.42,445.18059119362965
95,>,34066,110563.06,1015.0243469483702,87040.64,757.7516894452589
96,>=,20310,73681.06,1100.8957282548595,59463.3,1042.886873353119
97,&,9999,57170.9,567.9022354064053,49298.22,516.6152513807391
99,^,4992,23194.36,226.39731735628516,19368.44,208.84396675264426
100,not,129857,167543.58,1425.0893003168426,167543.58,1425.0893003168426
103,Richards.benchmark,1,4269498.58,28941.114220606727,168.98,22.034749921014136
105,_RBObject.append,20114,141796.58,1134.3832647868876,59199.44,419.3923281343608
106,fn,27884,653111.42,4403.323703332135,104302.96,894.618627216794
107,_Scheduler.create_device,2,108.6,11.387425933359786,12.9,1.6567733578204575
108,fn,23252,1086647.98,7683.87421278871,176240.7,1484.3585744526235
109,_Scheduler.create_handler,2,113.66,11.796938378326846,18.72,2.119299075503165
110,fn,10000,495407.48,3813.3271039385772,80486.34,920.639276784987
111,_Scheduler.create_idler,1,72.82,9.797313251028342,11.62,2.6255417322440526
112,_Scheduler.create_packet,8,761.06,85.51104714405896,745.54,83.65288094139923
113,_Scheduler.create_task,6,307.06,29.165544390459036,188.84,18.91264559138426
114,fn,4654,435988.2,3462.1146893840746,90511.96,979.6395830370784
115,_Scheduler.create_worker,1,63.1,8.72540274492957,7.88,1.1183077594731958
116,_Scheduler.start,1,4269329.6,28935.455913082842,61.68,5.811459474563151
117,_Scheduler.find_task,33245,225529.06,1533.0252791557616,100439.26,813.3003263348197
118,_Scheduler._hold_self,9297,112176.02,876.4949559210844,47049.98,422.05906782664186
119,_Scheduler.queue_packet,23246,741118.3,5062.551946823424,173702.64,1539.0274129979605
120,_Scheduler.release,9999,185991.6,1511.0293153465705,49787.4,511.9043676631919
122,_Scheduler.mark_waiting,23248,82703.62,809.1721365263448,51881.1,568.2939829176512
123,_Scheduler.schedule,1,4268041.52,28904.651023413327,276919.26,2183.648358942025
124,_HandlerTaskDataRecord.device_in_add,9300,71757.5,567.6510587410155,21248.96,317.93055075289857
125,_HandlerTaskDataRecord.work_in_add,2327,20189.94,285.7010289781675,5294.88,49.489904144632234
126,_Packet.init-values,8,15.52,2.09216224445975,15.52,2.09216224445975
127,_TaskState.is_packet_pending,6,10.08,2.3890908526133567,10.08,2.3890908526133567
128,_TaskState.is_task_waiting,6,10.16,1.7304004491116254,10.16,1.7304004491116254
129,_TaskState.is_task_holding,6,9.84,1.3606721028332185,9.84,1.3606721028332185
130,_TaskState.set_task_holding,19296,25747.3,531.2745264446432,25747.3,531.2745264446432
131,_TaskState.set_task_waiting,23248,30822.52,437.9270855346789,30822.52,437.9270855346789
132,_TaskState.packet_pending,8490,12994.18,94.22458841101117,12994.18,94.22458841101117
133,_TaskState.running,14761,22706.84,155.0480320574819,22706.84,155.0480320574819
134,_TaskState.waiting,2,5.16,1.6457738084473907,5.16,1.6457738084473907
135,_TaskState.waiting_with_packet,3,6.96,1.0682810911908525,6.96,1.0682810911908525
136,_TaskState.is_task_holding_or_waiting,106604,310785.24,2089.114953314747,244860.58,1460.4076183849281
137,_TaskState.is_waiting_with_packet,65790,131995.92,1015.3625438778998,106625.52,677.3832074947826
138,_TaskState_with_running,1,18.28,2.6576036466819386,14.72,2.204263031084104
139,_TaskState_with_waiting,2,27.98,3.733412292653836,22.82,2.9463917746620045
140,_TaskState_with_waiting_with_packet,3,49.98,6.355104006920383,43.02,5.6622271525019725
141,_TaskControlBlock.init-values,6,97.86,8.985271394944972,67.78,7.360373770455976
142,_TaskControlBlock.add_input_and_check_priority,23246,266640.0,1924.4915151376367,86827.42,717.3267291315238
143,_TaskControlBlock.run_task,65790,3161718.84,22039.43724360248,259403.6,2505.468126041967
144,empty_vec,9,765.08,85.76518488743268,237.46,25.539253500988533
