Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
5,base.=,4999,3332.96,43.48584569156042,3332.96,43.48584569156042
42,lambda-42,15668,58313.22,516.2182061168809,45951.78,405.1090198442686
43,lambda-43,16068,65132.58,718.7624026259117,52402.32,576.68958296647
47,int.+,27406,21585.46,218.99950703513636,21585.46,218.99950703513636
48,int.-,16068,12730.26,158.43105884946718,12730.26,158.43105884946718
52,int.=,1,2.18,0.38808793449160367,2.18,0.38808793449160367
53,int.<,10001,15262.6,122.15012509704798,15262.6,122.15012509704798
54,int.<=,11738,8148.6,135.7775792257624,8148.6,135.7775792257624
64,list.get,4999,15556.56,147.24215234969728,15556.56,147.24215234969728
65,list.set,11069,36519.24,548.1148233644435,36519.24,548.1148233644435
66,list.put,5000,3796.76,69.6374166373105,3796.76,69.6374166373105
86,+,11738,48244.26,645.9281507399777,39020.24,525.6328570477342
91,=,5000,14197.66,137.7906738350542,10862.52,115.0943251140967
93,<,10001,76959.36,756.3251044844859,61696.76,668.1267923173303
94,<=,11738,67376.2,935.7015920622099,59227.6,821.6705482101212
103,Sieve.benchmark,1,517360.74,4990.54997504978,14.9,2.34955488619979
104,Sieve._sieve,1,517345.84,4989.929917957014,131255.9,1206.3498874789213
105,Sieve.verify_result,1,8.5,0.6468132241526726,2.6,0.6060915267313264
