Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
42,lambda-42,33341,123134.38,1179.5706048544685,98129.5,915.868256500521
47,int.+,41533,31416.28,353.8152429198737,31416.28,353.8152429198737
48,int.-,5460,4238.1,56.94546263123798,4238.1,56.94546263123798
49,int.*,4096,3311.5,41.6772095505249,3311.5,41.6772095505249
51,int.%,4096,3684.66,50.921151533222336,3684.66,50.921151533222336
52,int.=,5462,3881.8,53.96484116193294,3881.8,53.96484116193294
53,int.<,33341,29217.8,298.0696398563286,29217.8,298.0696398563286
57,int.&,4096,3381.64,48.26193835599181,3381.64,48.26193835599181
65,list.set,5460,6089.2,64.73777561699765,6089.2,64.73777561699765
66,list.put,22420,15545.74,169.8076715172857,15545.74,169.8076715172857
86,+,8192,60671.6,575.5126906879256,54260.2,519.5609213753554
87,-,5460,17514.52,186.80648505108942,13276.42,145.89527835025348
88,*,4096,16114.88,153.8343450412999,12803.38,131.56032061067532
90,%,4096,22602.32,212.99108345809427,18917.66,178.24537203827018
91,=,5462,29242.6,279.090212903956,25360.8,241.62595481614974
93,<,33341,169775.44,1565.5306743225751,140557.64,1293.7678049253004
97,&,4096,22382.78,211.6286013230706,19001.14,174.1822889846098
103,Random.next,4096,79261.78,715.597261319636,18769.98,179.49014980647573
104,Storage.benchmark,1,701748.98,6407.2728080148645,22.78,2.8805470002081486
105,Storage._build_tree_depth,5461,4732595.92,43146.39862136182,199888.24,1792.0902122883156
106,Storage.verify_result,1,7.74,0.48697315854455175,2.26,0.8283250865328129
