Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
5,base.=,8205,5635.32,79.68495107968285,5635.32,79.68495107968285
42,lambda-42,8191,33769.84,362.3459481247839,27257.1,300.08408685512353
43,lambda-43,8204,29632.68,361.3953931694225,22813.6,291.88430752541575
47,int.+,8191,6512.74,80.05987810153505,6512.74,80.05987810153505
48,int.-,16394,17156.0,207.81212079910188,17156.0,207.81212079910188
52,int.=,8192,5981.76,82.87649035197641,5981.76,82.87649035197641
56,int.>=,8092,5788.48,89.55336796729483,5788.48,89.55336796729483
64,list.get,16396,22868.68,261.8195702137997,22868.68,261.8195702137997
65,list.set,16396,18970.9,208.13969504412458,18970.9,208.13969504412458
87,-,8190,40227.26,464.9329032127067,29890.34,362.8370978715335
91,=,8192,47623.98,526.1365730201499,41642.22,473.0657843540691
92,!=,8205,43990.1,519.1464049725453,27612.28,357.4614030827353
96,>=,8092,23902.92,294.3261997117051,18114.44,226.18731265958175
100,not,8205,10742.5,124.39490277633861,10742.5,124.39490277633861
103,_TowersDisk.init-values,14,52.6,10.60996835864408,52.6,10.60996835864408
104,Towers._push_disk,8205,138342.36,1562.2951948714365,47941.82,530.9470818014432
105,Towers._pop_disk_from,8191,47754.28,518.3813913893658,28668.24,320.9574680958998
106,Towers._move_top_disk,8191,283351.82,3083.4169536077857,64138.1,709.0356558202768
107,Towers._build_tower_at,1,1513.76,314.4171517365464,394.76,81.47506442126316
108,Towers._move_disks,8191,5480105.94,59859.807206781625,64339.46,719.7381669604525
109,Towers.benchmark,1,466536.06,5196.271337473923,22.32,4.608953132718083
110,Towers.verify_result,1,12.12,0.5584234367340588,4.52,0.677329690921697
