Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,18,27164643.15,140824.8381602873,10273214.7,51370.20308874549
48,int.+,3999999,2825807.85,15342.497632650731,2825807.85,15342.497632650731
52,int.%,999999,772725.0,3684.8162847870203,772725.0,3684.8162847870203
53,int.=,9,7.55,1.3945382182304162,7.55,1.3945382182304162
54,int.<,1000004,700015.65,4234.405796566977,700015.65,4234.405796566977
65,list.get,1000002,2648938.55,25120.431731277786,2648938.55,25120.431731277786
68,list.length,4,3.35,0.812727700887249,3.35,0.812727700887249
87,+,2999997,12074496.8,68346.14140080569,9943842.5,60864.761700796495
92,=,9,36.15,1.8994459025837263,28.6,2.036508880671192
104,check-benchmark-result,1,86.2,3.2379330639029265,33.75,1.9432745018328426
105,A.init,3,25.65,3.8970299081817634,25.65,3.8970299081817634
