Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,20,638066.5,3798.635371315668,92.85,4.923359999452665
43,lambda-43,33341,109039.5,659.901866707627,82891.55,513.3174328250562
48,int.+,41533,32792.95,235.19879049993398,32792.95,235.19879049993398
49,int.-,5460,4431.45,31.631887641895005,4431.45,31.631887641895005
50,int.*,4096,3398.45,41.357841489028154,3398.45,41.357841489028154
52,int.%,4096,3999.2,46.140061369247164,3999.2,46.140061369247164
53,int.=,5462,3989.2,50.71654977472959,3989.2,50.71654977472959
54,int.<,33341,30673.45,163.77503022840764,30673.45,163.77503022840764
58,int.&,4096,3476.9,33.27224226383242,3476.9,33.27224226383242
66,list.set,5460,6374.15,38.825215626201604,6374.15,38.825215626201604
67,list.put,22420,15764.2,120.64763831745292,15764.2,120.64763831745292
87,+,8192,41732.55,284.43618746010895,35087.55,279.7857215799259
88,-,5460,15055.55,93.31636907232362,10624.1,81.39759468837293
89,*,4096,14702.8,110.09307067443565,11304.35,85.23174291307201
91,%,4096,28367.75,176.99297488288815,24368.55,183.60526164917823
92,=,5462,27692.9,192.76025469342414,23703.7,176.38000244687035
94,<,33341,180299.1,1259.6465627936634,149625.65,1226.7127779042987
98,&,4096,21324.45,182.25386430095622,17847.55,175.28367234136056
104,Random.next,4096,70539.1,470.42264311775426,13645.15,103.71432170301163
105,Random.init,1,2.5,0.6069769786668839,2.5,0.6069769786668839
106,Storage.benchmark,1,637962.55,3797.4688311669142,21.55,2.3725402775129134
107,Storage._build_tree_depth,5461,4302797.5,25667.932509569066,163946.2,899.4478189130067
108,Storage.verify_result,1,7.45,3.6917404253848964,1.65,0.5871429486123998
109,Storage.init,1,3.65,0.5871429486123998,3.65,0.5871429486123998
