Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
1,base.class,27065,17511.38,93.82351865636471,17511.38,93.82351865636471
5,base.=,89328,59305.48,502.006433002118,59305.48,502.006433002118
42,lambda-42,278737,1073701.36,2571.6147294520874,882069.86,2389.3141276124093
43,lambda-43,2003,5380.14,29.288160176607352,3981.46,37.452124541246825
47,int.+,305749,210697.2,1181.3239718767252,210697.2,1181.3239718767252
48,int.-,19081,13887.9,318.81465730779337,13887.9,318.81465730779337
49,int.*,25133,20277.12,76.18576652110376,20277.12,76.18576652110376
50,int./,11,9.28,1.3099306727254456,9.28,1.3099306727254456
52,int.=,270337,185445.72,880.1260123135846,185445.72,880.1260123135846
53,int.<,262125,204203.42,1328.1511637903047,204203.42,1328.1511637903047
54,int.<=,2006,1398.18,20.26527138949282,1398.18,20.26527138949282
55,int.>,12027,8166.9,52.630498646270645,8166.9,52.630498646270645
56,int.>=,27045,60259.38,296.99308656833716,60259.38,296.99308656833716
57,int.&,3032,42827.96,124.29818656630985,42827.96,124.29818656630985
59,int.^,3032,5956.56,25.409430998616855,5956.56,25.409430998616855
60,int.>>,3032,2706.0,20.84735582509106,2706.0,20.84735582509106
63,lambda-63,27065,225857.78,871.4087185092172,78448.98,384.7737999693544
64,list.get,194470,252490.3,977.3889466641326,252490.3,977.3889466641326
65,list.set,48041,59922.14,494.84303881253527,59922.14,494.84303881253527
66,list.put,53265,35299.52,487.5885786611669,35299.52,487.5885786611669
67,list.length,48324,32625.82,423.17631246156924,32625.82,423.17631246156924
86,+,27012,114216.34,220.12293503997236,95150.64,154.42503762310207
87,-,17078,104332.84,462.7270699067542,91843.62,337.80769133714176
88,*,25133,78021.58,127.04652691041824,57744.46,128.92953462244088
89,/,11,49.6,1.7496355305594133,40.32,1.76635217326557
91,=,285400,1091776.14,2084.6684463051583,691691.7,1150.9805269722747
92,!=,101330,565807.76,1297.6722104269106,366064.78,877.4428823785289
93,<,262125,1447248.78,1815.4141854954007,1243045.36,1940.9501435101174
94,<=,2006,10247.68,38.162616604767194,8849.5,35.00043731505213
95,>,12027,32568.0,64.51071735038519,24401.1,86.3094220032247
96,>=,27045,217892.68,498.3595309019552,157633.3,380.7109487926593
97,&,3032,55174.02,124.58690762283395,12346.06,42.34330537645943
99,^,3032,12226.44,37.778170999687234,6269.88,49.44906263943104
100,not,134407,171402.66,754.6197477362144,171402.66,754.6197477362144
103,vector_with,6021,428949.76,534.7476444691599,82260.62,137.02910312061874
104,empty_vec,9174,837029.86,1509.7035796365308,270978.22,1055.7514644526389
106,Vector.init-values,9030,246347.64,496.6142822212434,28464.48,102.53824373652715
107,Vector.at,1998,42294.88,116.3821362265409,9125.1,49.07231232308789
109,Vector.append,25056,1918885.0,2196.354855905839,406305.38,1137.1557768469213
110,Vector.is_empty,34085,178558.92,741.6125794235045,72957.26,362.3295833061042
111,Vector.for_each,17195,5444991.88,6114.88867734532,935472.62,1867.0623426732818
115,Vector.remove_first,14027,355706.0,1056.3107535963438,75432.86,454.704479495715
116,each,4013,51317.4,156.32919217641614,18087.78,81.19949984765994
117,Vector.remove,10,149453.44,420.02075556101187,173.06,3.4841331308475256
119,Vector.size,5,33.56,1.1807987611298192,13.14,1.927354113169404
120,Vector.capacity,10,153.36,1.8043032461539337,40.28,2.6344654416532594
121,Vector.sort,5,175.26,3.3613044115252,36.12,3.0748485942483446
122,Vector._sort,3,70.84,1.2013597738073503,16.84,1.7185660847797217
125,Entry.init-values,16,27.36,3.141298314716515,27.36,3.141298314716515
127,_hash,3032,42128.54,74.66064996409612,14869.44,55.90559097300412
131,Dictionary._get_bucket_idx,3032,83653.56,123.18000102720295,11908.96,37.467787525297005
132,Dictionary._get_bucket,3016,99252.22,129.69812517329893,9072.6,43.90248935343593
133,Dictionary.at,3016,255108.44,280.097735129168,24533.66,56.38628071668904
135,Dictionary.at_put,16,1349.2,21.387579840378628,212.66,7.358488087832684
142,Dictionary.get_keys,1,950.54,30.846036360992525,135.6,7.899883750113424
144,_IdEntry.match,3016,26191.46,57.02316392914127,9509.16,40.01752677239759
145,IdentityDictionary._new_entry,16,197.52,6.389532255883804,170.16,6.389915524337025
146,DeltaBlue.inner_benchmark_loop,1,8898935.78,9311.713039291868,7.7,0.7889543583705186
149,lambda,120160,1161576.06,1811.2446775741969,299395.94,987.8635039563828
150,_Plan.execute,140,3172513.1,3441.470759689217,355.28,7.033563848303589
151,_Planner.incremental_add,3009,2126907.26,2634.132446811831,20764.42,62.280173410162575
152,_Planner.incremental_remove,5,1280528.54,1514.2607034322687,59.46,2.6742155057939088
153,each,5,704.96,6.546412009954888,27.12,2.144190061633569
154,_Planner.extract_plan_from_constraints,5,1274938.18,1553.8649993891102,49.26,1.382248980791071
155,_Planner._make_plan,5,1274090.98,1552.138084142306,56703.26,137.27282680702623
157,each,19032,767925.94,1684.3552561676279,102458.5,198.88405503443258
158,_Planner._add_constraints_consuming_to,11020,1095138.24,2258.7763308156577,30353.42,76.89406707295628
159,_Planner.add_propagate,6011,1667177.12,2132.7298654971764,124973.84,210.68744235797897
160,_Planner.change,4,3087429.3,2784.051087746691,234.62,5.356247544232999
161,each,6007,448262.14,601.6722617939421,18145.88,57.05051109610248
162,_Planner._constraints_consuming,3007,591915.08,864.2880717795576,6929.22,290.0726362236091
163,_Planner._new_mark,3014,19644.58,44.29543211350791,9109.72,36.83390186405196
164,each,6007,54625.5,422.69486509726016,13047.12,58.30729292432662
165,recalc,3002,380337.64,504.2332534428364,11285.44,46.10111336032161
167,_Planner._remove_propagate_from,5,930016.56,1046.6867874490458,14713.16,406.40184998775453
168,_Planner_chain_test,1,4347661.36,5282.937393194045,33548.62,83.22281133517711
169,_Planner_projection_test,1,4551266.72,4472.0567246594355,104329.9,154.51692331857038
170,_Sym.init-values,8,11.18,1.4383947969305,11.18,1.4383947969305
171,_Sym.custom_hash,3032,3879.98,30.738853961349015,3879.98,30.738853961349015
172,_Strength.init-values,8,670.58,16.085346354584313,24.74,1.675879300120217
173,_Strength.same_as,3,18.5,0.8144110179279554,7.84,1.03726484918122
174,_Strength.stronger,6011,29220.92,62.31809119185152,13042.46,63.71050917699392
175,_Strength.weaker,12006,58593.14,288.36138112175996,26172.3,284.38600169344386
