Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
1,base.class,3127,2056.08,27.44184202777851,2056.08,27.44184202777851
5,base.=,144072,93862.6,217.1921936433085,93862.6,217.1921936433085
42,lambda-42,47203,165789.4,273.37437886606847,131893.32,216.37141536662412
43,lambda-43,5322,19097.52,44.48124576144187,15156.66,45.2068308004489
47,int.+,47203,33896.08,126.83877601916893,33896.08,126.83877601916893
48,int.-,6523,4854.72,25.930865699362354,4854.72,25.930865699362354
49,int.*,604,503.28,12.636261394922789,503.28,12.636261394922789
52,int.=,2666,1874.1,21.03180293493351,1874.1,21.03180293493351
53,int.<,41584,60411.36,119.29927382299448,60411.36,119.29927382299448
56,int.>=,3127,6016.22,35.58163364801054,6016.22,35.58163364801054
57,int.&,1200,1748.9,17.452267263970683,1748.9,17.452267263970683
63,lambda-63,3127,26753.48,52.22800874970397,9290.2,44.71953415112795
64,list.get,156,182.2,5.245017071624516,182.2,5.245017071624516
65,list.set,4737,6690.72,27.503647253498976,6690.72,27.503647253498976
66,list.put,13984,9238.84,45.77556606946103,9238.84,45.77556606946103
67,list.length,3885,2758.3,32.579729518677794,2758.3,32.579729518677794
79,str.length,29082,19951.18,89.23019759736786,19951.18,89.23019759736786
82,str.char-at,25820,23673.96,73.08478721628026,23673.96,73.08478721628026
83,str.substring,2661,7100.16,32.048025186699874,7100.16,32.048025186699874
87,-,1201,5538.2,20.93624920114028,4624.34,27.43497693062038
88,*,604,2993.76,19.85412104448287,2490.48,19.155901738852467
91,=,120475,381338.04,680.7005682923173,278033.08,527.9560062067725
92,!=,29390,143764.34,283.6359847352477,87075.5,247.13395937740202
93,<,41584,227893.28,300.66199341738286,167481.92,247.51316930538
96,>=,3127,34360.68,92.9521360262204,28344.46,86.24814934423884
97,&,1200,6786.56,23.889336704129416,5037.66,26.04909806891765
100,not,37951,48421.88,154.2834179723296,48421.88,154.2834179723296
104,empty_vec,1027,200384.86,253.08295082837884,72784.48,135.80887530734338
107,Vector.at,4,85.44,1.47302271481717,21.5,1.5286381827880497
109,Vector.append,3989,257804.86,281.39608296883864,28138.98,81.73388626062837
119,Vector.size,599,4031.14,17.925025261132674,1414.04,21.11480764868142
125,Json.benchmark,1,1686410.78,2243.2933360192974,31.2,3.110220151011034
126,Json.verify_result,1,267.6,3.200765214629728,19.64,1.5877078845085488
137,_JsonLiteral.init-values,3,54.58,4.243073587552749,15.32,2.706304053991914
143,_Parser.init-values,1,1.84,0.4677344441069971,1.84,0.4677344441069971
144,_Parser.parse,1,1686377.74,2242.8807533789122,11.86,1.030355595443255
145,_Parser._read_value,3392,8115153.16,11087.08540924242,24322.42,73.47749620788362
