Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
5,base.=,39621,26817.12,188.87471714210542,26817.12,188.87471714210542
43,lambda-43,31,350.36,43.77062662450746,263.56,33.95685137202861
47,int.+,9,21.68,2.4862068477493815,21.68,2.4862068477493815
48,int.-,31,86.8,10.16195385358785,86.8,10.16195385358785
52,int.=,35,80.44,10.210358885535246,80.44,10.210358885535246
86,+,9,46.88,2.7303285292343524,25.2,4.050699108216521
91,=,18797,54486.24,360.8274255380377,41707.58,294.9288457944263
92,!=,20859,109920.34,619.1960426098265,68701.08,476.39898558811836
100,not,20859,27100.36,192.09200176700975,27100.36,192.09200176700975
103,Element.init-values,31,118.16,14.677985737359283,118.16,14.677985737359283
104,Element.length,10,705.46,16.485256245184296,56.1,2.858928013741358
105,List.benchmark,1,228949.38,1414.9562463849095,23.68,2.262741699796952
106,List.make_list,34,12617.9,1559.4275800918167,985.08,118.68649150306082
107,List.is_shorter_than,2809,216273.58,1222.6640049415016,52436.56,324.5676659741676
108,List.tail,2809,2300162.1,12592.537638358193,10533.98,72.53218567769552
109,List.verify_result,1,10.38,1.122860777893062,2.38,0.5674864018868916
