Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
42,lambda-42,8660,35867.62,188.63579961915806,28781.18,153.60719716344116
43,lambda-43,5039,19638.16,83.9424876000815,15658.52,71.60299845505865
47,int.+,8660,7086.44,60.27832046737329,7086.44,60.27832046737329
48,int.-,8659,6842.14,56.6579461076982,6842.14,56.6579461076982
52,int.=,8661,6237.26,58.31680193353454,6237.26,58.31680193353454
56,int.>=,8659,6072.94,60.04638003328791,6072.94,60.04638003328791
64,list.get,20156,21874.14,108.92442802424131,21874.14,108.92442802424131
65,list.set,20156,21699.08,110.06154864345638,21699.08,110.06154864345638
87,-,3620,11977.5,66.92860954412674,9115.0,65.09145841954786
91,=,1,8.12,0.9178501945262291,6.24,0.9595917499283813
92,!=,8660,57217.08,277.4309871897178,39650.98,206.90513354122925
96,>=,8659,43943.58,192.19888614852715,37870.64,175.05728042149917
100,not,8660,11330.72,80.31063161886091,11330.72,80.31063161886091
103,Permute.benchmark,1,371642.58,1624.7951090924062,12.08,1.7360522892529502
104,Permute._permute,8660,2145263.1,9366.7722279016,105978.92,503.1424856005788
105,Permute._swap,10078,97007.64,430.25857246970924,53434.42,241.82664477358455
106,Permute.verify_result,1,10.96,1.0093440990088964,2.84,0.6180945043652554
