Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
42,lambda-42,9810,37526.6,135.71609021356747,29933.28,123.21360910787318
47,int.+,19930,15688.86,102.3507395066151,15688.86,102.3507395066151
48,int.-,4580,3719.32,32.56669138483529,3719.32,32.56669138483529
52,int.=,1130,801.74,16.43144074322026,801.74,16.43144074322026
53,int.<,9821,6900.0,50.067709256606456,6900.0,50.067709256606456
64,list.get,14520,28142.08,98.16247256670034,28142.08,98.16247256670034
65,list.set,7670,17222.62,68.04497012405578,17222.62,68.04497012405578
86,+,10120,46720.58,153.07702342951671,38625.04,123.68161231359198
87,-,4580,14967.66,72.25002224418836,11248.34,69.12089674871807
91,=,1130,4125.68,25.697963073412208,3323.94,29.414982993192368
93,<,9821,53505.44,165.30764887176352,46605.44,165.42180593123481
103,Queens.benchmark,1,306174.82,941.6406587462521,69.22,2.894681964131707
105,Queens.queens,10,305980.18,937.8783196390551,85.14,5.066939663250432
106,Queens.place_queen,1130,1707007.08,4788.544680457081,51255.0,168.17046745029043
107,Queens.get_row_column,8760,99421.04,329.0686895603701,35408.94,144.17200752955395
108,Queens.set_row_column,2180,58781.4,198.44919156462336,17145.86,85.23964058189509
