Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
5,base.=,365787,240446.08,956.3944161190409,240446.08,956.3944161190409
7,bool.not,124293,80508.82,419.58121443911784,80508.82,419.58121443911784
42,lambda-42,60497,224758.68,757.4937849815699,171854.74,503.4867734314451
43,lambda-43,10000,34937.24,398.9873180941971,27680.76,391.3797967526203
47,int.+,69805,69876.04,637.7707655480577,69876.04,637.7707655480577
48,int.-,19308,13865.7,70.99417912327583,13865.7,70.99417912327583
50,int./,9999,7940.76,40.53346312188323,7940.76,40.53346312188323
52,int.=,33955,45451.22,308.0835620809546,45451.22,308.0835620809546
53,int.<,11682,8104.1,64.97448478802586,8104.1,64.97448478802586
55,int.>,34066,23300.86,88.43445860855243,23300.86,88.43445860855243
56,int.>=,20310,14099.92,81.28153140128921,14099.92,81.28153140128921
57,int.&,9999,7873.3,54.97689681742199,7873.3,54.97689681742199
59,int.^,4992,3801.76,38.64150248483768,3801.76,38.64150248483768
64,list.get,42545,43601.92,389.2712626413181,43601.92,389.2712626413181
65,list.set,9314,19609.8,407.87177857152824,19609.8,407.87177857152824
66,list.put,38,32.6,4.440077219405729,32.6,4.440077219405729
86,+,9308,36092.56,98.50290786135727,19120.46,98.9323021472952
87,-,9308,31780.96,75.64119383035641,25171.74,76.08582962278724
89,/,9999,35370.16,495.77621515175963,27429.4,481.6970425654765
91,=,269885,746536.96,1921.1449069420457,545564.78,1694.1568885015508
92,!=,129857,629861.48,1587.7185948166486,380332.42,1155.880265142957
93,<,11682,49026.82,326.0312799566995,40922.72,309.9843340347024
95,>,34066,109182.7,614.653287036932,85881.84,620.795124112981
96,>=,20310,72621.48,734.5396514769212,58521.56,729.9245183229436
97,&,9999,46576.48,270.1907293081718,38703.18,273.0394073374466
99,^,4992,23040.74,52.646999255533956,19238.98,49.35357233312287
100,not,129857,164603.94,657.0992038295852,164603.94,657.0992038295852
103,Richards.benchmark,1,4219975.92,6309.010970194624,170.56,22.595068994299243
105,_RBObject.append,20114,140973.48,670.7882429938428,58941.48,313.31279539001173
106,fn,27884,645803.46,1673.124599944299,113069.04,497.617505762022
107,_Scheduler.create_device,2,106.84,13.276279291907604,12.7,1.8979043222266312
108,fn,23252,1074269.6,2142.9178753298625,184416.32,497.4663331855364
109,_Scheduler.create_handler,2,118.88,13.055048284640149,16.34,2.2370717011124985
110,fn,10000,501356.56,1163.5966086901135,100629.88,467.5517494003688
111,_Scheduler.create_idler,1,77.02,10.027492819488726,11.84,1.9520789545758541
112,_Scheduler.create_packet,8,741.9,86.87599654398332,726.62,84.64979236205352
113,_Scheduler.create_task,6,314.0,32.377871001847005,189.04,19.47050097360788
114,fn,4654,433874.72,1228.7248581935935,90046.14,507.586285416437
115,_Scheduler.create_worker,1,62.42,8.216682880032575,10.28,1.4713592216667126
116,_Scheduler.start,1,4219805.36,6311.078357223872,66.3,7.4265107031828705
117,_Scheduler.find_task,33245,222978.46,673.1915217068301,99229.48,403.53449843671325
118,_Scheduler._hold_self,9297,91128.88,506.55268033954934,46985.58,470.55564593187944
119,_Scheduler.queue_packet,23246,743727.44,1762.9626057825656,183395.04,900.5060019743526
120,_Scheduler.release,9999,183666.68,834.6635993510332,49176.96,468.9200340861394
122,_Scheduler.mark_waiting,23248,81024.96,424.07989043267526,50608.1,323.90110924698786
123,_Scheduler.schedule,1,4218534.04,6333.2768155874965,283790.74,1203.382440609536
124,_HandlerTaskDataRecord.device_in_add,9300,71474.64,497.73883652750754,20807.26,61.20217749894378
125,_HandlerTaskDataRecord.work_in_add,2327,20016.32,42.97860882260392,5219.04,24.342756539027533
126,_Packet.init-values,8,15.28,2.857428557144285,15.28,2.857428557144285
127,_TaskState.is_packet_pending,6,9.7,1.417816660091372,9.7,1.417816660091372
128,_TaskState.is_task_waiting,6,9.2,1.5907898179514348,9.2,1.5907898179514348
129,_TaskState.is_task_holding,6,9.58,2.2775747932341353,9.58,2.2775747932341353
130,_TaskState.set_task_holding,19296,25280.32,294.0750591399471,25280.32,294.0750591399471
131,_TaskState.set_task_waiting,23248,30416.86,278.3410043343921,30416.86,278.3410043343921
132,_TaskState.packet_pending,8490,12869.7,55.68616506450874,12869.7,55.68616506450874
133,_TaskState.running,14761,22407.86,292.3073592041378,22407.86,292.3073592041378
134,_TaskState.waiting,2,5.04,0.9249379460707796,5.04,0.9249379460707796
135,_TaskState.waiting_with_packet,3,7.2,1.142857142857143,7.2,1.142857142857143
136,_TaskState.is_task_holding_or_waiting,106604,286959.92,863.1754105555648,222016.32,782.6301662617251
137,_TaskState.is_waiting_with_packet,65790,120951.44,435.1161308742019,105386.22,452.99571066131466
138,_TaskState_with_running,1,17.7,2.3495548861997895,14.12,1.880512305360495
139,_TaskState_with_waiting,2,26.88,2.91120285119679,21.84,2.2710242227700177
140,_TaskState_with_waiting_with_packet,3,42.4,4.961072958338668,35.2,4.2088342464732085
141,_TaskControlBlock.init-values,6,97.16,10.746352015109736,68.68,8.730523513302426
142,_TaskControlBlock.add_input_and_check_priority,23246,253201.02,1204.3828039154935,75682.6,511.71807448545496
143,_TaskControlBlock.run_task,65790,3129107.5,4416.585749611764,255176.48,861.3668833633541
144,empty_vec,9,752.62,85.84297244601534,238.2,28.427494595542395
