Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
5,base.=,4999,3279.68,24.938651257247507,3279.68,24.938651257247507
42,lambda-42,15668,57799.72,455.8819682544943,45551.86,357.77715159590764
43,lambda-43,16068,74784.86,134.4899677618041,62173.42,114.2082040728729
47,int.+,27406,21432.02,128.65354361895442,21432.02,128.65354361895442
48,int.-,16068,12611.44,60.97545842888121,12611.44,60.97545842888121
52,int.=,1,2.42,0.4985693819032899,2.42,0.4985693819032899
53,int.<,10001,15270.7,93.50308300057405,15270.7,93.50308300057405
54,int.<=,11738,8055.54,49.785339207441375,8055.54,49.785339207441375
64,list.get,4999,15643.98,44.26150951436004,15643.98,44.26150951436004
65,list.set,11069,36676.46,83.95266158827332,36676.46,83.95266158827332
66,list.put,5000,3696.94,86.22121761693543,3696.94,86.22121761693543
86,+,11738,47626.28,123.19919824811964,38442.12,111.96312075037666
91,=,5000,14053.5,48.970315873340105,10771.4,55.94494378130958
93,<,10001,66553.46,579.3969493343568,51282.76,500.35022672899305
94,<=,11738,67063.58,135.85092219497218,59008.04,133.74525892798667
103,Sieve.benchmark,1,514566.36,1756.8087924020695,8.26,1.3822489807910725
104,Sieve._sieve,1,514558.1,1755.9607086162491,130665.38,539.7909984807231
105,Sieve.verify_result,1,8.66,0.4785181206984064,2.6,0.5345224838248489
