Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
5,base.=,8205,5578.6,47.879525682611714,5578.6,47.879525682611714
42,lambda-42,8191,33881.32,121.60465216664686,27244.0,97.89248579697093
43,lambda-43,8204,29508.84,147.39248727843173,22733.22,126.10787251477997
47,int.+,8191,6637.32,50.49770251391311,6637.32,50.49770251391311
48,int.-,16394,16909.1,108.99695745613303,16909.1,108.99695745613303
52,int.=,8192,6059.72,53.81678669906133,6059.72,53.81678669906133
56,int.>=,8092,5721.04,48.1061581190974,5721.04,48.1061581190974
64,list.get,16396,22822.12,101.31072429482906,22822.12,101.31072429482906
65,list.set,16396,19200.58,100.15275883389708,19200.58,100.15275883389708
87,-,8190,39903.22,184.96213512113977,29769.74,154.05257650078678
91,=,8192,47808.42,189.16951581659654,41748.7,175.75867615824234
92,!=,8205,43723.3,184.27577492576117,27511.22,147.3855543554155
96,>=,8092,23438.44,136.97223910601105,17717.4,123.77926370135256
100,not,8205,10633.48,56.74297223409422,10633.48,56.74297223409422
103,_TowersDisk.init-values,14,50.76,10.23112498053596,50.76,10.23112498053596
104,Towers._push_disk,8205,137518.32,557.4426826946333,47621.56,213.05093383546327
105,Towers._pop_disk_from,8191,47908.9,173.57704282513322,28852.74,114.02717363212396
106,Towers._move_top_disk,8191,281699.92,942.1421280187901,63041.8,232.20179471612138
107,Towers._build_tower_at,1,1493.04,289.3157980830084,392.04,74.38508737972819
108,Towers._move_disks,8191,5447315.98,18614.519433342506,63466.4,261.8651312007329
109,Towers.benchmark,1,463725.64,1815.1873772957608,22.26,4.074860708775009
110,Towers.verify_result,1,10.8,0.9689042833036101,2.64,0.5627918743883488
