Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
42,lambda-42,6581,26976.08,285.54036420764913,21745.46,234.9019951957383
44,int.neg,713,533.5,15.168778353403876,533.5,15.168778353403876
47,int.+,16981,16715.96,204.06381154843024,16715.96,204.06381154843024
48,int.-,913,743.6,18.349220080183816,743.6,18.349220080183816
49,int.*,400,353.88,16.31030724569527,353.88,16.31030724569527
51,int.%,400,423.78,18.76741640096864,423.78,18.76741640096864
52,int.=,1,2.02,0.24660966430902956,2.02,0.24660966430902956
53,int.<,15303,19391.62,237.21495375653242,19391.62,237.21495375653242
55,int.>,10000,7028.98,95.0064423164696,7028.98,95.0064423164696
56,int.>=,1426,979.84,24.886977169858568,979.84,24.886977169858568
57,int.&,400,376.84,18.34405870563868,376.84,18.34405870563868
64,list.get,5000,6250.98,75.48252669813517,6250.98,75.48252669813517
65,list.set,100,143.54,5.800105558504596,143.54,5.800105558504596
66,list.put,100,101.38,23.643517470278123,101.38,23.643517470278123
67,list.length,5050,3780.44,54.03255254653334,3780.44,54.03255254653334
86,+,10400,48012.4,550.1028104280292,36527.06,403.63528748874495
87,-,913,3371.3,61.939157111422375,2627.7,54.614885464365045
88,*,400,1777.64,61.12308091390816,1423.76,50.634972184876965
90,%,400,2511.1,87.24894011402328,2087.32,73.0402293400069
91,=,1,7.94,0.9775020225460572,5.92,1.006914867811777
93,<,15303,78499.66,827.2485649206438,59108.04,601.6370849946139
95,>,10000,57318.08,652.3240662024817,50289.1,571.7336060846274
96,>=,1426,5877.48,83.3863004458215,4897.64,70.82711345240604
97,&,400,2485.18,84.88616386859842,2108.34,70.08350995310478
103,Ball.init-values,100,14031.74,472.316601271578,1452.84,53.89231894079458
104,Ball.bounce,5000,205320.1,2316.1781614353904,50020.12,558.9890159922652
105,Bounce.benchmark,1,337480.74,3613.692321757139,41285.18,448.8303934013566
106,Bounce.verify_result,1,11.02,0.9581018649775551,3.08,0.6337449432233951
107,Random.next,400,8847.28,292.583219628473,2101.08,67.88310480795155
108,custom_abs,1426,11393.74,143.80639053666448,4982.76,72.60869684234035
