Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
42,lambda-42,9810,37612.24,399.22509429940334,29911.46,319.0427141769387
47,int.+,19930,15800.74,178.28351761467266,15800.74,178.28351761467266
48,int.-,4580,3729.02,51.410508732780194,3729.02,51.410508732780194
52,int.=,1130,805.62,18.173640925521664,805.62,18.173640925521664
53,int.<,9821,6951.9,102.80539372811057,6951.9,102.80539372811057
64,list.get,14520,27996.88,291.46614883784946,27996.88,291.46614883784946
65,list.set,7670,17375.98,190.29681327562253,17375.98,190.29681327562253
86,+,10120,47060.68,498.8509016137143,38960.72,420.9196947016786
87,-,4580,15191.94,161.77086466067126,11462.92,131.2795490546797
91,=,1130,4181.8,46.927647305534684,3376.18,42.89126736675594
93,<,9821,54091.14,589.6505713781095,47139.24,510.0046642443778
103,Queens.benchmark,1,313187.8,3338.2270804749473,64.5,4.468712091319157
105,Queens.queens,10,313004.16,3335.828265779804,89.88,6.189655623271287
106,Queens.place_queen,1130,1746279.84,18720.347496295028,53005.0,598.9376309051589
107,Queens.get_row_column,8760,102075.86,1087.086726728171,37978.92,418.6094980249908
108,Queens.set_row_column,2180,60626.04,640.3086615381795,18538.84,216.95145323602756
