Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
5,base.=,365787,242469.56,1201.884492395688,242469.56,1201.884492395688
7,bool.not,124293,80386.74,510.91114327887715,80386.74,510.91114327887715
42,lambda-42,60497,214555.6,967.2370496440298,171387.74,804.089567810221
43,lambda-43,10000,35188.92,306.08534490783245,27852.08,293.00831220360976
47,int.+,69805,60327.18,405.4400325572214,60327.18,405.4400325572214
48,int.-,19308,13991.1,78.49301281785827,13991.1,78.49301281785827
50,int./,9999,7974.7,51.431448332231795,7974.7,51.431448332231795
52,int.=,33955,55656.2,408.05481824612525,55656.2,408.05481824612525
53,int.<,11682,8149.06,59.02694300063315,8149.06,59.02694300063315
55,int.>,34066,23513.06,396.17371009625185,23513.06,396.17371009625185
56,int.>=,20310,14245.6,311.24732602736316,14245.6,311.24732602736316
57,int.&,9999,7921.48,55.3542358683726,7921.48,55.3542358683726
59,int.^,4992,3863.76,269.16458511020903,3863.76,269.16458511020903
64,list.get,42545,43858.24,429.74655843857124,43858.24,429.74655843857124
65,list.set,9314,19661.7,283.3918647025557,19661.7,283.3918647025557
66,list.put,38,34.76,4.834231678184998,34.76,4.834231678184998
86,+,9308,36725.24,400.63722508330187,19565.92,275.5204974040876
87,-,9308,32140.54,447.85959033279715,25486.28,432.503157473434
89,/,9999,35277.18,322.09864695050646,27302.48,308.1811844499584
91,=,269885,769109.92,3168.1571598309156,556695.12,2468.8309770961246
92,!=,129857,636557.28,3289.215966625176,384560.06,1980.7130174639158
93,<,11682,49303.7,191.44352287027093,41154.64,174.94334476495806
95,>,34066,111000.94,896.6762528633076,87487.88,792.5765948951032
96,>=,20310,74149.82,932.806533083502,59904.22,871.8470491679467
97,&,9999,47417.84,329.90501787078904,39496.36,317.6871622543539
99,^,4992,23149.28,294.788131458814,19285.52,78.32903910649675
100,not,129857,166286.26,1477.0065813070994,166286.26,1477.0065813070994
103,Richards.benchmark,1,4543299.2,17336.51794240552,172.98,22.72236154728892
105,_RBObject.append,20114,145196.22,950.7681811491765,62245.18,432.6073154579735
106,fn,27884,656918.04,2870.8139780080764,110534.32,583.0203707016252
107,_Scheduler.create_device,2,112.52,12.14746131199974,13.42,2.56419617830156
108,fn,23252,1123108.8,4755.4693152372465,191475.94,882.563761008179
109,_Scheduler.create_handler,2,122.04,13.638121840889188,19.18,2.1730257284087835
110,fn,10000,529850.12,2140.056099207483,95331.88,550.8830254737411
111,_Scheduler.create_idler,1,72.44,9.611133000381402,11.74,1.7000600229499705
112,_Scheduler.create_packet,8,744.84,86.22972639574888,727.54,84.43478584815911
113,_Scheduler.create_task,6,315.74,32.42184322902303,189.88,19.21270837922926
114,fn,4654,456652.16,1758.5024978947422,105214.22,477.8620025377493
115,_Scheduler.create_worker,1,63.14,7.874033792362417,10.06,1.5173822786601394
116,_Scheduler.start,1,4543126.22,17332.853134061457,65.78,7.025580083537878
117,_Scheduler.find_task,33245,240275.26,1043.0655331908024,114717.52,561.5198486324081
118,_Scheduler._hold_self,9297,98365.18,532.935294537025,53029.22,309.83018983083707
119,_Scheduler.queue_packet,23246,772085.48,3048.6191470358244,190141.2,908.0428831013498
120,_Scheduler.release,9999,205548.76,1089.6346805892542,66556.18,596.1300943483353
122,_Scheduler.mark_waiting,23248,94124.5,692.4003575259327,60675.7,469.27226551722947
123,_Scheduler.schedule,1,4541843.06,17305.379365859986,387483.88,1550.1521010296165
124,_HandlerTaskDataRecord.device_in_add,9300,74963.14,431.2431488955953,23149.84,114.3878757668356
125,_HandlerTaskDataRecord.work_in_add,2327,21078.12,528.2999549961932,5714.88,39.13693385839933
126,_Packet.init-values,8,17.3,2.072659732649558,17.3,2.072659732649558
127,_TaskState.is_packet_pending,6,10.7,1.4742691028964496,10.7,1.4742691028964496
128,_TaskState.is_task_waiting,6,10.34,1.5728564940961423,10.34,1.5728564940961423
129,_TaskState.is_task_holding,6,9.88,1.2558434843334807,9.88,1.2558434843334807
130,_TaskState.set_task_holding,19296,27787.0,327.8380013086353,27787.0,327.8380013086353
131,_TaskState.set_task_waiting,23248,33448.8,446.5355071925108,33448.8,446.5355071925108
132,_TaskState.packet_pending,8490,16529.5,87.66756550068212,16529.5,87.66756550068212
133,_TaskState.running,14761,28547.36,475.4646603747803,28547.36,475.4646603747803
134,_TaskState.waiting,2,5.18,0.9409070742900065,5.18,0.9409070742900065
135,_TaskState.waiting_with_packet,3,7.92,1.2094863136295273,7.92,1.2094863136295273
136,_TaskState.is_task_holding_or_waiting,106604,333681.44,1659.1517645951458,268286.82,1352.7581000100622
137,_TaskState.is_waiting_with_packet,65790,138540.26,750.2053816748339,123548.14,714.0302117314857
138,_TaskState_with_running,1,17.38,2.346425853444827,14.24,1.9012348296701855
139,_TaskState_with_waiting,2,29.3,3.1895876516808728,24.12,2.592296279363145
140,_TaskState_with_waiting_with_packet,3,44.84,5.650934544346606,36.92,4.797278139843511
141,_TaskControlBlock.init-values,6,105.2,11.408911661772235,74.28,8.466114931939936
142,_TaskControlBlock.add_input_and_check_priority,23246,268552.6,1390.9790414946995,86273.52,370.52110243134354
143,_TaskControlBlock.run_task,65790,3296939.88,12172.73313538519,283186.9,1193.9634775462307
144,empty_vec,9,752.18,84.68517688281385,234.22,26.669014352439277
