Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
5,base.=,8205,5667.6,68.55148519506332,5667.6,68.55148519506332
42,lambda-42,8191,33575.84,304.56522105708376,27007.34,244.0846800198826
43,lambda-43,8204,29309.98,254.32371224926092,22702.62,193.7462984504873
47,int.+,8191,6568.5,78.8900681780849,6568.5,78.8900681780849
48,int.-,16394,16734.76,177.32358983001612,16734.76,177.32358983001612
52,int.=,8192,6093.5,76.7160813836129,6093.5,76.7160813836129
56,int.>=,8092,5774.9,61.47282459156492,5774.9,61.47282459156492
64,list.get,16396,22906.48,206.35606635727726,22906.48,206.35606635727726
65,list.set,16396,19234.14,171.95846793303755,19234.14,171.95846793303755
87,-,8190,39946.62,362.1797890438336,29819.22,291.7727862147366
91,=,8192,47611.96,396.20794169378485,41518.46,342.1561411080604
92,!=,8205,44586.7,374.0545769411367,28253.02,246.25915418600826
96,>=,8092,24116.2,220.5032277981148,18341.3,193.31788878023926
100,not,8205,10666.08,101.29464800415526,10666.08,101.29464800415526
103,_TowersDisk.init-values,14,55.22,10.587420336784364,55.22,10.587420336784364
104,Towers._push_disk,8205,142075.84,1223.4549333251064,50769.06,460.19687047157964
105,Towers._pop_disk_from,8191,50352.4,430.03061115531347,31055.98,259.4090214471407
106,Towers._move_top_disk,8191,291746.06,2488.8451580635406,66418.88,562.0670538834551
107,Towers._build_tower_at,1,1545.5,286.56703101596685,400.4,73.72092993312064
108,Towers._move_disks,8191,5597934.1,47930.38151287123,66519.42,589.5236780136794
109,Towers.benchmark,1,476520.34,4040.000033390569,21.24,3.8732994952097153
110,Towers.verify_result,1,10.08,0.9222864223753698,2.3,0.7071067811865475
