Function identifier,Function label,calls,inclusive execution time(ticks),inclusive execution time(ticks)_std,exclusive execution time(ticks),exclusive execution time(ticks)_std,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,44,126135796347.4,654845775.3727204,232876.2,7640.342701049065,46716961.61014815,242535.4723602668,86.25044444444445,2.829756555944098
2,base.class,117625,11471374.6,123255.9222757348,11471374.6,123255.9222757348,4248.657259259259,45.65034158360548,4248.657259259259,45.65034158360548
6,base.=,3002751,445424408.0,3277307.896737195,445424408.0,3277307.896737195,164972.00296296296,1213.8177395322946,164972.00296296296,1213.8177395322946
21,double.trunc,40000,7594754.5,166694.21034984363,7594754.5,166694.21034984363,2812.872037037037,61.73859642586801,2812.872037037037,61.73859642586801
22,double.sin,10000,4090738.0,57805.933150226156,4090738.0,57805.933150226156,1515.088148148148,21.40960487045413,1515.088148148148,21.40960487045413
23,double.cos,10000,4458508.2,1249767.5091677357,4458508.2,1249767.5091677357,1651.2993333333334,462.8768552473095,1651.2993333333334,462.8768552473095
24,double.sqrt,21478,3276779.6,53106.929668160534,3276779.6,53106.929668160534,1213.6220740740741,19.669233210429827,1213.6220740740741,19.669233210429827
26,double.+,3085654,1021018679.4,6909949.900551362,1021018679.4,6909949.900551362,378155.0664444444,2559.2407039079117,378155.0664444444,2559.2407039079117
27,double.-,3175705,3465571838.1,21250100.581751093,3465571838.1,21250100.581751093,1283545.1252222222,7870.407622870775,1283545.1252222222,7870.407622870775
28,double.*,290470,295421331.0,2208949.33426851,295421331.0,2208949.33426851,109415.30777777778,818.1293830624111,109415.30777777778,818.1293830624111
29,double./,2159969,735940649.7,5028931.930719106,735940649.7,5028931.930719106,272570.61100000003,1862.5673817478173,272570.61100000003,1862.5673817478173
30,double.=,3818354,709867538.1,4245905.306277472,709867538.1,4245905.306277472,262913.903,1572.557520843508,262913.903,1572.557520843508
31,double.<,2754379,506476390.0,3167098.37742293,506476390.0,3167098.37742293,187583.84814814816,1172.9993990455298,187583.84814814816,1172.9993990455298
32,double.>,1700134,211577451.6,1994152.4568200677,211577451.6,1994152.4568200677,78362.0191111111,738.5749840074325,78362.0191111111,738.5749840074325
33,double.<=,2535773,1897496884.7,29495863.18360692,1897496884.7,29495863.18360692,702776.623962963,10924.393771706265,702776.623962963,10924.393771706265
