Function identifier,Function label,calls,inclusive execution time(ticks),inclusive execution time(ticks)_std,exclusive execution time(ticks),exclusive execution time(ticks)_std,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,30,1628424942.4,10229354.170664702,234699.2,8787.721850759493,603120.3490370371,3788.6496928387783,86.92562962962964,3.25471179657759
2,base.class,3127,356777.3,16134.14666280315,356777.3,16134.14666280315,132.13974074074073,5.975609875112278,132.13974074074073,5.975609875112278
6,base.=,144072,18198205.3,257865.49338613273,18198205.3,257865.49338613273,6740.076037037037,95.50573829116027,6740.076037037037,95.50573829116027
43,lambda-43,47203,157229017.1,1232244.671105881,141108970.1,1140557.4797008971,58232.969296296294,456.38691522440035,52262.58151851851,422.4286961855175
44,lambda-44,5322,18563298.1,180089.82223613333,16565924.1,152697.14355922752,6875.2955925925935,66.69993416153086,6135.527444444444,56.554497614528714
48,int.+,47203,16120047.0,138040.93703642712,16120047.0,138040.93703642712,5970.387777777778,51.12627297645449,5970.387777777778,51.12627297645449
49,int.-,6523,2447248.0,60141.59288318126,2447248.0,60141.59288318126,906.3881481481482,22.274664030807877,906.3881481481482,22.274664030807877
50,int.*,604,402338.5,20230.5768565152,402338.5,20230.5768565152,149.01425925925926,7.492806243153778,149.01425925925926,7.492806243153778
53,int.=,2666,463590.5,15606.985775607029,463590.5,15606.985775607029,171.70018518518518,5.7803651020766775,171.70018518518518,5.7803651020766775
54,int.<,41584,194314813.9,1189700.6164976703,194314813.9,1189700.6164976703,71968.44959259259,440.6298579621001,71968.44959259259,440.6298579621001
57,int.>=,3127,12224163.8,152226.36061353577,12224163.8,152226.36061353577,4527.468074074074,56.3801335605688,4527.468074074074,56.3801335605688
58,int.&,1200,2955714.9,51906.077755783816,2955714.9,51906.077755783816,1094.7092222222223,19.224473242882894,1094.7092222222223,19.224473242882894
64,lambda-64,3127,9018224.2,95057.87626471529,3766673.6,56556.569197667195,3340.083037037037,35.206620838783444,1395.0642962962963,20.94687748061748
65,list.get,156,234835.1,11908.949124613455,234835.1,11908.949124613455,86.97596296296297,4.410721898004983,86.97596296296297,4.410721898004983
66,list.set,4737,11039422.5,102318.90079627454,11039422.5,102318.90079627454,4088.675,37.89588918380539,4088.675,37.89588918380539
67,list.put,13984,2313423.6,30893.764552942317,2313423.6,30893.764552942317,856.8235555555556,11.442135019608266,856.8235555555556,11.442135019608266
68,list.length,3885,1272780.9,27593.77062786376,1272780.9,27593.77062786376,471.4003333333333,10.219915047356949,471.4003333333333,10.219915047356949
80,str.length,29082,7587597.0,62840.605653887294,7587597.0,62840.605653887294,2810.221111111111,23.274298390328628,2810.221111111111,23.274298390328628
83,str.char-at,25820,23493113.8,119660.36385299676,23493113.8,119660.36385299676,8701.15325925926,44.31865327888769,8701.15325925926,44.31865327888769
84,str.substring,2661,16647794.6,181513.07657936215,16647794.6,181513.07657936215,6165.849851851852,67.22706539976376,6165.849851851852,67.22706539976376
88,-,1201,8056915.0,134196.51837432117,7607041.0,131990.55727070634,2984.0425925925924,49.702414212711545,2817.4225925925925,48.885391581743086
89,*,604,4723093.9,80669.49659071883,4320755.4,73764.92524970618,1749.2940370370372,29.877591329895864,1600.279777777778,27.320342685076366
92,=,120475,250989357.3,1369985.2901062355,227568290.8,1184373.852505486,92959.02122222223,507.40195929860573,84284.55214814816,438.65698240943925
93,!=,29390,46880524.0,277853.6706481154,35245402.3,206833.2511202151,17363.157037037035,102.9087669067094,13053.852703703702,76.6049078223019
94,<,41584,587367794.8,3740422.361170075,393052980.9,2702658.5983705544,217543.62770370368,1385.341615248176,145575.1781111111,1000.9846660631683
97,>=,3127,32915199.6,358348.7237089475,20691035.8,240362.2037263104,12190.814666666667,132.7217495218324,7663.346592592593,89.023038417152
98,&,1200,11448430.4,147909.235543253,8492715.5,109506.01304494664,4240.159407407407,54.781198349352955,3145.450185185185,40.557782609239496
101,not,37951,9578218.6,86309.56128067817,9578218.6,86309.56128067817,3547.4883703703704,31.966504178028952,3547.4883703703704,31.966504178028952
105,empty_vec,1027,211281428.3,1920105.4482722443,60904787.4,546122.6134286586,78252.38085185185,711.1501660267571,22557.328666666665,202.2676346032069
108,Vector.at,4,50547.0,1991.819110366463,16062.5,827.2447292701615,18.72111111111111,0.7377107816172085,5.949074074074074,0.3063869367667265
110,Vector.append,3989,230226031.6,2098347.9158925917,27347533.8,234222.3292684923,85268.90059259259,777.165894775034,10128.716222222223,86.74901084018234
121,Vector.size,599,4159292.4,89744.48056002926,551272.7,20363.746406168404,1540.4786666666666,33.23869650371454,204.17507407407405,7.542128298580891
127,Vector.init,867,870141.1,22863.587244211798,870141.1,22863.587244211798,322.2744814814815,8.467995275634,322.2744814814815,8.467995275634
128,Json.benchmark,1,1627891567.7,10231379.653584113,50288.1,7654.943486332696,602922.8028518519,3789.39987169782,18.62522222222222,2.835164254197295
129,Json.verify_result,1,233303.8,8209.455341892442,26512.0,1108.6162071415167,86.4088148148148,3.0405390155157193,9.81925925925926,0.4105985952375988
140,_JsonLiteral.init-values,3,57707.7,4895.550773809559,13900.0,810.6753519848685,21.37322222222222,1.8131669532627999,5.148148148148148,0.3002501303647661
146,_JsonLiteral.init,3,7664.0,352.7014541924568,7664.0,352.7014541924568,2.8385185185185184,0.13063016821942847,2.8385185185185184,0.13063016821942847
147,_Parser.init-values,1,1359.3,299.86051143121443,1359.3,299.86051143121443,0.5034444444444445,0.11105944867822756,0.5034444444444445,0.11105944867822756
148,_Parser.parse,1,1627834198.2,10232381.035561742,25197.9,877.4144972588499,602901.554888889,3789.7707539117564,9.332555555555556,0.3249683323180926
149,_Parser._read_value,3392,7672690256.1,48174617.49977076,11881195.7,99337.97693949459,2841737.1318888892,17842.45092584102,4400.442851851852,36.79184331092392
150,_Parser._read_array_element,2793,3923663656.2,24961179.311178435,6885886.0,78356.33248181026,1453208.7615555555,9244.881226362384,2550.328148148148,29.020863882151946
151,_Parser._read_array,553,4025243503.6,25669582.458002705,7717977.3,76529.9162977256,1490830.9272592592,9507.252762223225,2858.510111111111,28.344413443602075
152,_Parser._read_object_key_value_pair,598,2786763050.4,17580964.784458563,3166547.3,30609.478073062015,1032134.4631111112,6511.468438688356,1172.7952962962963,11.336843730763709
153,_Parser._read_object,157,2889710367.3,18373493.158606313,2306198.2,28350.94643477304,1070263.0990000002,6804.997466150487,854.1474814814816,10.500350531397421
154,_Parser._read_name,598,291288340.1,1639131.4336185465,742809.7,21984.134750937294,107884.57040740742,607.0857161550172,275.1147037037037,8.142272129976776
155,_Parser._read_null,590,59910507.2,452875.4095056457,1339122.5,29556.129807715457,22189.07674074074,167.73163315023913,495.9712962962963,10.946714743598317
156,_Parser._read_true,26,3518057.5,56253.5829591044,88460.9,2668.7146107600574,1302.9842592592593,20.834660355223853,32.763296296296296,0.9884128188000213
157,_Parser._read_false,3,390096.3,24072.64428896746,16266.9,3022.7531873407966,144.4801111111111,8.91579418109906,6.024777777777778,1.1195382175336284
158,_Parser._read_required_char,1860,48701241.2,366031.57944889506,1842990.5,32265.747730045663,18037.496740740742,135.5672516477389,682.5890740740741,11.95027693705395
159,_Parser._read_string,1351,545197341.2,2844329.7625533147,10848604.7,104796.73664520377,201924.9411851852,1053.4554676123387,4018.0017407407404,38.81360616489028
160,_Parser._read_string_internal,1949,822898922.8,4145347.4007402677,25380326.4,214675.79628002582,304777.3788148148,1535.313852126025,9400.120888888889,79.50955417778734
163,_Parser._read_number,712,120471520.8,1171452.8349763243,9873239.1,105493.43293599423,44619.08177777778,433.8714203616016,3656.755222222222,39.071641828146014
164,_Parser._read_fraction,712,2415022.4,53070.32540080536,702793.9,29263.702837798013,894.4527407407408,19.655676074372355,260.29403703703707,10.838408458443709
165,_Parser._read_exponent,712,4573741.2,68604.27731148807,1258534.3,33884.817710498086,1693.9782222222223,25.408991596847432,466.1238148148148,12.549932485369661
166,_Parser._read_char,10116,158245174.4,1133798.218580474,10539629.4,85958.34943702006,58609.323851851856,419.9252661409163,3903.5664444444446,31.836425717414837
167,_Parser._read_digit,2543,68315067.4,670727.6947683804,3484805.5,69164.36056958816,25301.876814814816,248.41766472902978,1290.6687037037036,25.616429840588207
168,_Parser._skip_white_space,8690,56848989.2,472961.87480283243,4687593.1,58583.32428610145,21055.181185185185,175.1710647417898,1736.1455925925925,21.697527513370908
169,_Parser._read,25821,783057680.5,4435178.802408149,161248511.9,937568.9343767792,290021.3631481482,1642.6588157067217,59721.671074074075,347.2477534728812
170,_Parser._start_capture,2661,1253973.8,25746.884883827224,1253973.8,25746.884883827224,464.4347407407408,9.53588329030638,464.4347407407408,9.53588329030638
172,_Parser._end_capture,2661,108686121.9,926782.6597002344,42381879.3,390078.5376420463,40254.11922222222,343.2528369260128,15696.992333333332,144.47353246001714
175,_Parser._is_white_space,8690,52161396.1,434938.9416199282,19146780.0,127843.97862691045,19319.035592592594,161.0884968962697,7091.4,47.34962171367054
176,_Parser._is_digit,2543,22468145.5,275981.09232479916,7888840.7,105846.33740479885,8321.53537037037,102.21521937955525,2921.792851851852,39.202347186962534
177,_Parser._is_end_of_text,1,3388.0,362.9034959440611,2648.6,369.16069814192235,1.2548148148148148,0.1344087022015041,0.9809629629629629,0.13672618449700827
178,_Parser.init,1,5722.1,656.3245265952861,5722.1,656.3245265952861,2.1192962962962962,0.2430831579982541,2.1192962962962962,0.2430831579982541
179,_HashIndexTable.add,598,40339405.2,413173.627877727,4360831.9,71215.0498833233,14940.520444444446,153.02726958434332,1615.122925925926,26.37594440123085
180,_HashIndexTable.get,2,83979.8,2899.679539462756,9371.0,456.2084011317171,31.10362962962963,1.073955384986206,3.470740740740741,0.16896607449322856
181,_HashIndexTable._string_hash,600,5737187.7,85319.38811998388,867941.6,25735.255986169715,2124.8843333333334,31.599773377771808,321.45985185185185,9.531576291173968
182,_HashIndexTable._hash_slot_for,600,19570754.6,252079.09567485424,2259083.9,43040.12809839578,7248.42762962963,93.36262802772379,836.6977407407408,15.940788184591028
183,_HashIndexTable.init,157,76460583.4,659781.6326229274,168845.9,6525.255340033179,28318.734592592595,244.36356763812128,62.535518518518515,2.4167612370493257
184,_JsonArray.add,2793,169203128.9,1469786.6049151523,5441331.3,60253.35039131799,62667.82551851852,544.3654092278342,2015.3078888888888,22.316055700488143
185,_JsonArray.size,1,9537.6,523.4153427753447,3689.7,453.81298026018555,3.5324444444444447,0.1938575343612388,1.3665555555555555,0.1680788815778465
187,_JsonArray.is_array,1,842.0,196.97929359519787,842.0,196.97929359519787,0.3118518518518518,0.07295529392414736,0.3118518518518518,0.07295529392414736
188,_JsonArray.as_array,1,239.7,91.97316542282721,239.7,91.97316542282721,0.08877777777777777,0.03406413534178786,0.08877777777777777,0.03406413534178786
189,_JsonArray.init,553,4081473.7,86701.91118217696,3500735.1,83363.545804159,1511.656925925926,32.11181895636184,1296.5685555555556,30.875387334873704
190,_JsonNumber.init-values,712,2464604.8,43284.13147612078,699581.2,19547.020829945304,912.8165925925925,16.03115980597066,259.1041481481481,7.239637344424187
193,_JsonNumber.init,712,285079.3,15330.16343202614,285079.3,15330.16343202614,105.58492592592592,5.677838308157829,105.58492592592592,5.677838308157829
194,_JsonObject.add,598,127082021.9,1251441.4418585661,4402662.1,88791.74641224727,47067.41551851852,463.4968303179875,1630.6155925925925,32.88583200453603
195,_JsonObject.get,2,184330.5,6716.66630577684,11047.3,688.9990527837047,68.27055555555556,2.4876541873247557,4.091592592592592,0.25518483436433503
198,_JsonObject.is_object,2,1978.8,305.57307679695526,1978.8,305.57307679695526,0.7328888888888889,0.11317521362850196,0.7328888888888889,0.11317521362850196
199,_JsonObject.as_object,1,839.6,313.07816410938864,839.6,313.07816410938864,0.310962962962963,0.11595487559606986,0.310962962962963,0.11595487559606986
200,_JsonObject.index_of,2,144157.2,5042.804457838912,13026.8,442.95011005755487,53.39155555555556,1.8677053547551525,4.82474074074074,0.1640555963176129
201,_JsonObject.init,157,79293957.1,697439.8268015983,2543971.2,61561.88011355557,29368.13225925926,258.31104696355493,942.2115555555556,22.800696338353916
202,_JsonString.init-values,1351,537055.7,22168.506207776176,537055.7,22168.506207776176,198.9095185185185,8.210557854731917,198.9095185185185,8.210557854731917
204,_JsonString.init,1351,506157.7,20237.547056217845,506157.7,20237.547056217845,187.46581481481482,7.495387798599202,187.46581481481482,7.495387798599202
