Function identifier,Function label,calls,inclusive execution time(ticks),inclusive execution time(ticks)_std,exclusive execution time(ticks),exclusive execution time(ticks)_std,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,20,416623683.0,3604184.155739136,158672.9,7623.166947224967,154305.0677777778,1334.8830206441244,58.76774074074074,2.8233951656388765
43,lambda-43,8660,41680077.9,382603.4064048837,36749757.3,310933.4314075162,15437.065888888888,141.7049653351421,13611.021222222222,115.16053015093192
44,lambda-44,5039,21333993.5,257185.8951816147,18812635.7,236564.7237102689,7901.479074074074,95.2540352524499,6967.642851851851,87.61656433713664
48,int.+,8660,4930320.6,121541.28168538591,4930320.6,121541.28168538591,1826.0446666666664,45.01528951310589,1826.0446666666664,45.01528951310589
49,int.-,8659,4244081.5,89052.14394623539,4244081.5,89052.14394623539,1571.882037037037,32.982275535642735,1571.882037037037,32.982275535642735
53,int.=,8661,1923229.6,58603.13809668341,1923229.6,58603.13809668341,712.3072592592592,21.704865961734598,712.3072592592592,21.704865961734598
57,int.>=,8659,1974865.1,62395.12017179413,1974865.1,62395.12017179413,731.4315185185186,23.10930376733116,731.4315185185186,23.10930376733116
65,list.get,20156,27100954.9,205596.8857540877,27100954.9,205596.8857540877,10037.390703703702,76.14699472373619,10037.390703703702,76.14699472373619
66,list.set,20156,27015851.6,251160.87636463682,27015851.6,251160.87636463682,10005.870962962963,93.02254680171734,10005.870962962963,93.02254680171734
88,-,3620,9820033.0,124180.70433974758,8097309.3,119481.90061617138,3637.049259259259,45.99285345916577,2999.0034444444445,44.25255578376718
92,=,1,14262.6,358.60906731131996,11268.0,294.3288529590847,5.282444444444445,0.13281817307826665,4.173333333333333,0.10901068628114248
93,!=,8660,48826617.4,492242.38038083416,44213234.3,431160.01509673946,18083.93237037037,182.31199273364228,16375.271962962961,159.6888944802739
97,>=,8659,66316747.3,635662.9883824224,64341882.2,631420.1504254715,24561.75825925926,235.4307364379342,23830.32674074074,233.85931497239685
101,not,8660,2693148.1,55413.91729226235,2693148.1,55413.91729226235,997.4622592592593,20.523673071208275,997.4622592592593,20.523673071208275
104,Permute.benchmark,1,416442136.8,3603956.3321750956,32223.7,3151.0968032032742,154237.82844444446,1334.7986415463317,11.934703703703704,1.1670728900752867
105,Permute._permute,8660,2410232497.1,20990647.342660528,124916445.3,1306182.9926417812,892678.7026296296,7774.31383061501,46265.35011111111,483.7714787562153
106,Permute._swap,10078,103515998.7,772812.0175352157,49399192.2,448582.42186453583,38339.25877777778,286.226673161191,18295.99711111111,166.14163772760585
107,Permute.verify_result,1,16552.3,430.6500716481149,2289.7,131.1524223746433,6.130481481481481,0.15950002653633885,0.8480370370370369,0.048574971249867885
108,Permute.init,1,6321.0,603.0785931150966,6321.0,603.0785931150966,2.341111111111111,0.22336244189448023,2.341111111111111,0.22336244189448023
