Function identifier,Function label,calls,inclusive execution time(ticks),inclusive execution time(ticks)_std,exclusive execution time(ticks),exclusive execution time(ticks)_std,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,20,374413134.1,4061758.6119391844,150342.2,23792.999668411976,138671.53114814815,1504.3550414589572,55.6822962962963,8.812222099411843
43,lambda-43,9810,39263452.3,422419.2781357727,34431705.0,363579.4990448226,14542.01937037037,156.4515844947306,12752.483333333334,134.65907372030466
48,int.+,19930,9969543.3,123753.91967385175,9969543.3,123753.91967385175,3692.4234444444446,45.834785064389536,3692.4234444444446,45.834785064389536
49,int.-,4580,2525368.0,45123.5719937339,2525368.0,45123.5719937339,935.3214814814814,16.712434071753297,935.3214814814814,16.712434071753297
53,int.=,1130,251461.2,15502.78003456154,251461.2,15502.78003456154,93.13377777777778,5.741770383170941,93.13377777777778,5.741770383170941
54,int.<,9821,2113966.3,48026.61752458348,2113966.3,48026.61752458348,782.9504814814815,17.787636120216103,782.9504814814815,17.787636120216103
65,list.get,14520,53834584.7,541117.6422006093,53834584.7,541117.6422006093,19938.735074074077,200.41394155578124,19938.735074074077,200.41394155578124
66,list.set,7670,35506301.8,371935.2978705612,35506301.8,371935.2978705612,13150.482148148147,137.75381402613377,13150.482148148147,137.75381402613377
87,+,10120,63105494.5,738144.9755516576,57967698.5,700017.2977269918,23372.405370370372,273.3870279820954,21469.517962962964,259.2656658248118
88,-,4580,11055713.8,177846.51514559277,8530345.8,151985.60599422446,4094.708814814815,65.86907968355288,3159.3873333333336,56.2909651830461
92,=,1130,4068813.5,63641.87517788814,3817352.3,59308.70790870433,1506.967962962963,23.57106488069931,1413.834185185185,21.966188114334937
94,<,9821,84829735.4,991400.0630305036,82715769.1,961088.4348295669,31418.42051851852,367.1852085298161,30635.470037037034,355.95867956650625
104,Queens.benchmark,1,374250615.5,4051186.3751050765,87579.4,15650.660885322653,138611.3390740741,1500.4393981870653,32.43681481481481,5.79654106863802
106,Queens.queens,10,373979249.6,4043791.0996661615,155007.9,12150.386062309215,138510.83318518518,1497.7004072837635,57.410333333333334,4.50014298604045
107,Queens.place_queen,1130,2088521047.3,22652344.03034594,48559753.6,623755.6994332088,773526.3138148148,8389.757048276273,17985.093925925925,231.02062941970695
108,Queens.get_row_column,8760,121672493.1,1273041.9306243528,22256059.6,261671.75160985277,45063.88633333333,471.4970113423529,8242.985037037037,96.91546355920472
109,Queens.set_row_column,2180,73701130.0,798699.1857034599,11528119.0,157523.2712786138,27296.714814814815,295.81451322350364,4269.673703703704,58.34195232541252
110,Queens.init,1,12176.4,8820.328281275797,12176.4,8820.328281275797,4.509777777777778,3.2667882523243694,4.509777777777778,3.2667882523243694
