Function identifier,Function label,calls,inclusive execution time(ticks),inclusive execution time(ticks)_std,exclusive execution time(ticks),exclusive execution time(ticks)_std,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,30,2685949502.5,21545765.741742115,199760.3,4948.7023402738205,994796.112037037,7979.913237682265,73.9852962962963,1.8328527186199335
6,base.=,365787,48591354.2,595322.0510094202,48591354.2,595322.0510094202,17996.797851851854,220.48964852200749,17996.797851851854,220.48964852200749
8,bool.not,124293,10593015.4,199433.26553337404,10593015.4,199433.26553337404,3923.339037037037,73.86417241976817,3923.339037037037,73.86417241976817
43,lambda-43,60497,176301768.6,1625549.2391179972,157929113.4,1540762.4609376257,65296.95133333333,602.0552737474064,58492.26422222223,570.6527633102318
44,lambda-44,10000,32548725.8,287199.4945977814,29157435.8,265792.52977178333,12055.08362962963,106.37018318436348,10799.050296296296,98.44167769325308
48,int.+,69805,53660434.2,547269.0450695396,53660434.2,547269.0450695396,19874.23488888889,202.6922389146443,19874.23488888889,202.6922389146443
49,int.-,19308,6384710.0,71142.94330060901,6384710.0,71142.94330060901,2364.7074074074076,26.349238259484817,2364.7074074074076,26.349238259484817
51,int./,9999,5627812.6,67053.22963955377,5627812.6,67053.22963955377,2084.3750370370367,24.834529496131026,2084.3750370370367,24.834529496131026
53,int.=,33955,76187342.7,1021340.7770175701,76187342.7,1021340.7770175701,28217.534333333333,378.27436185835927,28217.534333333333,378.27436185835927
54,int.<,11682,2067039.0,50492.044144545536,2067039.0,50492.044144545536,765.57,18.70075709057242,765.57,18.70075709057242
56,int.>,34066,6411816.2,67914.62990642241,6411816.2,67914.62990642241,2374.7467407407407,25.153566632008303,2374.7467407407407,25.153566632008303
57,int.>=,20310,3909218.3,47026.70587868135,3909218.3,47026.70587868135,1447.8586296296296,17.417298473585685,1447.8586296296296,17.417298473585685
58,int.&,9999,4437961.9,68814.45374636444,4437961.9,68814.45374636444,1643.6895925925928,25.486834720875716,1643.6895925925928,25.486834720875716
60,int.^,4992,1921112.3,32634.72978785508,1921112.3,32634.72978785508,711.5230740740741,12.086936958464845,711.5230740740741,12.086936958464845
65,list.get,42545,81067858.4,403652.4052986801,81067858.4,403652.4052986801,30025.132740740744,149.500890851363,30025.132740740744,149.500890851363
66,list.set,9314,42440723.1,510696.51585446036,42440723.1,510696.51585446036,15718.786333333333,189.1468577238742,15718.786333333333,189.1468577238742
67,list.put,38,18187.2,1403.5795441805587,18187.2,1403.5795441805587,6.736000000000001,0.5198442756224292,6.736000000000001,0.5198442756224292
87,+,9308,42123289.2,492020.294891819,6835510.2,86612.22204236427,15601.218222222224,182.22973884882185,2531.6704444444445,32.078600756431214
88,-,9308,28783670.3,324013.95883853664,25790250.3,310121.8325180063,10660.61862962963,120.00516994019875,9551.944555555556,114.85993796963197
90,/,9999,34740989.8,354541.6867752386,29113177.2,318374.9751699784,12867.033259259259,131.31173584268097,10782.658222222222,117.91665747036237
92,=,269885,332295703.3,2336660.7021719418,223195183.2,1049485.5230257276,123072.4827037037,865.4298896933118,82664.88266666666,388.6983418613806
93,!=,129857,192673362.8,1363925.3493922204,146161934.9,864044.2706193337,71360.50474074074,505.1575368119335,54134.04996296296,320.01639652567917
94,<,11682,63649524.0,761519.0690989054,61582485.0,744408.2239579374,23573.897777777776,282.0440996662613,22808.327777777777,275.7067496140509
96,>,34066,85281686.3,885323.8883316314,78869870.1,832132.4615469569,31585.80974074074,327.89773641912274,29211.063,308.1972079803544
97,>=,20310,103278340.2,767322.7264149028,99369121.9,739194.6778532121,38251.23711111111,284.19360237588995,36803.378481481486,273.77580661230076
98,&,9999,127494120.2,969079.1842349288,123056158.3,947989.0612884943,47220.044518518516,358.91821638330697,45576.35492592592,351.10705973647936
100,^,4992,34171348.8,413271.38962513994,32250236.5,409256.26011088403,12656.05511111111,153.06347763894073,11944.532037037037,151.57639263366076
101,not,129857,30833251.1,293774.8889770247,30833251.1,293774.8889770247,11419.72262962963,108.80551443593508,11419.72262962963,108.80551443593508
104,Richards.benchmark,1,2685749742.2,21544876.671655186,24634.5,2074.7101636512743,994722.1267407406,7979.583952464884,9.123888888888889,0.7684111717226942
106,_RBObject.append,20114,64596983.9,544947.1960364504,37718831.5,342363.0583784747,23924.808851851853,201.83229482831499,13969.937592592592,126.80113273276842
107,fn,27884,385419804.5,3324828.2117498815,46680664.0,430168.27893523825,142748.07574074075,1231.4178562036598,17289.134814814814,159.32158479082898
108,_Scheduler.create_device,2,122406.3,9645.728747127298,17797.5,1311.010678827597,45.33566666666667,3.5724921285656657,6.591666666666667,0.4855595106768878
109,fn,23252,700374989.5,4862969.190744097,114741218.1,924554.863318837,259398.14425925925,1801.0997002755917,42496.747444444445,342.42772715512484
110,_Scheduler.create_handler,2,140899.3,14283.854901693438,26030.9,3137.8841329116904,52.184925925925924,5.290316630256829,9.641074074074075,1.1621793084858112
111,fn,10000,461841930.9,3793606.278728758,61490060.8,519421.2056337928,171052.56699999998,1405.0393624921326,22774.096592592592,192.37822430881215
112,_Scheduler.create_idler,1,109847.3,9027.4894166884,17418.4,1375.0208572580768,40.684185185185186,3.343514598773482,6.45125925925926,0.5092669841696581
113,_Scheduler.create_packet,8,845961.5,70453.10745341262,95886.6,9148.936828655931,313.3190740740741,26.093743501263933,35.513555555555556,3.388495121724419
114,_Scheduler.create_task,6,363122.1,30672.975676180788,156042.2,14207.250586269416,134.48966666666666,11.36036136154844,57.793407407407415,5.261944661581265
115,fn,4654,429182400.4,4406050.909031478,83695361.6,788374.0580948127,158956.4445925926,1631.8707070486955,30998.28207407407,291.99039188696764
116,_Scheduler.create_worker,1,67726.4,5906.437187732685,7840.7,744.090055387327,25.08385185185185,2.187569328789883,2.903962962962963,0.2755889094027137
117,_Scheduler.start,1,2685501313.1,21545143.65882946,85084.1,10423.438537106753,994630.115962963,7979.682836603504,31.512629629629632,3.8605327915210195
118,_Scheduler.find_task,33245,118461755.1,741765.3896347486,48551931.4,306213.7799162023,43874.72411111111,274.7279220869439,17982.196814814815,113.41251108007492
119,_Scheduler._hold_self,9297,100338245.6,1025246.7382131354,68152662.1,761526.6728000303,37162.31318518518,379.72101415301313,25241.7267037037,282.0469158518631
