Function identifier,Function label,calls,inclusive execution time(ticks),inclusive execution time(ticks)_std,exclusive execution time(ticks),exclusive execution time(ticks)_std,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,20,964498320.8,6299594.14681677,155650.9,30836.57261639685,357221.6002962963,2333.183017339544,57.64848148148148,11.420952820887722
43,lambda-43,33341,126561899.0,1052853.0195079218,111807963.3,893570.7362616974,46874.777407407404,389.9455627807118,41410.35677777778,330.9521245413694
48,int.+,41533,18358787.2,238538.6671913627,18358787.2,238538.6671913627,6799.550814814815,88.34765451531952,6799.550814814815,88.34765451531952
49,int.-,5460,2712818.9,80713.50142187453,2712818.9,80713.50142187453,1004.7477407407407,29.893889415509086,1004.7477407407407,29.893889415509086
50,int.*,4096,2155367.7,43136.474795699294,2155367.7,43136.474795699294,798.2843333333334,15.976472146555293,798.2843333333334,15.976472146555293
52,int.%,4096,3434999.3,49152.947600322004,3434999.3,49152.947600322004,1272.2219629629628,18.204795407526667,1272.2219629629628,18.204795407526667
53,int.=,5462,1161953.3,26596.29885826023,1161953.3,26596.29885826023,430.3530740740741,9.8504810586149,430.3530740740741,9.8504810586149
54,int.<,33341,25683888.3,244592.05904506645,25683888.3,244592.05904506645,9512.551222222222,90.58965149817276,9512.551222222222,90.58965149817276
58,int.&,4096,2357395.9,66663.82338893849,2357395.9,66663.82338893849,873.1095925925925,24.690304958866108,873.1095925925925,24.690304958866108
66,list.set,5460,8425782.0,97562.5703444232,8425782.0,97562.5703444232,3120.66,36.134285312749334,3120.66,36.134285312749334
67,list.put,22420,4346102.7,54394.17642310032,4346102.7,54394.17642310032,1609.6676666666667,20.14599126781493,1609.6676666666667,20.14599126781493
87,+,8192,72791648.8,569575.603879683,69186797.3,532087.4674140167,26959.869925925927,210.95392736284555,25624.73974074074,197.06943237556175
88,-,5460,12446396.8,173347.2396202431,9733577.9,119060.78560126114,4609.776592592593,64.20268134083078,3605.028851851852,44.09658725972635
89,*,4096,18379398.5,192195.91737695286,16224030.8,175064.19122668286,6807.18462962963,71.18367310257513,6008.900296296297,64.83858934321587
91,%,4096,38477594.5,271604.8510115387,35042595.2,255772.05525841893,14250.960925925925,100.59438926353285,12978.738962962963,94.73039083645145
92,=,5462,47770673.6,325859.540113835,46608720.3,324353.05367244827,17692.842074074073,120.68871856067963,17262.488999999998,120.13076061942529
94,<,33341,371118641.4,2102878.793288071,345434753.1,1899692.1080703072,137451.34866666666,778.8439975141005,127938.79744444446,703.5896696556694
98,&,4096,37606070.3,303470.7693519471,35248674.4,267767.2086858482,13928.174185185184,112.3965812414619,13055.064592592593,99.17304025401786
104,Random.next,4096,100609500.5,800275.5424413781,8123288.6,127776.30295267056,37262.777962962966,296.3983490523623,3008.6254074074072,47.32455664913724
105,Random.init,1,1822.2,433.9021961104526,1822.2,433.9021961104526,0.6748888888888889,0.16070451707794542,0.6748888888888889,0.16070451707794542
106,Storage.benchmark,1,964328928.5,6278374.27713774,41422.7,9920.608879340123,357158.86240740743,2325.323806347311,15.34174074074074,3.6742995849407865
107,Storage._build_tree_depth,5461,6536821942.5,42014139.84879258,218246827.3,1636082.1081004567,2421045.163888889,15560.792536589846,80832.15825925926,605.9563363335025
108,Storage.verify_result,1,10051.7,534.4960341539643,1411.8,428.8917910394796,3.722851851851852,0.19796149413109787,0.5228888888888888,0.15884881149610355
109,Storage.init,1,3689.7,799.9016452697563,3689.7,799.9016452697563,1.3665555555555555,0.29625986861842823,1.3665555555555555,0.29625986861842823
