Function identifier,Function label,calls,inclusive execution time(ticks),inclusive execution time(ticks)_std,exclusive execution time(ticks),exclusive execution time(ticks)_std,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,23,438353639.8,2256729.5324471104,143931.9,8410.551480134938,162353.19992592593,835.8257527581891,53.30811111111111,3.115019066716644
43,lambda-43,6581,39308770.5,299101.35016033985,35795300.5,273508.8905849294,14558.80388888889,110.7782778371629,13257.518703703703,101.2995891055294
45,int.neg,713,338896.8,18529.323450596952,338896.8,18529.323450596952,125.51733333333333,6.862712389109983,125.51733333333333,6.862712389109983
48,int.+,16981,18303553.1,150369.13528832395,18303553.1,150369.13528832395,6779.093740740741,55.692272329008865,6779.093740740741,55.692272329008865
49,int.-,913,485606.0,19722.228709330946,485606.0,19722.228709330946,179.85407407407408,7.304529151604054,179.85407407407408,7.304529151604054
50,int.*,400,262048.8,30051.925416203412,262048.8,30051.925416203412,97.0551111111111,11.130342746742004,97.0551111111111,11.130342746742004
52,int.%,400,440354.2,33853.47661163822,440354.2,33853.47661163822,163.09414814814815,12.53832467097712,163.09414814814815,12.53832467097712
53,int.=,1,3872.6,292.3171313200064,3872.6,292.3171313200064,1.4342962962962962,0.10826560419259497,1.4342962962962962,0.10826560419259497
54,int.<,15303,28185804.0,170564.82745093846,28185804.0,170564.82745093846,10439.186666666666,63.17215831516239,10439.186666666666,63.17215831516239
56,int.>,10000,2075271.4,42075.55929690499,2075271.4,42075.55929690499,768.619037037037,15.583540480335182,768.619037037037,15.583540480335182
57,int.>=,1426,316983.4,9166.700103033123,316983.4,9166.700103033123,117.40125925925926,3.39507411223449,117.40125925925926,3.39507411223449
58,int.&,400,301046.2,19179.75866046505,301046.2,19179.75866046505,111.4985925925926,7.103614318690759,111.4985925925926,7.103614318690759
65,list.get,5000,8896520.6,94266.33882245288,8896520.6,94266.33882245288,3295.0076296296297,34.913458823130696,3295.0076296296297,34.913458823130696
66,list.set,100,202283.1,11620.082497668922,202283.1,11620.082497668922,74.91966666666667,4.303734258395897,74.91966666666667,4.303734258395897
67,list.put,100,29756.8,5451.949352971689,29756.8,5451.949352971689,11.021037037037036,2.019240501100626,11.021037037037036,2.019240501100626
68,list.length,5050,2024571.7,32537.140541880806,2024571.7,32537.140541880806,749.8413703703703,12.050792793289187,749.8413703703703,12.050792793289187
87,+,10400,61386849.0,461682.17367612844,46596765.9,382807.246123178,22735.87,170.99339765782534,17258.061444444444,141.78046152710297
88,-,913,3353779.4,139042.33871072275,2868173.4,137751.90348189094,1242.1405185185185,51.49716248545287,1062.2864444444444,51.01922351181146
89,*,400,2134808.7,130462.43653336025,1872759.9,106937.76180362303,790.669888888889,48.319420938281574,693.6147777777777,39.606578445786305
91,%,400,4445574.0,256962.5921511781,4005219.8,225638.61564331496,1646.5088888888888,95.17133042636226,1483.4147407407406,83.5698576456722
92,=,1,17727.3,8039.575382214895,13854.7,7987.894268994275,6.565666666666666,2.977620511931443,5.13137037037037,2.9584793588867684
94,<,15303,117339829.1,519110.89710630605,89154025.1,456655.74302310974,43459.195962962964,192.2632952245578,33020.009296296295,169.13175667522583
96,>,10000,93759526.2,540095.3108043063,91684254.8,524114.7917009649,34725.75044444444,200.0353002978912,33957.1314074074,194.11658951887588
97,>=,1426,7053648.4,69455.12832598436,6736665.0,70178.56015231881,2612.4623703703705,25.72412160221643,2495.061111111111,25.992059315673632
98,&,400,4370062.9,251861.7820969313,4069016.7,238603.394773816,1618.5418148148149,93.28214151738196,1507.0432222222223,88.37162769400592
104,Ball.init-values,100,19240600.4,1091345.0700237276,877949.6,47075.81392917958,7126.1482962962955,404.2018777865658,325.1665185185185,17.43548664043688
105,Ball.bounce,5000,240534650.2,850341.3956246021,34495139.1,214974.15522750412,89086.90748148148,314.9412576387415,12775.977444444445,79.62005749166819
106,Ball.init,100,202576.8,12744.116998174404,202576.8,12744.116998174404,75.02844444444445,4.720043332657187,75.02844444444445,4.720043332657187
107,Bounce.benchmark,1,438189596.5,2264086.03977284,52888771.0,277832.84820875403,162292.44314814816,838.5503851010519,19588.433703703704,102.90105489213113
108,Bounce.verify_result,1,20111.4,8014.2584540568105,2384.1,186.934804283824,7.448666666666667,2.9682438718728927,0.883,0.0692351126977126
109,Random.next,400,11763188.3,673995.8684387736,1004539.6,60377.985310437165,4356.736407407408,249.62809942176798,372.0517037037037,22.362216781643394
110,Random.init,1,9561.0,2206.7067627671117,9561.0,2206.7067627671117,3.5411111111111113,0.8172988010248562,3.5411111111111113,0.8172988010248562
111,custom_abs,1426,11458727.4,98353.70992301744,4066182.2,50339.72954321675,4243.973111111111,36.42729997148794,1505.9934074074074,18.644344275265464
