Function identifier,Function label,calls,inclusive execution time(ticks),inclusive execution time(ticks)_std,exclusive execution time(ticks),exclusive execution time(ticks)_std,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,44,133105130126.9,1142201605.065652,230126.7,11204.404740523862,49298196.3432963,423037.631505797,85.23211111111111,4.149779533527356
2,base.class,117625,11718619.2,109634.12534886441,11718619.2,109634.12534886441,4340.229333333333,40.605231610690524,4340.229333333333,40.605231610690524
6,base.=,3002751,421342011.5,3992995.417691755,421342011.5,3992995.417691755,156052.59685185185,1478.887191737687,156052.59685185185,1478.887191737687
21,double.trunc,40000,8624258.7,1234194.7694020926,8624258.7,1234194.7694020926,3194.1698888888886,457.1091738526269,3194.1698888888886,457.1091738526269
22,double.sin,10000,4075331.4,52680.60882875613,4075331.4,52680.60882875613,1509.382,19.51133660324301,1509.382,19.51133660324301
23,double.cos,10000,4033631.2,46181.09796693422,4033631.2,46181.09796693422,1493.9374814814817,17.104110358123783,1493.9374814814817,17.104110358123783
24,double.sqrt,21478,3239483.8,58106.11039487201,3239483.8,58106.11039487201,1199.8088148148147,21.520781627730376,1199.8088148148147,21.520781627730376
26,double.+,3085654,1207778544.9,11993147.440456478,1207778544.9,11993147.440456478,447325.38700000005,4441.906459428325,447325.38700000005,4441.906459428325
27,double.-,3175705,3319064781.3,32349787.662843827,3319064781.3,32349787.662843827,1229283.2523333335,11981.402838090306,1229283.2523333335,11981.402838090306
28,double.*,290470,347863355.2,3960951.1425201604,347863355.2,3960951.1425201604,128838.2797037037,1467.0189416741334,128838.2797037037,1467.0189416741334
29,double./,2159969,573304406.7,5946891.490303472,573304406.7,5946891.490303472,212334.96544444447,2202.5524038161007,212334.96544444447,2202.5524038161007
30,double.=,3818354,661558117.9,7855253.224886891,661558117.9,7855253.224886891,245021.52514814815,2909.353046254404,245021.52514814815,2909.353046254404
31,double.<,2754379,468419409.3,4164772.053226863,468419409.3,4164772.053226863,173488.6701111111,1542.5081678618012,173488.6701111111,1542.5081678618012
32,double.>,1700134,210485483.5,2345500.642984609,210485483.5,2345500.642984609,77957.58648148148,868.7039418461516,77957.58648148148,868.7039418461516
33,double.<=,2535773,1872948235.9,17901123.437615056,1872948235.9,17901123.437615056,693684.5318148149,6630.045717635206,693684.5318148149,6630.045717635206
34,double.>=,12915,1535473.0,26736.051832290934,1535473.0,26736.051832290934,568.6937037037037,9.902241419367012,568.6937037037037,9.902241419367012
43,lambda-43,886617,2627821235.2,24527715.09745988,2399161679.1,22730689.56798844,973267.1241481481,9084.33892498514,888578.3996666666,8418.773914069792
46,int.as,10000,5353169.3,64699.42053356383,5353169.3,64699.42053356383,1982.6552962962962,23.962748345764382,1982.6552962962962,23.962748345764382
48,int.+,896817,231635126.5,1421972.045771108,231635126.5,1421972.045771108,85790.78759259259,526.6563132485585,85790.78759259259,526.6563132485585
49,int.-,116104,145792652.6,2543254.5143630942,145792652.6,2543254.5143630942,53997.27874074074,941.9461164307756,53997.27874074074,941.9461164307756
50,int.*,2307,7767315.5,102409.56888036965,7767315.5,102409.56888036965,2876.7835185185186,37.92946995569246,2876.7835185185186,37.92946995569246
53,int.=,2379522,360176913.3,5816822.619514624,360176913.3,5816822.619514624,133398.85677777778,2154.3787479683792,133398.85677777778,2154.3787479683792
54,int.<,2715390,1141701856.5,11629613.354453849,1141701856.5,11629613.354453849,422852.53944444447,4307.264205353277,422852.53944444447,4307.264205353277
56,int.>,753623,173048930.9,1868468.1748079304,173048930.9,1868468.1748079304,64092.19662962963,692.0252499288631,64092.19662962963,692.0252499288631
57,int.>=,117625,401312406.7,4312902.350963923,401312406.7,4312902.350963923,148634.2247037037,1597.3712410977494,148634.2247037037,1597.3712410977494
64,lambda-64,117625,424106836.9,4654243.591609506,140683073.1,1354306.9722087577,157076.60625925925,1723.7939228183354,52104.841888888885,501.5951748921325
65,list.get,185616,250448814.7,2240529.919724987,250448814.7,2240529.919724987,92758.82025925926,829.8258961944396,92758.82025925926,829.8258961944396
66,list.set,189613,204461052.7,2648167.3734141677,204461052.7,2648167.3734141677,75726.3158148148,980.8027308941362,75726.3158148148,980.8027308941362
67,list.put,582320,78207886.8,1012407.0546075421,78207886.8,1012407.0546075421,28965.884,374.96557578057116,28965.884,374.96557578057116
68,list.length,204799,31158882.2,1345692.6471382917,31158882.2,1345692.6471382917,11540.32674074074,498.4046841252932,11540.32674074074,498.4046841252932
