Function identifier,Function label,calls,inclusive execution time(ticks),inclusive execution time(ticks)_std,exclusive execution time(ticks),exclusive execution time(ticks)_std,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,30,1732725106.2,5006326.978690873,238124.4,16651.94952518994,641750.0393333334,1854.1951772929158,88.19422222222222,6.1673887130333105
2,base.class,3127,348311.3,13048.522356755066,348311.3,13048.522356755066,129.00418518518518,4.832786058057431,129.00418518518518,4.832786058057431
6,base.=,144072,18119271.3,126373.03714133937,18119271.3,126373.03714133937,6710.841222222222,46.804828570866434,6710.841222222222,46.804828570866434
43,lambda-43,47203,156087754.4,536406.5120828459,139954479.1,479515.2231627595,57810.27940740741,198.6690785492022,51834.992259259256,177.59823080102203
44,lambda-44,5322,18551561.7,113004.83222136529,16491110.9,85914.43213233164,6870.948777777778,41.85364156346863,6107.818851851852,31.82016004901172
48,int.+,47203,16133275.3,107922.07701812123,16133275.3,107922.07701812123,5975.287148148149,39.97113963634119,5975.287148148149,39.97113963634119
49,int.-,6523,2466281.0,43563.71404349222,2466281.0,43563.71404349222,913.4374074074074,16.13470890499712,913.4374074074074,16.13470890499712
50,int.*,604,366318.0,15557.2534715787,366318.0,15557.2534715787,135.67333333333335,5.761945730214333,135.67333333333335,5.761945730214333
53,int.=,2666,453819.3,16220.500729177977,453819.3,16220.500729177977,168.0812222222222,6.00759286265851,168.0812222222222,6.00759286265851
54,int.<,41584,103321672.3,372628.5417219151,103321672.3,372628.5417219151,38267.28603703703,138.01057100811673,38267.28603703703,138.01057100811673
57,int.>=,3127,12239357.6,106281.9956205881,12239357.6,106281.9956205881,4533.095407407407,39.363702081699294,4533.095407407407,39.363702081699294
58,int.&,1200,2947173.0,36218.12110270939,2947173.0,36218.12110270939,1091.5455555555557,13.414118926929403,1091.5455555555557,13.414118926929403
64,lambda-64,3127,9299054.0,94885.6389466594,4125670.1,55869.297277711135,3444.094074074074,35.14282923950348,1528.025962962963,20.692332325078198
65,list.get,156,176252.3,4902.004585666432,176252.3,4902.004585666432,65.27862962962962,1.8155572539505302,65.27862962962962,1.8155572539505302
66,list.set,4737,11010090.3,104816.99644071417,11010090.3,104816.99644071417,4077.8112222222226,38.8211097928571,4077.8112222222226,38.8211097928571
67,list.put,13984,2378082.3,32726.04763487331,2378082.3,32726.04763487331,880.7712222222221,12.120758383286411,880.7712222222221,12.120758383286411
68,list.length,3885,1236659.7,21375.182946831763,1236659.7,21375.182946831763,458.0221111111111,7.916734424752505,458.0221111111111,7.916734424752505
80,str.length,29082,97382259.9,920141.4244314437,97382259.9,920141.4244314437,36067.50366666667,340.79312015979394,36067.50366666667,340.79312015979394
83,str.char-at,25820,23276163.0,156266.09017549775,23276163.0,156266.09017549775,8620.801111111112,57.8763296946288,8620.801111111112,57.8763296946288
84,str.substring,2661,16477782.1,119956.18080383394,16477782.1,119956.18080383394,6102.882259259259,44.428215112531085,6102.882259259259,44.428215112531085
88,-,1201,7980294.6,93140.5676872046,7574464.4,90539.38535036045,2955.6646666666666,34.49650655081652,2805.3571851851852,33.53310568531868
89,*,604,4706665.5,66686.38753819779,4340347.5,65862.69807913434,1743.2094444444444,24.698662051184364,1607.536111111111,24.393591881160866
92,=,120475,256926241.3,1184207.467531414,233133054.6,1067448.1270556268,95157.86714814816,438.59535834496813,86345.57577777778,395.35115816875066
93,!=,29390,47457214.0,237612.11300418992,36057224.9,201555.8625122125,17576.745925925927,88.00448629784812,13354.52774074074,74.6503194489676
94,<,41584,413996872.9,1460226.8484721691,310675200.6,1207720.0488593746,153332.17514814815,540.824758693396,115064.88911111112,447.30372179976837
97,>=,3127,32796548.6,207416.2020663315,20557191.0,167954.36793868846,12146.869851851852,76.82081558012277,7613.774444444444,62.205321458773504
98,&,1200,11520580.9,58458.155973131106,8573407.9,67561.058458179,4266.881814814815,21.651168878937447,3175.3362592592594,25.02261424377
101,not,37951,9455834.5,58741.53062133182,9455834.5,58741.53062133182,3502.1609259259258,21.756122452345117,3502.1609259259258,21.756122452345117
105,empty_vec,1027,211072997.9,733253.8625581269,61830493.2,268269.16971649847,78175.1844074074,271.5755046511581,22900.182666666668,99.35895174685129
108,Vector.at,4,52539.5,2816.0746009107675,16512.2,587.635010242888,19.459074074074074,1.042990592929914,6.1156296296296295,0.21764259638625483
110,Vector.append,3989,238731491.1,915700.9082054032,35039022.1,172444.2412967463,88419.07077777777,339.14848452051973,12977.415592592593,63.868237517313446
121,Vector.size,599,4711437.1,66431.49668794163,1105597.6,21178.545535269244,1744.9767037037036,24.604258032570975,409.48059259259264,7.843905753803424
127,Vector.init,867,1445500.4,24967.89768440558,1445500.4,24967.89768440558,535.3705185185185,9.247369512742807,535.3705185185185,9.247369512742807
128,Json.benchmark,1,1732199751.9,5000085.883753864,50615.9,6011.168814447774,641555.4636666666,1851.8836606495793,18.74662962962963,2.226358820165842
129,Json.verify_result,1,235168.5,13362.722711452108,25621.3,7514.967220574937,87.09944444444444,4.9491565597970775,9.48937037037037,2.783321192805532
140,_JsonLiteral.init-values,3,42573.2,3081.499662245812,16095.6,913.7500752393951,15.767851851851852,1.1412961712021525,5.961333333333333,0.33842595379236856
146,_JsonLiteral.init,3,9488.2,395.9536921355697,9488.2,395.9536921355697,3.5141481481481485,0.14664951560576656,3.5141481481481485,0.14664951560576656
147,_Parser.init-values,1,1440.6,554.301115203451,1440.6,554.301115203451,0.5335555555555556,0.20529670933461147,0.5335555555555556,0.20529670933461147
148,_Parser.parse,1,1732142838.5,5000025.6750326175,18834.6,7176.495937213516,641534.3846296297,1851.8613611231917,6.975777777777777,2.6579614582272284
149,_Parser._read_value,3392,8085070091.7,23957328.55328169,15724671.8,82036.565659595,2994470.4043333335,8873.084649363589,5823.952518518518,30.383913207257407
150,_Parser._read_array_element,2793,4086355623.1,12163906.96539034,10541715.8,78166.32351971963,1513465.0455925926,4505.150727922348,3904.3391851851857,28.950490192488754
151,_Parser._read_array,553,4298903469.6,13084312.579498652,10655385.4,98338.80424029233,1592186.4702222224,4846.041696110612,3946.439037037037,36.42177934825642
152,_Parser._read_object_key_value_pair,598,2972557799.8,8629241.499494769,4838653.1,42836.11842199478,1100947.3332592594,3196.015370183248,1792.0937407407407,15.865229045183252
153,_Parser._read_object,157,3078458561.8,8869465.057543784,3168488.3,37283.85661255093,1140169.8377037037,3284.98705834955,1173.5141851851852,13.808835782426272
154,_Parser._read_name,598,304624784.5,1174367.8455314,1229007.9,24748.52142292651,112823.99425925926,434.95105390051856,455.1881111111111,9.166119045528337
155,_Parser._read_null,590,66123744.9,313710.041699907,2353637.7,44729.06006648895,24490.27588888889,116.18890433329888,871.7176666666668,16.566318543144057
156,_Parser._read_true,26,3851786.6,80635.95531340392,139328.8,12562.805610213029,1426.5876296296296,29.865168634594042,51.603259259259254,4.6528909667455665
157,_Parser._read_false,3,420485.7,16576.718210855408,18311.3,528.563604697227,155.73544444444445,6.139525263279781,6.781962962962963,0.19576429803601
158,_Parser._read_required_char,1860,53129066.5,249109.05383100483,2330684.2,44872.492766903284,19677.432037037037,92.26261253000179,863.2163703703704,16.619441765519735
159,_Parser._read_string,1351,472632486.9,1541593.6105633886,12023432.1,109728.9676544703,175049.06922222223,570.9605965049587,4453.123,40.640358390544556
160,_Parser._read_string_internal,1949,761497484.5,2065136.460233576,34028406.4,181902.165677452,282036.1053703704,764.8653556420652,12603.113481481481,67.37117247313037
163,_Parser._read_number,712,132767850.0,620158.254759982,12538820.5,90244.07182833675,49173.27777777778,229.68824250369704,4644.007592592593,33.423730306791384
164,_Parser._read_fraction,712,2940136.0,37199.46120719034,951591.6,20471.484584532136,1088.9392592592592,13.77757822488531,352.4413333333333,7.582031327604495
165,_Parser._read_exponent,712,5335657.7,61111.79735628631,1684451.0,23468.109178650342,1976.1695185185185,22.633999020846783,623.8707407407408,8.691892288389015
166,_Parser._read_char,10116,271553819.9,1296464.4255433928,14203780.9,114481.49541756538,100575.48885185184,480.1720094605158,5260.659592592593,42.40055385835755
167,_Parser._read_digit,2543,74394379.5,323348.85306634137,4650250.5,59471.545245117835,27553.47388888889,119.75883446901533,1722.315,22.026498238932533
168,_Parser._skip_white_space,8690,65146910.1,329639.904921129,8091041.1,102136.69783182464,24128.48522222222,122.08885367449223,2996.681888888889,37.828406604379495
169,_Parser._read,25821,816104868.0,2566081.130097682,278245537.2,828559.6052895936,302261.0622222222,950.4004185546971,103053.90266666666,306.8739278850347
170,_Parser._start_capture,2661,2770942.3,38484.20642986986,2770942.3,38484.20642986986,1026.2749259259258,14.253409788840688,1026.2749259259258,14.253409788840688
172,_Parser._end_capture,2661,221651934.1,1009583.445626327,48155335.8,220933.84223756284,82093.30892592593,373.9197946764174,17835.309555555556,81.82734897687513
175,_Parser._is_white_space,8690,57055869.0,298144.445724586,24312862.6,142510.1357209372,21131.803333333333,110.42386878688372,9004.763925925927,52.781531748495254
176,_Parser._is_digit,2543,24366557.4,154475.34867769261,10073611.6,57955.47848986715,9024.650888888887,57.21309210284912,3730.967259259259,21.46499203328413
177,_Parser._is_end_of_text,1,3082.1,427.1198402026494,2201.4,406.9093265089902,1.1415185185185184,0.15819253340838868,0.8153333333333334,0.15070715796629267
178,_Parser.init,1,4856.9,190.60068481679573,4856.9,190.60068481679573,1.7988518518518517,0.07059284622844286,1.7988518518518517,0.07059284622844286
179,_HashIndexTable.add,598,41307191.4,184647.71589175393,4775654.2,61824.00940156008,15298.959777777778,68.38804292287183,1768.760814814815,22.897781259837064
180,_HashIndexTable.get,2,84822.9,2564.572600074451,8664.4,370.378241943642,31.415888888888887,0.9498417037312782,3.209037037037037,0.13717712664579335
181,_HashIndexTable._string_hash,600,5829100.6,73751.9994208186,1010509.4,28687.18662142791,2158.926148148148,27.315555341043925,374.26274074074075,10.62488393386219
182,_HashIndexTable._hash_slot_for,600,20151265.5,104034.7833429305,2755011.5,36825.13226402801,7463.431666666666,38.531401238122406,1020.3746296296297,13.638937875565931
183,_HashIndexTable.init,157,76201172.6,324227.09019522514,237353.6,10329.668433054474,28222.656518518517,120.08410747971301,87.90874074074074,3.825803123353509
184,_JsonArray.add,2793,176490997.8,722397.883025663,6874988.3,99706.38688991842,65367.036222222225,267.5547714909863,2546.2919629629628,36.928291440710524
185,_JsonArray.size,1,9601.5,365.09256216385506,2880.1,185.08316765002814,3.556111111111111,0.13521946746809446,1.0667037037037037,0.06854932135186227
187,_JsonArray.is_array,1,682.5,179.56306618244776,682.5,179.56306618244776,0.25277777777777777,0.0665048393268325,0.25277777777777777,0.0665048393268325
188,_JsonArray.as_array,1,403.5,83.04944627338455,403.5,83.04944627338455,0.14944444444444444,0.03075905417532761,0.14944444444444444,0.03075905417532761
189,_JsonArray.init,553,4853457.2,49237.33178627337,3884957.6,49215.255549259884,1797.576740740741,18.236048809730878,1438.8731851851853,18.22787242565181
190,_JsonNumber.init-values,712,2626918.5,45896.3401310067,892366.7,23524.389218761655,972.9327777777778,16.998644492965443,330.5061851851852,8.712736747689501
193,_JsonNumber.init,712,386449.0,11254.720880824336,386449.0,11254.720880824336,143.12925925925927,4.16841514104605,143.12925925925927,4.16841514104605
194,_JsonObject.add,598,132661374.9,414558.3405152124,5723378.0,75940.94540808475,49133.84255555556,153.54012611674534,2119.7696296296294,28.126276077068425
195,_JsonObject.get,2,187214.8,9585.126710855619,12958.1,9628.807555291678,69.33881481481481,3.550046929946525,4.799296296296297,3.566225020478399
198,_JsonObject.is_object,2,1646.3,386.0495059608697,1646.3,386.0495059608697,0.6097407407407407,0.1429812985040258,0.6097407407407407,0.1429812985040258
199,_JsonObject.as_object,1,638.6,225.7022724508411,638.6,225.7022724508411,0.23651851851851852,0.08359343424105226,0.23651851851851852,0.08359343424105226
200,_JsonObject.index_of,2,142394.6,4178.719829149392,11902.9,498.55854325508415,52.738740740740745,1.5476740107960711,4.4084814814814814,0.18465131231669782
201,_JsonObject.init,157,79504054.6,341562.68887083227,2825881.2,31330.13216092547,29445.946148148145,126.50469958178972,1046.6226666666666,11.603752652194618
202,_JsonString.init-values,1351,855880.7,16645.703694473537,855880.7,16645.703694473537,316.9928518518518,6.165075442397606,316.9928518518518,6.165075442397606
204,_JsonString.init,1351,657793.1,21797.268882277785,657793.1,21797.268882277785,243.62707407407407,8.073062548991773,243.62707407407407,8.073062548991773
