Function identifier,Function label,calls,inclusive execution time(ticks),inclusive execution time(ticks)_std,exclusive execution time(ticks),exclusive execution time(ticks)_std,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,21,121006440.8,2478876.6700842013,172202.6,7956.1189454208225,44817.200296296294,918.102470401556,63.778740740740744,2.9467107205262306
6,base.=,39621,6466970.8,144179.57313441133,6466970.8,144179.57313441133,2395.1743703703705,53.39984190163383,2395.1743703703705,53.39984190163383
44,lambda-44,31,465933.1,34939.6798314798,367556.8,34453.25713668181,172.5678148148148,12.940622159807333,136.13214814814813,12.760465606178448
48,int.+,9,40147.2,4318.107158417789,40147.2,4318.107158417789,14.869333333333332,1.599298947562144,14.869333333333332,1.599298947562144
49,int.-,31,98376.3,5746.30507461328,98376.3,5746.30507461328,36.43566666666667,2.1282611387456596,36.43566666666667,2.1282611387456596
53,int.=,35,50511.6,9989.998590169018,50511.6,9989.998590169018,18.708,3.699999477840377,18.708,3.699999477840377
87,+,9,71928.7,6669.965431142171,31781.5,4857.043409751505,26.64025925925926,2.470357567089693,11.770925925925926,1.7989049665746315
92,=,18797,29637289.7,608996.8722592833,26560181.3,541009.4774853381,10976.773962962963,225.5543971330679,9837.104185185186,200.37388055012522
93,!=,20859,45682680.7,980677.2361586125,36175065.4,797638.4732032028,16919.511370370372,363.2137911698565,13398.17237037037,295.421656741927
101,not,20859,6067241.3,136583.59229389654,6067241.3,136583.59229389654,2247.1264074074074,50.58651566440612,2247.1264074074074,50.58651566440612
104,Element.init-values,31,45693.3,4095.599706745611,45693.3,4095.599706745611,16.923444444444446,1.5168887802761521,16.923444444444446,1.5168887802761521
105,Element.length,10,752506.6,40410.613952798405,45081.3,2366.373309963004,278.70614814814815,14.966894056592002,16.69677777777778,0.876434559245557
106,Element.init,31,73875.5,9461.46718065049,73875.5,9461.46718065049,27.361296296296295,3.504247103944626,27.361296296296295,3.504247103944626
107,List.benchmark,1,120817651.4,2480529.0185784423,33368.7,1973.3247685328583,44747.278296296296,918.714451325349,12.358777777777776,0.7308610253825402
108,List.make_list,34,14779924.6,1360943.2750208448,989022.2,84814.23740188412,5474.046148148148,504.0530648225351,366.3045185185185,31.41268051921634
109,List.is_shorter_than,2809,112131032.0,2346817.2604440046,37678148.1,800266.3274468401,41530.01185185185,869.191577942224,13954.869666666667,296.39493609142227
110,List.tail,2809,1201112493.3,26280990.819663793,6109920.9,162955.64309018842,444856.479,9733.700303579182,2262.933666666667,60.35394188525497
111,List.verify_result,1,16586.8,2997.9360900459496,1296.0,360.8218688669405,6.143259259259259,1.1103467000170184,0.48,0.13363772920997796
