Function identifier,Function label,calls,inclusive execution time(ticks),inclusive execution time(ticks)_std,exclusive execution time(ticks),exclusive execution time(ticks)_std,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,18,38823956791.8,219341503.5197104,14676677235.4,147171924.58886817,14379243.256222224,81237.59389618904,5435806.383481481,54508.12021809932
48,int.+,3999999,692958800.3,6023587.981100906,692958800.3,6023587.981100906,256651.4075185185,2230.958511518854,256651.4075185185,2230.958511518854
52,int.%,999999,355876152.4,3191173.1911927983,355876152.4,3191173.1911927983,131805.98237037036,1181.9159967380735,131805.98237037036,1181.9159967380735
53,int.=,9,5378.1,454.4037041175935,5378.1,454.4037041175935,1.991888888888889,0.1682976681917013,1.991888888888889,0.1682976681917013
54,int.<,1000004,132730939.0,1991036.5155971036,132730939.0,1991036.5155971036,49159.607037037036,737.4209317026309,49159.607037037036,737.4209317026309
65,list.get,1000002,3750947247.3,38394161.96167978,3750947247.3,38394161.96167978,1389239.7212222223,14220.059985807326,1389239.7212222223,14220.059985807326
68,list.length,4,2328.2,395.19743233770606,2328.2,395.19743233770606,0.8622962962962962,0.1463694193843356,0.8622962962962962,0.1463694193843356
87,+,2999997,19736833108.3,76635063.35693891,19214628618.8,75015395.19668436,7309938.188259259,28383.356798866265,7116529.118074073,27783.479702475688
92,=,9,53055.9,7765.261143133092,47677.8,7988.797759494558,19.650333333333332,2.876022645604849,17.658444444444445,2.958813984997984
104,check-benchmark-result,1,123769.0,16438.822796884466,48203.7,3534.810425944852,45.84037037037037,6.088452887734987,17.85322222222222,1.3091890466462415
105,A.init,3,34210.8,1415.8263943532654,34210.8,1415.8263943532654,12.670666666666667,0.524380146056765,12.670666666666667,0.524380146056765
