Function identifier,Function label,calls,inclusive execution time(ticks),inclusive execution time(ticks)_std,exclusive execution time(ticks),exclusive execution time(ticks)_std,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,20,393734195.8,2464791.864747069,159509.7,11440.039184235427,145827.47992592593,912.8858758322477,59.07766666666667,4.237051549716825
43,lambda-43,9810,39594593.4,358566.7689202901,34779201.5,333156.31653427175,14664.664222222222,132.80250700751486,12881.18574074074,123.39122834602658
48,int.+,19930,9902087.6,119998.01417760398,9902087.6,119998.01417760398,3667.439851851852,44.44370895466814,3667.439851851852,44.44370895466814
49,int.-,4580,2504742.1,45900.404426494795,2504742.1,45900.404426494795,927.6822592592592,17.000149787590665,927.6822592592592,17.000149787590665
53,int.=,1130,280305.1,20334.867183187955,280305.1,20334.867183187955,103.8167037037037,7.5314322900696125,103.8167037037037,7.5314322900696125
54,int.<,9821,2222270.5,57758.03238329255,2222270.5,57758.03238329255,823.0631481481481,21.391863845663906,823.0631481481481,21.391863845663906
65,list.get,14520,54547921.2,357852.4849195778,54547921.2,357852.4849195778,20202.93377777778,132.5379573776214,20202.93377777778,132.5379573776214
66,list.set,7670,35928161.7,229322.35267943647,35928161.7,229322.35267943647,13306.726555555557,84.93420469608758,13306.726555555557,84.93420469608758
87,+,10120,63939257.4,548136.813497892,58852561.7,521796.30655579886,23681.206444444444,203.01363462884888,21797.245074074075,193.25789131696254
88,-,4580,11454190.5,117970.64067564042,8949448.4,106141.90294248822,4242.292777777778,43.69282987986682,3314.610518518519,39.31181590462526
92,=,1130,3969420.0,57663.84336096498,3689114.9,59143.3132670126,1470.1555555555556,21.356979022579623,1366.3388518518518,21.904930839634297
94,<,9821,85611228.8,660155.9388799618,83388958.3,644332.499202825,31707.86251851852,244.50219958517104,30884.79937037037,238.64166637141668
104,Queens.benchmark,1,393563024.1,2469285.229149561,100523.1,3846.570610707399,145764.083,914.5500848702078,37.23077777777778,1.424655781743481
106,Queens.queens,10,393267960.1,2474191.7209099936,192005.8,16098.875827375745,145654.80003703706,916.3673040407384,71.11325925925925,5.9625466027317575
107,Queens.place_queen,1130,2193471322.0,15014709.559604226,53950160.9,357368.1332487189,812396.785925926,5561.003540594158,19981.541074074074,132.3585678698959
108,Queens.get_row_column,8760,129928522.8,802039.788747718,29153982.9,182599.681896853,48121.67511111111,297.0517736102659,10797.771444444445,67.62951181364926
109,Queens.set_row_column,2180,78231178.7,446210.8374188275,15121578.4,120042.08425486738,28974.51062962963,165.26327311808427,5600.584592592592,44.46003120550644
110,Queens.init,1,11662.0,7114.068818748856,11662.0,7114.068818748856,4.319259259259259,2.634840303240317,4.319259259259259,2.634840303240317
