Function identifier,Function label,calls,inclusive execution time(ticks),inclusive execution time(ticks)_std,exclusive execution time(ticks),exclusive execution time(ticks)_std,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,20,705300136.9,6163520.832174093,158225.2,30994.16676119964,261222.2729259259,2282.7854933978124,58.60192592592593,11.479321022666534
6,base.=,4999,883974.7,48889.412278712174,883974.7,48889.412278712174,327.398037037037,18.107189732856362,327.398037037037,18.107189732856362
43,lambda-43,15668,58313821.9,1038026.599422593,50045282.3,922497.2737902434,21597.711814814815,384.4542960824419,18535.28974074074,341.6656569593494
44,lambda-44,16068,74307010.9,680836.9436687463,65899698.8,612324.0130623658,27521.11514814815,252.16183098842455,24407.29585185185,226.78667150457994
48,int.+,27406,14312671.9,207106.49529215653,14312671.9,207106.49529215653,5300.989592592593,76.70610936746539,5300.989592592593,76.70610936746539
49,int.-,16068,8407312.1,106560.98870940667,8407312.1,106560.98870940667,3113.819296296296,39.4670328553358,3113.819296296296,39.4670328553358
53,int.=,1,12785.8,3319.686852701622,12785.8,3319.686852701622,4.735481481481481,1.2295136491487488,4.735481481481481,1.2295136491487488
54,int.<,10001,27074588.6,259609.38978809578,27074588.6,259609.38978809578,10027.625407407408,96.15162584744289,10027.625407407408,96.15162584744289
55,int.<=,11738,2690175.1,44505.8366768367,2690175.1,44505.8366768367,996.3611481481482,16.483643213643223,996.3611481481482,16.483643213643223
65,list.get,4999,38151608.1,270029.90947357164,38151608.1,270029.90947357164,14130.225222222223,100.0110775828043,14130.225222222223,100.0110775828043
66,list.set,11069,84630922.7,745069.5682492086,84630922.7,745069.5682492086,31344.786185185185,275.9516919441513,31344.786185185185,275.9516919441513
67,list.put,5000,1172643.7,55523.719704284915,1172643.7,55523.719704284915,434.3124814814815,20.564340631216634,434.3124814814815,20.564340631216634
87,+,11738,55516867.7,441112.8851173324,49472735.4,402403.8477712338,20561.80285185185,163.37514263604905,18323.235333333334,149.038462137494
92,=,5000,6833659.3,122825.44946519146,5936898.8,109704.05824168364,2530.984925925926,45.49090720933017,2198.8514074074074,40.631132682105054
94,<,10001,123574313.0,2105174.5544486074,96499724.4,2040552.6298064291,45768.264074074075,779.6942794254102,35740.638666666666,755.7602332616405
95,<=,11738,110297718.9,887421.4989634368,107607543.8,873673.7426045199,40851.007000000005,328.6746292457173,39854.64585185185,323.58286763130366
104,Sieve.benchmark,1,705122017.4,6141387.8196151005,14213.9,2187.3939769795284,261156.30274074074,2274.5880813389263,5.264407407407408,0.8101459173998253
105,Sieve._sieve,1,705107803.5,6140063.04536317,152327348.1,1436820.3384417188,261151.03833333333,2274.0974242085817,56417.53633333333,532.1556809043403
106,Sieve.verify_result,1,19894.3,3279.9859611381194,1783.5,717.3882087860541,7.368259259259259,1.2148096152363406,0.6605555555555556,0.26569933658742745
