Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,23,293305.7,1419.193622041096,91.15,5.323977539594365
43,lambda-43,6581,23683.05,133.17122930944757,18270.85,107.04316640348516
45,int.neg,713,579.5,14.394809005880889,579.5,14.394809005880889
48,int.+,16981,17338.3,93.36352268643813,17338.3,93.36352268643813
49,int.-,913,762.1,24.880556771566788,762.1,24.880556771566788
50,int.*,400,364.15,13.227861346017871,364.15,13.227861346017871
52,int.%,400,450.9,19.014952565090226,450.9,19.014952565090226
53,int.=,1,2.05,0.39403446282620624,2.05,0.39403446282620624
54,int.<,15303,19770.15,138.5596109603144,19770.15,138.5596109603144
56,int.>,10000,7184.75,82.40329260156385,7184.75,82.40329260156385
57,int.>=,1426,1007.15,20.116175737843157,1007.15,20.116175737843157
58,int.&,400,373.1,14.628379051836555,373.1,14.628379051836555
65,list.get,5000,6381.55,53.12495201236226,6381.55,53.12495201236226
66,list.set,100,140.2,6.485611605294975,140.2,6.485611605294975
67,list.put,100,102.8,21.522570771903133,102.8,21.522570771903133
68,list.length,5050,3903.4,51.04322213884805,3903.4,51.04322213884805
87,+,10400,43394.45,258.49391217508185,31468.35,214.32569288720134
88,-,913,2937.8,59.26443861381397,2175.7,46.296640778445415
89,*,400,1560.1,42.848447739494716,1195.95,37.07953755460224
91,%,400,2388.5,66.47714288622663,1937.6,49.66455900390772
92,=,1,7.2,0.4103913408340616,5.15,0.5871429486123998
94,<,15303,71505.25,423.39453729414953,51735.1,321.34714791590136
96,>,10000,52886.0,250.0002105262265,45701.25,215.8154364997534
97,>=,1426,5087.55,50.99171759372196,4080.4,45.01391597693925
98,&,400,2319.65,62.816587651754254,1946.55,53.946830549308324
104,Ball.init-values,100,12140.95,332.5982996760029,994.25,34.208147690587595
105,Ball.bounce,5000,173682.2,832.1849870260671,34351.4,155.10689013844933
106,Ball.init,100,120.75,7.070137346987196,120.75,7.070137346987196
107,Bounce.benchmark,1,293205.0,1419.9583759651873,35756.05,201.2465037290278
108,Bounce.verify_result,1,9.55,0.5104177855340405,2.35,0.5871429486123997
109,Random.next,400,7603.0,206.73120101640257,1415.3,46.39317100381771
110,Random.init,1,2.15,0.670820393249937,2.15,0.670820393249937
111,custom_abs,1426,9362.35,69.04253075193287,3695.3,27.951273391574297
