Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,42,8302283.9,45029.91582083598,165.1,6.719179147861187
2,base.class,27065,17863.0,137.96376335835404,17863.0,137.96376335835404
6,base.=,89328,60223.2,302.9631903991667,60223.2,302.9631903991667
43,lambda-43,278737,1057657.25,4580.906298229431,830127.85,3398.4975050903463
44,lambda-44,2003,4410.5,59.67411499134288,2971.55,56.45070042920078
48,int.+,305749,247052.1,1568.2192683691308,247052.1,1568.2192683691308
49,int.-,19081,14281.5,108.85504605957252,14281.5,108.85504605957252
50,int.*,25133,20785.45,327.1575308624266,20785.45,327.1575308624266
51,int./,11,8.85,1.1367080817685318,8.85,1.1367080817685318
53,int.=,270337,188743.95,946.0365785183658,188743.95,946.0365785183658
54,int.<,262125,209108.45,1250.2219792374597,209108.45,1250.2219792374597
55,int.<=,2006,1436.45,26.955079591599702,1436.45,26.955079591599702
56,int.>,12027,8408.0,385.7719533610499,8408.0,385.7719533610499
57,int.>=,27045,48912.95,440.9837656637119,48912.95,440.9837656637119
58,int.&,3032,6206.95,52.92942172563885,6206.95,52.92942172563885
60,int.^,3032,6257.9,68.42891047995491,6257.9,68.42891047995491
61,int.>>,3032,2764.15,36.62509206023988,2764.15,36.62509206023988
64,lambda-64,27065,180894.4,1144.3767046323692,63627.75,361.4170757332569
65,list.get,194470,386288.15,1726.7451667957916,386288.15,1726.7451667957916
66,list.set,48041,93039.9,752.3103992648955,93039.9,752.3103992648955
67,list.put,53265,36319.55,306.3670785872805,36319.55,306.3670785872805
68,list.length,48324,33370.2,233.75866997712606,33370.2,233.75866997712606
87,+,27012,156770.95,2440.0869586532117,137248.25,2314.4765208982926
88,-,17078,70225.4,342.41378476924893,57382.85,305.9384656051656
89,*,25133,66581.85,683.481357309382,45796.4,401.5222875114424
90,/,11,44.05,1.848897253129979,35.2,2.353049533108719
92,=,285400,1025232.85,4027.519064935771,667031.65,2700.467995990399
93,!=,101330,459540.05,2281.923460937929,314924.45,1662.4806916171945
94,<,262125,1738845.95,17571.234577465395,1529737.5,16814.026686699803
95,<=,2006,49395.9,671.6056878853841,47959.45,662.1605366644777
96,>,12027,26869.4,552.4470348511152,18461.4,426.96793913903133
97,>=,27045,264479.35,1997.316496412654,215566.4,1665.6917134363484
98,&,3032,17450.55,133.6348028258965,11243.6,97.97174673289561
100,^,3032,11107.75,86.55322366218228,4849.85,43.38478389578775
101,not,134407,96865.45,617.0965526262123,96865.45,617.0965526262123
104,vector_with,6021,431410.4,3170.8907996267994,39553.2,316.886929859516
105,empty_vec,9174,928739.15,12862.667568444585,280132.05,7694.658211861548
107,Vector.init-values,9030,304670.35,2295.017859694295,21892.6,146.28213547079017
108,Vector.at,1998,91774.0,1613.7153274028024,8087.55,136.7496656399261
110,Vector.append,25056,1907751.0,10241.284073478493,402050.35,2744.708560408353
111,Vector.is_empty,34085,224700.7,1576.642037936797,52252.25,588.5097928801101
112,Vector.for_each,17195,4876399.8,26543.70175984867,743679.2,3423.2729890990013
116,Vector.remove_first,14027,420571.95,2522.0461090780504,68279.8,343.8955777864107
