Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,21,391437.95,3168.7735046361736,88.2,13.590244178899262
6,base.=,8205,5742.45,86.27158768740307,5742.45,86.27158768740307
43,lambda-43,8191,29818.65,222.19817494157846,23135.5,187.50452626115776
44,lambda-44,8204,25695.15,210.26531485620464,18968.05,167.1855178190417
48,int.+,8191,6683.15,62.64711107717406,6683.15,62.64711107717406
49,int.-,16394,17046.15,148.60164871225365,17046.15,148.60164871225365
53,int.=,8192,5982.6,74.43075199207145,5982.6,74.43075199207145
57,int.>=,8092,5838.9,85.9613744348986,5838.9,85.9613744348986
65,list.get,16396,23184.0,189.717241122013,23184.0,189.717241122013
66,list.set,16396,19395.8,178.09092887446118,19395.8,178.09092887446118
88,-,8190,36324.05,307.41117245046365,26005.0,219.17572858325354
92,=,8192,43923.45,370.31970185091143,37940.85,335.84743951916613
93,!=,8205,32185.8,296.93550602250656,20464.95,205.122934897716
97,>=,8092,19707.6,202.16496651054652,13868.7,139.360229923069
101,not,8205,5978.4,86.29838078617567,5978.4,86.29838078617567
104,_TowersDisk.init-values,14,28.45,5.77175518319487,28.45,5.77175518319487
105,_TowersDisk.init,14,32.75,6.7813599008799965,32.75,6.7813599008799965
106,Towers._push_disk,8205,113397.85,912.7866687411567,38492.4,298.24528937030806
107,Towers._pop_disk_from,8191,44882.05,392.73768867434256,25516.35,228.82106891400338
108,Towers._move_top_disk,8191,238844.15,1833.2245469319025,51264.55,399.2629360525007
109,Towers._build_tower_at,1,1209.75,233.4723865110345,294.0,56.248508752162536
110,Towers._move_disks,8191,4597320.95,35160.3439275362,45461.9,356.39022078851275
111,Towers.benchmark,1,391336.4,3160.15388366153,19.05,3.4101242453055955
112,Towers.verify_result,1,9.4,1.9574419397183718,1.85,0.3663475485325232
113,Towers.init,1,3.95,0.8870412083230169,3.95,0.8870412083230169
