Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,42,8359683.7,72401.33201529842,148.4,9.906935369782762
2,base.class,27065,17529.85,154.4679408059877,17529.85,154.4679408059877
6,base.=,89328,59110.95,532.1757203860587,59110.95,532.1757203860587
43,lambda-43,278737,974496.1,7736.373636407775,782150.55,6224.366207219724
44,lambda-44,2003,4405.8,64.09745869007844,2997.65,54.4979719564721
48,int.+,305749,211617.85,2029.8060128987702,211617.85,2029.8060128987702
49,int.-,19081,14036.95,139.53813853303018,14036.95,139.53813853303018
50,int.*,25133,20098.25,494.4527942983774,20098.25,494.4527942983774
51,int./,11,9.2,1.5078740698501039,9.2,1.5078740698501039
53,int.=,270337,185571.75,2171.371356030439,185571.75,2171.371356030439
54,int.<,262125,305868.8,2409.5294277426615,305868.8,2409.5294277426615
55,int.<=,2006,1397.45,24.566719036341144,1397.45,24.566719036341144
56,int.>,12027,8234.85,393.4617315705889,8234.85,393.4617315705889
57,int.>=,27045,47934.0,289.7572486718751,47934.0,289.7572486718751
58,int.&,3032,6136.75,56.51909318749593,6136.75,56.51909318749593
60,int.^,3032,6153.9,61.144264266009365,6153.9,61.144264266009365
61,int.>>,3032,63664.4,821.9561647935399,63664.4,821.9561647935399
64,lambda-64,27065,234080.5,2010.0075805041663,118929.9,1245.6999681007921
65,list.get,194470,355666.45,3032.8358186079913,355666.45,3032.8358186079913
66,list.set,48041,60600.25,629.3856549299315,60600.25,629.3856549299315
67,list.put,53265,35667.4,562.6917825108719,35667.4,562.6917825108719
68,list.length,48324,72919.0,1391.9757635518633,72919.0,1391.9757635518633
87,+,27012,224779.5,6759.086013422384,205507.2,6616.882741975455
88,-,17078,68910.65,509.6578083174506,56281.85,415.26672151762875
89,*,25133,66389.3,1087.6381509345922,46291.05,851.8515113377576
90,/,11,45.35,5.7972316442283125,36.15,5.797231644228312
92,=,285400,969724.5,8108.732320289354,561267.3,4500.247023629291
93,!=,101330,381952.25,3119.9089540528184,240161.4,1992.164820913221
94,<,262125,1804557.75,24035.3358880212,1498688.95,22630.71661184836
95,<=,2006,9134.45,111.69576866131541,7737.0,105.9806337820363
96,>,12027,26622.0,573.7169667133235,18387.15,455.2250195464355
97,>=,27045,169188.8,1808.045516427524,121254.8,1624.1490273856946
98,&,3032,17278.9,146.65387105268286,11142.15,105.06302619706042
100,^,3032,11087.6,95.46308186938046,4933.7,51.57324887962754
101,not,134407,94921.55,812.6865437676785,94921.55,812.6865437676785
104,vector_with,6021,463980.85,3923.4317587782098,75706.8,1131.1970185325106
105,empty_vec,9174,935377.75,7038.601145973905,308793.75,3525.484078370247
107,Vector.init-values,9030,333204.2,3229.8699761999524,22587.3,193.55730825506797
108,Vector.at,1998,36108.5,435.98979949438944,8573.0,119.29794633605398
110,Vector.append,25056,1878971.3,11097.170645093076,358280.6,1533.3566687774255
111,Vector.is_empty,34085,147328.8,1262.0263405375222,58415.4,706.8077532115789
112,Vector.for_each,17195,5034272.35,52850.34194110852,730973.25,6499.573474872276
116,Vector.remove_first,14027,351120.15,2869.4643049475962,104777.95,986.9355268762631
117,State.init,10,18.95,1.6050905860647502,18.95,1.6050905860647502
118,each,4013,116472.35,1625.6152284758628,86777.7,1498.5785932009048
119,Vector.remove,10,328929.25,3819.553141058303,135.4,4.210263149670541
121,Vector.size,5,27.75,2.3141441523584345,10.3,2.2734161635370636
122,Vector.capacity,10,123.6,3.574765358512501,33.85,1.8431951662948325
123,Vector.sort,5,148.3,4.713921152456725,30.6,2.280350850198277
124,Vector._sort,3,61.5,3.2200032690405087,14.4,1.187655806953123
127,Vector.init,9041,10929.1,93.0992113709604,10929.1,93.0992113709604
128,Entry.init-values,16,22.0,1.97350876413186,22.0,1.97350876413186
130,Entry.init,16,22.55,4.273233707134385,22.55,4.273233707134385
131,_hash,3032,96792.7,909.0918603344282,13016.6,133.34813952878974
135,Dictionary._get_bucket_idx,3032,82858.15,1367.108214828888,10094.65,94.14058635891321
136,Dictionary._get_bucket,3016,98071.35,1458.5959100955158,8417.1,100.85106267216659
137,Dictionary.at,3016,272844.8,2835.7213804195235,21497.45,168.23713683526088
139,Dictionary.at_put,16,1165.4,26.284676344332574,194.75,6.608407722861762
146,Dictionary.get_keys,1,809.3,32.40224163785424,132.9,7.333413077716342
148,Dictionary.init,2,467.3,20.016046194569945,5.85,0.7451598203705947
149,_IdEntry.match,3016,21145.3,582.3854845646299,7550.8,86.92319658907621
150,IdentityDictionary._new_entry,16,126.7,8.74853371172925,82.15,6.1411039638437
151,DeltaBlue.inner_benchmark_loop,1,8356162.55,72364.2072396183,6.9,0.718184846459608
154,lambda,120160,935994.05,13437.151383874407,192727.8,1984.0509225213668
155,_Plan.execute,140,2770266.85,42084.7054631927,275.9,10.99712881188827
156,_Plan.init,5,830.9,17.350564983975538,12.5,1.3178930553209385
157,_Planner.incremental_add,3009,2034814.0,15011.680473270762,18424.5,181.97990056741546
158,_Planner.incremental_remove,5,1281446.95,9132.72089781403,52.9,1.8035053587243266
159,each,5,623.55,8.876195249388285,24.4,1.9574419397183704
160,_Planner.extract_plan_from_constraints,5,1264298.8,7833.79865239815,34.4,1.875043859136156
161,_Planner._make_plan,5,1263549.95,7833.910258915199,31601.4,238.97068747795097
