Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,30,1487557.45,23528.943319541777,118.1,5.543132308494331
2,base.class,3127,2047.6,31.872112872342964,2047.6,31.872112872342964
6,base.=,144072,93897.3,1267.8516474730004,93897.3,1267.8516474730004
43,lambda-43,47203,165075.65,2267.3937571581996,130317.05,1819.3692508813688
44,lambda-44,5322,16651.3,262.33989603686166,12622.8,227.30239538414128
48,int.+,47203,34758.6,497.3538822714948,34758.6,497.3538822714948
49,int.-,6523,4960.15,66.30414371428232,4960.15,66.30414371428232
50,int.*,604,512.45,17.388668421523374,512.45,17.388668421523374
53,int.=,2666,1861.25,42.56867516452866,1861.25,42.56867516452866
54,int.<,41584,69572.1,2230.7922335963253,69572.1,2230.7922335963253
57,int.>=,3127,6347.45,142.25199101372326,6347.45,142.25199101372326
58,int.&,1200,1819.05,39.7710222464336,1819.05,39.7710222464336
64,lambda-64,3127,21030.0,273.17316659468645,7514.4,100.28349289573244
65,list.get,156,165.6,8.0354477817127,165.6,8.0354477817127
66,list.set,4737,6911.5,128.61836653653447,6911.5,128.61836653653447
67,list.put,13984,9471.8,103.30618771909393,9471.8,103.30618771909393
68,list.length,3885,2787.15,47.07136239684102,2787.15,47.07136239684102
80,str.length,29082,20522.35,293.7760111664028,20522.35,293.7760111664028
83,str.char-at,25820,24235.35,347.33197755400937,24235.35,347.33197755400937
84,str.substring,2661,7615.2,153.01860911942086,7615.2,153.01860911942086
88,-,1201,5151.6,89.60521601358992,4219.95,81.72642103222714
89,*,604,2831.45,56.58200848512299,2319.0,49.280080314356944
92,=,120475,310563.6,4238.732027387444,213126.0,2942.7039660113546
93,!=,29390,108863.55,1486.948074519011,68591.45,962.0157277957109
94,<,41584,246918.3,5275.353698294103,177346.2,3086.9869929652828
97,>=,3127,17775.1,383.3321906924237,11427.65,246.0813461995208
98,&,1200,6372.55,120.06422623351489,4553.5,87.39595317621377
101,not,37951,27003.85,348.7607044197612,27003.85,348.7607044197612
105,empty_vec,1027,190357.5,2665.252955310151,50352.45,849.0092972648209
108,Vector.at,4,72.95,4.2855325776015505,19.35,1.5312533566021207
110,Vector.append,3989,225568.0,3306.1467474674328,28000.0,486.6816748466904
121,Vector.size,599,3560.3,52.89821407790227,1141.5,18.96117917718922
127,Vector.init,867,1097.4,30.986244826068432,1097.4,30.986244826068432
128,Json.benchmark,1,1487160.85,23529.306667207067,20.2,3.577708763999664
129,Json.verify_result,1,230.1,8.365971174000691,18.75,2.510504247944498
140,_JsonLiteral.init-values,3,42.45,1.7006190823220502,13.75,0.966545666958261
146,_JsonLiteral.init,3,5.95,0.8255779474818965,5.95,0.8255779474818965
147,_Parser.init-values,1,0.95,0.39403446282620613,0.95,0.39403446282620613
148,_Parser.parse,1,1487137.15,23529.81934588531,9.85,0.6708203932499373
149,_Parser._read_value,3392,7133181.55,114295.01232957815,21075.85,297.1958905644911
150,_Parser._read_array_element,2793,3693225.95,59356.97208236656,12577.55,196.3459554218682
151,_Parser._read_array,553,3802777.7,61211.411217792454,9976.9,181.8425866396247
152,_Parser._read_object_key_value_pair,598,2611420.3,41464.2111732642,5603.75,92.3545086238777
153,_Parser._read_object,157,2698216.65,42721.06001823435,2628.15,43.347160412067105
