Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,20,269842.95,3478.4850979004987,90.85,23.211328903655733
43,lambda-43,9810,32011.4,377.36543785064936,24226.25,263.4317798436238
48,int.+,19930,15870.4,248.18655971073972,15870.4,248.18655971073972
49,int.-,4580,3814.7,55.735370986002884,3814.7,55.735370986002884
53,int.=,1130,782.55,16.529001625532104,782.55,16.529001625532104
54,int.<,9821,6987.05,107.13959167956148,6987.05,107.13959167956148
65,list.get,14520,27949.85,373.6191805906976,27949.85,373.6191805906976
66,list.set,7670,17325.1,224.847059131312,17325.1,224.847059131312
87,+,10120,41139.85,555.3893158004244,33054.6,445.34993928488683
88,-,4580,12745.9,163.66072094105976,8931.2,118.83318692936552
92,=,1130,3393.7,40.07243441569281,2611.15,35.578342022256074
94,<,9821,48217.8,640.1330947134102,41230.75,549.1742006245177
104,Queens.benchmark,1,269746.7,3460.7687935060194,51.25,4.4114086543630755
106,Queens.queens,10,269582.0,3452.9945661243373,83.3,6.325387443927011
107,Queens.place_queen,1130,1502492.4,19010.329157426146,41454.0,586.4199142163191
108,Queens.get_row_column,8760,89828.15,1166.9635936683578,30387.2,373.57287741061
109,Queens.set_row_column,2180,53259.4,660.0677317717609,14987.35,198.83377744395344
110,Queens.init,1,5.4,1.3917047478769187,5.4,1.3917047478769187
