Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,30,3730509.95,27044.45149919125,119.5,5.5866381944591215
6,base.=,365787,239233.35,2205.0712191625294,239233.35,2205.0712191625294
8,bool.not,124293,79255.1,597.2798779731177,79255.1,597.2798779731177
43,lambda-43,60497,188244.65,1577.6257068939508,144721.65,1125.3689582111497
44,lambda-44,10000,30164.05,238.7459506407772,22761.85,190.03968422134176
48,int.+,69805,61532.15,752.5969967211421,61532.15,752.5969967211421
49,int.-,19308,14179.05,135.7953084221754,14179.05,135.7953084221754
51,int./,9999,8277.05,84.57290532900855,8277.05,84.57290532900855
53,int.=,33955,48093.5,611.7751134801787,48093.5,611.7751134801787
54,int.<,11682,8093.1,85.78792701221217,8093.1,85.78792701221217
56,int.>,34066,23224.9,210.99486149891698,23224.9,210.99486149891698
57,int.>=,20310,14145.85,443.83297889847586,14145.85,443.83297889847586
58,int.&,9999,7876.65,77.72710358413566,7876.65,77.72710358413566
60,int.^,4992,3821.8,51.43989850198719,3821.8,51.43989850198719
65,list.get,42545,44729.45,308.9035746330114,44729.45,308.9035746330114
66,list.set,9314,20894.05,202.9426870092299,20894.05,202.9426870092299
67,list.put,38,31.9,3.4928498393145966,31.9,3.4928498393145966
87,+,9308,32526.0,294.20240079166445,14516.85,141.39577712744355
88,-,9308,27541.5,223.87249660653322,20764.65,175.80110621770413
90,/,9999,30844.55,264.9489474159919,22567.5,205.84933171720795
92,=,269885,619993.75,4642.806704150545,417109.2,2847.684499821975
93,!=,129857,469037.9,3576.4076345435024,294144.65,2366.440259679409
94,<,11682,57253.45,380.1137606725541,49160.35,311.50167271663895
96,>,34066,92986.2,748.2575267351402,69761.3,564.0201657462437
97,>=,20310,64116.85,672.7064171570016,49971.0,426.37085414361724
98,&,9999,42972.8,380.29788878000096,35096.15,334.8544499205287
100,^,4992,34086.75,251.1147515002904,30264.95,233.99021009660356
101,not,129857,90450.95,668.6068371110025,90450.95,668.6068371110025
104,Richards.benchmark,1,3730390.45,27044.08104611701,11.9,1.5525869752736796
106,_RBObject.append,20114,114379.65,931.9613881204336,48749.35,355.6443041194833
107,fn,27884,548288.65,4123.216491948216,87372.8,815.5294437874174
108,_Scheduler.create_device,2,79.1,8.668758182176534,11.25,2.173403830521681
109,fn,23252,909226.45,6628.855489647629,166755.8,1251.0272663106214
110,_Scheduler.create_handler,2,81.2,8.823413827932326,12.0,1.6543403837370219
111,fn,10000,451277.35,3283.3123402570404,87691.2,627.4085045478301
112,_Scheduler.create_idler,1,52.3,5.777451632720178,6.5,0.8271701918685115
113,_Scheduler.create_packet,8,623.3,55.580288061979616,46.85,4.9233599994526624
114,_Scheduler.create_task,6,214.95,19.56224882132339,86.35,9.10913364648218
115,fn,4654,412308.0,3060.852822335637,88368.8,736.5312442009587
116,_Scheduler.create_worker,1,46.65,4.944694126030446,7.2,1.0052493799000692
117,_Scheduler.start,1,3730244.15,27037.885428598132,50.05,5.256324511331187
118,_Scheduler.find_task,33245,190850.4,1279.9089359054094,83609.0,689.6833751039189
119,_Scheduler._hold_self,9297,83633.65,842.8526920680255,47934.8,411.6589799694321
120,_Scheduler.queue_packet,23246,637975.0,4799.732722821799,171933.7,1541.8314161377916
