Function identifier,Function label,calls,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,20,452304.4,4499.7617527574685,102.05,14.507620502052665
6,base.=,4999,3371.35,46.55644565018843,3371.35,46.55644565018843
43,lambda-43,15668,49936.8,636.34719090165,37361.25,504.8837151161382
44,lambda-44,16068,56170.05,641.2640867438063,43250.6,548.7701464950603
48,int.+,27406,21792.7,223.17024419652554,21792.7,223.17024419652554
49,int.-,16068,12919.45,129.48947325636306,12919.45,129.48947325636306
53,int.=,1,4.55,0.5104177855340405,4.55,0.5104177855340405
54,int.<,10001,16014.5,179.21304581272423,16014.5,179.21304581272423
55,int.<=,11738,8243.8,136.88666076260628,8243.8,136.88666076260628
65,list.get,4999,16625.7,222.17610369396547,16625.7,222.17610369396547
66,list.set,11069,36896.7,537.6424266623388,36896.7,537.6424266623388
67,list.put,5000,3733.35,85.4112497212596,3733.35,85.4112497212596
87,+,11738,41264.55,528.974228304675,32047.4,434.70454576098354
92,=,5000,11668.95,120.63493209723812,8293.05,96.04465792426716
94,<,10001,62617.7,1284.6872279602583,46603.2,1217.8262169689244
95,<=,11738,60687.75,788.3350126090195,52443.95,687.3226833537724
104,Sieve.benchmark,1,452192.7,4498.513966329676,6.7,2.754899940870907
105,Sieve._sieve,1,452186.0,4497.673082594458,112592.35,1101.6680785350704
106,Sieve.verify_result,1,9.65,0.48936048492959294,1.75,0.5501196042201808
