Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses,Classes seen
1,13,4,91,=,LOAD_FIELD,0,1,1
1,23,4,96,>=,LOAD_FIELD,0,1426,1
1,25,4,97,&,LOAD_FIELD,0,400,1
1,3,4,86,+,LOAD_FIELD,1397,9003,1
1,7,4,88,*,LOAD_FIELD,0,400,1
1,0,4,42,lambda-42,LOAD_FIELD,49,6532,1
1,11,4,90,%,LOAD_FIELD,0,400,1
1,17,4,93,<,LOAD_FIELD,760,14543,1
1,5,4,87,-,LOAD_FIELD,711,202,1
1,21,4,95,>,LOAD_FIELD,0,10000,1
12,41,44,103,Ball.init-values,STORE_FIELD,99,1,1
12,41,16,103,Ball.init-values,LOAD_FIELD,99,1,1
13,41,96,103,Ball.init-values,STORE_FIELD,99,1,1
13,41,68,103,Ball.init-values,LOAD_FIELD,99,1,1
14,41,128,103,Ball.init-values,LOAD_FIELD,99,1,1
14,41,164,103,Ball.init-values,STORE_FIELD,99,1,1
15,41,232,103,Ball.init-values,STORE_FIELD,99,1,1
15,41,196,103,Ball.init-values,LOAD_FIELD,99,1,1
23,42,88,104,Ball.bounce,STORE_FIELD,4999,1,1
23,42,64,104,Ball.bounce,LOAD_FIELD,4999,1,1
23,42,72,104,Ball.bounce,LOAD_FIELD,4999,1,1
24,42,136,104,Ball.bounce,STORE_FIELD,4999,1,1
24,42,112,104,Ball.bounce,LOAD_FIELD,4999,1,1
24,42,120,104,Ball.bounce,LOAD_FIELD,4999,1,1
26,42,156,104,Ball.bounce,LOAD_FIELD,4999,1,1
27,42,188,104,Ball.bounce,STORE_FIELD,357,1,1
28,42,224,104,Ball.bounce,LOAD_FIELD,357,1,1
28,42,244,104,Ball.bounce,STORE_FIELD,357,1,1
32,42,288,104,Ball.bounce,LOAD_FIELD,4999,1,1
33,42,320,104,Ball.bounce,STORE_FIELD,353,1,1
34,42,344,104,Ball.bounce,LOAD_FIELD,353,1,1
34,42,360,104,Ball.bounce,STORE_FIELD,353,1,1
38,42,404,104,Ball.bounce,LOAD_FIELD,4999,1,1
39,42,436,104,Ball.bounce,STORE_FIELD,354,1,1
40,42,492,104,Ball.bounce,STORE_FIELD,354,1,1
40,42,472,104,Ball.bounce,LOAD_FIELD,354,1,1
44,42,536,104,Ball.bounce,LOAD_FIELD,4999,1,1
45,42,568,104,Ball.bounce,STORE_FIELD,358,1,1
46,42,608,104,Ball.bounce,STORE_FIELD,358,1,1
46,42,592,104,Ball.bounce,LOAD_FIELD,358,1,1
67,44,112,105,Bounce.benchmark,LOAD_FIELD,99,1,1
68,44,136,105,Bounce.benchmark,LOAD_FIELD,0,100,1
74,44,232,105,Bounce.benchmark,LOAD_FIELD,0,100,1
75,44,256,105,Bounce.benchmark,LOAD_FIELD,99,1,1
77,44,284,105,Bounce.benchmark,LOAD_FIELD,0,100,1
84,44,388,105,Bounce.benchmark,LOAD_FIELD,5049,1,1
85,44,412,105,Bounce.benchmark,LOAD_FIELD,4999,1,1
86,44,444,105,Bounce.benchmark,LOAD_FIELD,4900,100,1
86,44,464,105,Bounce.benchmark,LOAD_FIELD,0,1331,1
88,44,500,105,Bounce.benchmark,LOAD_FIELD,49,4951,1
90,44,536,105,Bounce.benchmark,LOAD_FIELD,0,50,1
103,48,32,107,Random.next,LOAD_FIELD,399,1,1
103,48,68,107,Random.next,STORE_FIELD,399,1,1
104,48,80,107,Random.next,LOAD_FIELD,399,1,1
109,50,36,108,custom_abs,LOAD_FIELD,0,713,1
114,53,4,0,repl,LOAD_FIELD,0,1,1
115,53,32,0,repl,LOAD_FIELD,0,1,1
