Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses,Classes seen
1,9,4,89,/,LOAD_FIELD,0,11,1
1,17,4,93,<,LOAD_FIELD,32497,229628,1
1,21,4,95,>,LOAD_FIELD,12002,25,1
1,23,4,96,>=,LOAD_FIELD,9029,18016,1
1,0,4,42,lambda-42,LOAD_FIELD,44556,234181,1
1,13,4,91,=,LOAD_FIELD,7,285393,>= 4
1,5,4,87,-,LOAD_FIELD,11,17067,1
1,19,4,94,<=,LOAD_FIELD,0,2006,1
1,2,12,63,lambda-63,LOAD_FIELD,27064,1,1
1,15,12,92,!=,LOAD_FIELD,44,101286,>= 4
1,7,4,88,*,LOAD_FIELD,24128,1005,1
1,29,4,99,^,LOAD_FIELD,3024,8,1
1,1,4,43,lambda-43,LOAD_FIELD,2001,2,1
1,3,4,86,+,LOAD_FIELD,0,27012,1
1,25,4,97,&,LOAD_FIELD,0,3032,1
5,93,12,144,_IdEntry.match,LOAD_FIELD,3015,1,1
5,93,44,144,_IdEntry.match,LOAD_FIELD,3015,1,1
6,38,24,103,vector_with,LOAD_FIELD,0,6021,1
7,38,48,103,vector_with,LOAD_FIELD,0,6021,1
12,71,16,125,Entry.init-values,STORE_FIELD,15,1,1
12,94,24,145,IdentityDictionary._new_entry,LOAD_FIELD,0,16,1
13,71,40,125,Entry.init-values,STORE_FIELD,15,1,1
14,71,64,125,Entry.init-values,STORE_FIELD,15,1,1
15,71,88,125,Entry.init-values,STORE_FIELD,15,1,1
15,39,60,104,empty_vec,LOAD_FIELD,44091,9174,1
16,39,84,104,empty_vec,LOAD_FIELD,9173,44092,1
17,100,4,155,_Planner._make_plan,LOAD_FIELD,0,5,1
20,101,4,149,lambda,LOAD_FIELD,120153,7,3
21,102,20,150,_Plan.execute,LOAD_FIELD,135,5,1
26,73,36,127,_hash,LOAD_FIELD,3024,8,1
27,73,76,127,_hash,LOAD_FIELD,3024,8,1
29,105,4,151,_Planner.incremental_add,LOAD_FIELD,3007,2,1
30,105,32,151,_Planner.incremental_add,LOAD_FIELD,1,3008,>= 4
32,44,64,106,Vector.init-values,STORE_FIELD,9028,2,2
33,105,92,151,_Planner.incremental_add,LOAD_FIELD,3002,3,3
38,45,12,107,Vector.at,LOAD_FIELD,1997,1,1
38,45,80,107,Vector.at,LOAD_FIELD,1997,1,1
38,45,84,107,Vector.at,LOAD_FIELD,1997,1,1
38,45,44,107,Vector.at,LOAD_FIELD,1997,1,1
38,45,48,107,Vector.at,LOAD_FIELD,1997,1,1
38,106,4,152,_Planner.incremental_remove,LOAD_FIELD,4,1,1
39,106,32,152,_Planner.incremental_remove,LOAD_FIELD,0,5,1
40,106,52,152,_Planner.incremental_remove,LOAD_FIELD,0,5,1
42,106,72,152,_Planner.incremental_remove,LOAD_FIELD,3,2,1
