Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses,Classes seen
1,5,4,87,-,LOAD_FIELD,156,1045,1
1,2,12,63,lambda-63,LOAD_FIELD,3126,1,1
1,17,4,93,<,LOAD_FIELD,1029,40555,1
1,15,12,92,!=,LOAD_FIELD,29320,70,3
1,23,4,96,>=,LOAD_FIELD,2,3125,1
1,0,4,42,lambda-42,LOAD_FIELD,1894,45309,1
1,25,4,97,&,LOAD_FIELD,0,1200,1
1,1,4,43,lambda-43,LOAD_FIELD,0,5322,1
1,7,4,88,*,LOAD_FIELD,3,601,1
1,13,4,91,=,LOAD_FIELD,123,120352,>= 4
10,67,24,125,Json.benchmark,LOAD_FIELD,0,1,1
11,67,48,125,Json.benchmark,LOAD_FIELD,0,1,1
15,39,60,104,empty_vec,LOAD_FIELD,12957,1027,1
15,68,12,126,Json.verify_result,LOAD_FIELD,0,1,1
16,39,84,104,empty_vec,LOAD_FIELD,1026,12958,1
18,68,56,126,Json.verify_result,LOAD_FIELD,0,1,1
19,68,84,126,Json.verify_result,LOAD_FIELD,0,1,1
20,68,124,126,Json.verify_result,LOAD_FIELD,0,1,1
23,68,168,126,Json.verify_result,LOAD_FIELD,0,1,1
24,68,208,126,Json.verify_result,LOAD_FIELD,0,1,1
27,68,252,126,Json.verify_result,LOAD_FIELD,0,1,1
28,68,292,126,Json.verify_result,LOAD_FIELD,0,1,1
38,45,44,107,Vector.at,LOAD_FIELD,3,1,1
38,45,48,107,Vector.at,LOAD_FIELD,3,1,1
38,45,84,107,Vector.at,LOAD_FIELD,2,2,1
38,45,12,107,Vector.at,LOAD_FIELD,3,1,1
38,45,80,107,Vector.at,LOAD_FIELD,3,1,1
54,85,16,137,_JsonLiteral.init-values,STORE_FIELD,2,1,1
55,85,56,137,_JsonLiteral.init-values,STORE_FIELD,2,1,1
56,85,96,137,_JsonLiteral.init-values,STORE_FIELD,2,1,1
57,85,136,137,_JsonLiteral.init-values,STORE_FIELD,2,1,1
68,47,12,109,Vector.append,LOAD_FIELD,3988,1,1
69,92,24,0,repl,LOAD_FIELD,0,1,1
69,47,60,109,Vector.append,STORE_FIELD,865,1,1
71,47,80,109,Vector.append,LOAD_FIELD,3122,1,1
71,47,92,109,Vector.append,LOAD_FIELD,2299,824,1
71,47,88,109,Vector.append,LOAD_FIELD,3122,1,1
72,92,68,0,repl,LOAD_FIELD,0,1,1
72,47,140,109,Vector.append,LOAD_FIELD,3,1,1
72,47,136,109,Vector.append,LOAD_FIELD,3,1,1
74,47,212,109,Vector.append,LOAD_FIELD,153,1,1
74,47,208,109,Vector.append,LOAD_FIELD,153,1,1
75,47,252,109,Vector.append,LOAD_FIELD,149,1,1
75,92,112,0,repl,LOAD_FIELD,0,1,1
75,47,236,109,Vector.append,LOAD_FIELD,146,4,1
75,47,256,109,Vector.append,LOAD_FIELD,146,4,1
76,47,284,109,Vector.append,LOAD_FIELD,3,147,1
78,47,332,109,Vector.append,STORE_FIELD,3,1,1
82,47,368,109,Vector.append,LOAD_FIELD,3988,1,1
82,47,352,109,Vector.append,LOAD_FIELD,3988,1,1
82,47,356,109,Vector.append,LOAD_FIELD,3123,866,1
83,47,392,109,Vector.append,LOAD_FIELD,3988,1,1
83,47,416,109,Vector.append,STORE_FIELD,3988,1,1
83,47,396,109,Vector.append,LOAD_FIELD,865,3124,1
86,100,16,143,_Parser.init-values,STORE_FIELD,0,1,1
89,101,4,144,_Parser.parse,LOAD_FIELD,0,1,1
90,101,24,144,_Parser.parse,LOAD_FIELD,0,1,1
91,101,44,144,_Parser.parse,LOAD_FIELD,0,1,1
92,101,72,144,_Parser.parse,LOAD_FIELD,0,1,1
93,101,92,144,_Parser.parse,LOAD_FIELD,0,1,1
97,102,12,145,_Parser._read_value,LOAD_FIELD,3391,1,1
