Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses,Classes seen
1,21,4,96,>,LOAD_FIELD,0,8195047,1
1,3,4,87,+,LOAD_FIELD,250498,24835143,2
1,17,4,94,<,LOAD_FIELD,250498,8345695,2
1,7,4,89,*,LOAD_FIELD,8445544,24585144,1
1,9,4,90,/,LOAD_FIELD,0,250500,1
1,5,4,88,-,LOAD_FIELD,469497,8195550,2
1,0,4,43,lambda-43,LOAD_FIELD,281496,8163551,1
1,13,4,92,=,LOAD_FIELD,499,468503,2
7,37,28,104,Mandelbrot.inner_benchmark_loop,LOAD_FIELD,0,1,1
7,37,4,104,Mandelbrot.inner_benchmark_loop,LOAD_FIELD,0,1,1
7,37,16,104,Mandelbrot.inner_benchmark_loop,LOAD_FIELD,0,1,1
62,41,644,108,Mandelbrot._mandelbrot,LOAD_FIELD,249999,7945048,1
65,41,688,108,Mandelbrot._mandelbrot,LOAD_FIELD,31497,218503,1
66,41,728,108,Mandelbrot._mandelbrot,LOAD_FIELD,31497,218503,1
69,41,780,108,Mandelbrot._mandelbrot,LOAD_FIELD,0,31000,1
74,41,884,108,Mandelbrot._mandelbrot,LOAD_FIELD,0,500,1
75,41,932,108,Mandelbrot._mandelbrot,LOAD_FIELD,0,500,1
89,44,4,0,repl,LOAD_FIELD,0,1,1
