Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses,Classes seen
1,3,4,87,+,LOAD_FIELD,0,1000000,1
1,17,4,94,<,LOAD_FIELD,0,1000001,1
1,13,4,92,=,LOAD_FIELD,0,1,1
5,37,16,104,A.init,STORE_FIELD,0,1,1
6,37,40,104,A.init,STORE_FIELD,0,1,1
7,37,64,104,A.init,STORE_FIELD,0,1,1
8,37,88,104,A.init,STORE_FIELD,0,1,1
9,37,112,104,A.init,STORE_FIELD,0,1,1
10,37,136,104,A.init,STORE_FIELD,0,1,1
11,37,160,104,A.init,STORE_FIELD,0,1,1
12,37,184,104,A.init,STORE_FIELD,0,1,1
13,37,208,104,A.init,STORE_FIELD,0,1,1
19,38,68,0,repl,LOAD_FIELD,1000000,1,1
21,38,88,0,repl,LOAD_FIELD,999999,1,1
22,38,100,0,repl,LOAD_FIELD,999999,1,1
23,38,112,0,repl,LOAD_FIELD,999999,1,1
24,38,124,0,repl,LOAD_FIELD,999999,1,1
25,38,136,0,repl,LOAD_FIELD,999999,1,1
26,38,148,0,repl,LOAD_FIELD,999999,1,1
27,38,160,0,repl,LOAD_FIELD,999999,1,1
28,38,172,0,repl,LOAD_FIELD,999999,1,1
29,38,216,0,repl,STORE_FIELD,999999,1,1
29,38,196,0,repl,LOAD_FIELD,999999,1,1
31,38,244,0,repl,LOAD_FIELD,0,1,1
