Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses,Classes seen
1,13,4,92,=,LOAD_FIELD,0,2,2
1,9,4,90,/,LOAD_FIELD,2499999,14,1
1,7,4,89,*,LOAD_FIELD,18750009,25000093,1
1,5,4,88,-,LOAD_FIELD,4500018,10500025,1
1,17,4,94,<,LOAD_FIELD,499998,6500030,1
1,0,4,43,lambda-43,LOAD_FIELD,1750003,4750022,1
1,3,4,87,+,LOAD_FIELD,0,16250050,1
10,37,16,106,_Body.init,STORE_FIELD,4,1,1
11,37,40,106,_Body.init,STORE_FIELD,4,1,1
12,37,64,106,_Body.init,STORE_FIELD,4,1,1
13,37,88,106,_Body.init,STORE_FIELD,4,1,1
14,37,112,106,_Body.init,STORE_FIELD,4,1,1
15,37,136,106,_Body.init,STORE_FIELD,4,1,1
16,37,160,106,_Body.init,STORE_FIELD,4,1,1
19,38,16,104,_Body.init-values,STORE_FIELD,4,1,1
20,38,40,104,_Body.init-values,STORE_FIELD,4,1,1
21,38,64,104,_Body.init-values,STORE_FIELD,4,1,1
22,38,104,104,_Body.init-values,STORE_FIELD,4,1,1
23,38,144,104,_Body.init-values,STORE_FIELD,4,1,1
24,38,184,104,_Body.init-values,STORE_FIELD,4,1,1
25,38,224,104,_Body.init-values,STORE_FIELD,4,1,1
29,39,48,105,_Body.offset_momentum,STORE_FIELD,0,1,1
30,39,104,105,_Body.offset_momentum,STORE_FIELD,0,1,1
31,39,160,105,_Body.offset_momentum,STORE_FIELD,0,1,1
37,40,24,107,jupiter,LOAD_FIELD,0,1,1
52,42,24,108,saturn,LOAD_FIELD,0,1,1
66,44,24,109,uranus,LOAD_FIELD,0,1,1
80,46,24,110,neptune,LOAD_FIELD,0,1,1
94,48,24,111,sun,LOAD_FIELD,0,1,1
106,50,156,112,_create_bodies,LOAD_FIELD,5,1,1
107,50,180,112,_create_bodies,LOAD_FIELD,4,1,1
109,50,240,112,_create_bodies,LOAD_FIELD,4,1,1
109,50,232,112,_create_bodies,LOAD_FIELD,4,1,1
110,50,288,112,_create_bodies,LOAD_FIELD,4,1,1
110,50,296,112,_create_bodies,LOAD_FIELD,4,1,1
111,50,344,112,_create_bodies,LOAD_FIELD,4,1,1
111,50,352,112,_create_bodies,LOAD_FIELD,4,1,1
113,50,380,112,_create_bodies,LOAD_FIELD,0,5,1
116,50,416,112,_create_bodies,LOAD_FIELD,0,1,1
117,50,448,112,_create_bodies,LOAD_FIELD,0,1,1
122,52,24,115,NBodySystem.init,STORE_FIELD,0,1,1
125,53,32,113,NBodySystem.advance,LOAD_FIELD,1499999,1,1
125,53,36,113,NBodySystem.advance,LOAD_FIELD,1499999,1,1
126,53,64,113,NBodySystem.advance,LOAD_FIELD,1249999,1,1
126,53,60,113,NBodySystem.advance,LOAD_FIELD,1249999,1,1
128,53,96,113,NBodySystem.advance,LOAD_FIELD,249999,1000001,1
129,53,140,113,NBodySystem.advance,LOAD_FIELD,3749999,1,1
129,53,136,113,NBodySystem.advance,LOAD_FIELD,3749999,1,1
