Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses,Classes seen
1,1,4,44,lambda-44,LOAD_FIELD,1100,3939,1
1,15,12,93,!=,LOAD_FIELD,5039,3621,1
1,13,4,92,=,LOAD_FIELD,0,1,1
1,23,4,97,>=,LOAD_FIELD,0,8659,1
1,5,4,88,-,LOAD_FIELD,2519,1101,1
1,0,4,43,lambda-43,LOAD_FIELD,0,8660,1
5,37,16,108,Permute.init,STORE_FIELD,0,1,1
6,37,40,108,Permute.init,STORE_FIELD,0,1,1
9,38,16,104,Permute.benchmark,STORE_FIELD,0,1,1
10,38,64,104,Permute.benchmark,STORE_FIELD,0,1,1
11,38,76,104,Permute.benchmark,LOAD_FIELD,0,1,1
13,38,100,104,Permute.benchmark,LOAD_FIELD,0,1,1
17,39,8,105,Permute._permute,LOAD_FIELD,8659,1,1
17,39,12,105,Permute._permute,LOAD_FIELD,0,8660,1
17,39,32,105,Permute._permute,STORE_FIELD,8659,1,1
20,39,100,105,Permute._permute,LOAD_FIELD,3619,1,1
24,39,164,105,Permute._permute,LOAD_FIELD,5038,1,1
25,39,192,105,Permute._permute,LOAD_FIELD,5038,1,1
26,39,216,105,Permute._permute,LOAD_FIELD,5038,1,1
28,39,244,105,Permute._permute,LOAD_FIELD,0,5039,1
34,40,4,106,Permute._swap,LOAD_FIELD,10077,1,1
34,40,8,106,Permute._swap,LOAD_FIELD,10077,1,1
35,40,44,106,Permute._swap,LOAD_FIELD,10077,1,1
35,40,60,106,Permute._swap,LOAD_FIELD,10077,1,1
35,40,64,106,Permute._swap,LOAD_FIELD,10077,1,1
35,40,40,106,Permute._swap,LOAD_FIELD,10077,1,1
36,40,92,106,Permute._swap,LOAD_FIELD,10077,1,1
36,40,96,106,Permute._swap,LOAD_FIELD,10077,1,1
44,44,4,0,repl,LOAD_FIELD,0,1,1
45,44,32,0,repl,LOAD_FIELD,0,1,1
