Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses,Classes seen
1,13,4,92,=,LOAD_FIELD,0,9,1
1,3,4,87,+,LOAD_FIELD,6,2999991,1
8,37,36,104,check-benchmark-result,LOAD_FIELD,0,4,1
8,37,48,104,check-benchmark-result,LOAD_FIELD,3,1,1
9,37,72,104,check-benchmark-result,LOAD_FIELD,2,1,1
11,37,120,104,check-benchmark-result,LOAD_FIELD,0,3,3
12,37,148,104,check-benchmark-result,LOAD_FIELD,0,3,3
13,37,176,104,check-benchmark-result,LOAD_FIELD,0,3,3
15,37,204,104,check-benchmark-result,LOAD_FIELD,0,3,1
21,38,16,105,A.init,STORE_FIELD,0,3,3
22,38,40,105,A.init,STORE_FIELD,0,3,3
23,38,64,105,A.init,STORE_FIELD,0,3,3
25,38,88,105,A.init,STORE_FIELD,0,3,3
26,38,112,105,A.init,STORE_FIELD,0,3,3
27,38,136,105,A.init,STORE_FIELD,0,3,3
28,38,160,105,A.init,STORE_FIELD,0,3,3
29,38,184,105,A.init,STORE_FIELD,0,3,3
30,38,208,105,A.init,STORE_FIELD,0,3,3
31,38,232,105,A.init,STORE_FIELD,0,3,3
41,39,136,0,repl,LOAD_FIELD,0,1000000,1
43,39,172,0,repl,LOAD_FIELD,0,999999,1
43,39,160,0,repl,LOAD_FIELD,999998,1,1
46,39,208,0,repl,LOAD_FIELD,999996,3,3
47,39,220,0,repl,LOAD_FIELD,999996,3,3
48,39,232,0,repl,LOAD_FIELD,999996,3,3
49,39,244,0,repl,LOAD_FIELD,999996,3,3
50,39,256,0,repl,LOAD_FIELD,999996,3,3
51,39,268,0,repl,LOAD_FIELD,999996,3,3
52,39,280,0,repl,LOAD_FIELD,999996,3,3
54,39,324,0,repl,STORE_FIELD,999996,3,3
54,39,304,0,repl,LOAD_FIELD,999996,3,3
55,39,368,0,repl,STORE_FIELD,999996,3,3
55,39,348,0,repl,LOAD_FIELD,999996,3,3
56,39,412,0,repl,STORE_FIELD,999996,3,3
56,39,392,0,repl,LOAD_FIELD,999996,3,3
58,39,424,0,repl,LOAD_FIELD,0,999999,1
