Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses,Classes seen
1,0,4,43,lambda-43,LOAD_FIELD,2238,7572,1
1,5,4,88,-,LOAD_FIELD,3529,1051,1
1,3,4,87,+,LOAD_FIELD,4419,5701,1
1,17,4,94,<,LOAD_FIELD,1129,8692,1
1,13,4,92,=,LOAD_FIELD,429,701,1
7,37,16,110,Queens.init,STORE_FIELD,0,1,1
8,37,40,110,Queens.init,STORE_FIELD,0,1,1
9,37,64,110,Queens.init,STORE_FIELD,0,1,1
10,37,88,110,Queens.init,STORE_FIELD,0,1,1
16,38,68,104,Queens.benchmark,LOAD_FIELD,9,1,1
17,38,96,104,Queens.benchmark,LOAD_FIELD,0,10,1
25,40,48,106,Queens.queens,STORE_FIELD,9,1,1
26,40,136,106,Queens.queens,STORE_FIELD,9,1,1
27,40,224,106,Queens.queens,STORE_FIELD,9,1,1
28,40,280,106,Queens.queens,STORE_FIELD,9,1,1
30,40,292,106,Queens.queens,LOAD_FIELD,9,1,1
37,41,44,107,Queens.place_queen,LOAD_FIELD,8759,1,1
38,41,76,107,Queens.place_queen,LOAD_FIELD,1120,10,1
38,41,72,107,Queens.place_queen,LOAD_FIELD,1129,1,1
39,41,104,107,Queens.place_queen,LOAD_FIELD,1129,1,1
42,41,192,107,Queens.place_queen,LOAD_FIELD,429,691,1
42,41,180,107,Queens.place_queen,LOAD_FIELD,1119,1,1
44,41,236,107,Queens.place_queen,LOAD_FIELD,1049,1,1
47,41,276,107,Queens.place_queen,LOAD_FIELD,1119,7561,1
55,42,36,108,Queens.get_row_column,LOAD_FIELD,3350,10,1
55,42,32,108,Queens.get_row_column,LOAD_FIELD,3359,1,1
55,42,8,108,Queens.get_row_column,LOAD_FIELD,8750,10,1
55,42,4,108,Queens.get_row_column,LOAD_FIELD,8759,1,1
56,42,76,108,Queens.get_row_column,LOAD_FIELD,2399,1,1
56,42,80,108,Queens.get_row_column,LOAD_FIELD,2390,10,1
61,43,8,109,Queens.set_row_column,LOAD_FIELD,2170,10,1
61,43,4,109,Queens.set_row_column,LOAD_FIELD,2179,1,1
62,43,36,109,Queens.set_row_column,LOAD_FIELD,2179,1,1
62,43,40,109,Queens.set_row_column,LOAD_FIELD,2170,10,1
63,43,84,109,Queens.set_row_column,LOAD_FIELD,2179,1,1
63,43,88,109,Queens.set_row_column,LOAD_FIELD,2170,10,1
67,46,4,0,repl,LOAD_FIELD,0,1,1
