Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses,Classes seen
1,11,4,91,%,LOAD_FIELD,0,4096,1
1,0,4,43,lambda-43,LOAD_FIELD,5459,27882,1
1,13,4,92,=,LOAD_FIELD,0,5462,1
1,17,4,94,<,LOAD_FIELD,5459,27882,1
1,7,4,89,*,LOAD_FIELD,0,4096,1
1,25,4,98,&,LOAD_FIELD,0,4096,1
1,3,4,87,+,LOAD_FIELD,0,8192,1
1,5,4,88,-,LOAD_FIELD,4095,1365,1
7,37,16,105,Random.init,STORE_FIELD,0,1,1
10,38,68,104,Random.next,STORE_FIELD,4095,1,1
10,38,32,104,Random.next,LOAD_FIELD,4095,1,1
11,38,80,104,Random.next,LOAD_FIELD,4095,1,1
16,39,16,109,Storage.init,STORE_FIELD,0,1,1
20,40,36,106,Storage.benchmark,STORE_FIELD,0,1,1
21,40,48,106,Storage.benchmark,LOAD_FIELD,0,1,1
22,40,76,106,Storage.benchmark,LOAD_FIELD,0,1,1
26,41,32,107,Storage._build_tree_depth,STORE_FIELD,5460,1,1
26,41,12,107,Storage._build_tree_depth,LOAD_FIELD,0,5461,1
26,41,8,107,Storage._build_tree_depth,LOAD_FIELD,5460,1,1
29,41,84,107,Storage._build_tree_depth,LOAD_FIELD,4095,1,1
35,41,184,107,Storage._build_tree_depth,LOAD_FIELD,18324,4096,1
36,41,208,107,Storage._build_tree_depth,LOAD_FIELD,4095,18325,1
45,41,324,107,Storage._build_tree_depth,LOAD_FIELD,4095,1365,1
45,41,340,107,Storage._build_tree_depth,LOAD_FIELD,5459,1,1
46,41,388,107,Storage._build_tree_depth,LOAD_FIELD,1364,4096,1
58,45,4,0,repl,LOAD_FIELD,0,1,1
59,45,32,0,repl,LOAD_FIELD,0,1,1
