Line Number,Bytecode ID,Instruction Index,Instruction,Hits,Misses
1,0,4,LOAD_FIELD,49,6532
1,3,4,LOAD_FIELD,1397,9003
1,5,4,LOAD_FIELD,711,202
1,7,4,LOAD_FIELD,0,400
1,11,4,LOAD_FIELD,0,400
1,13,4,LOAD_FIELD,0,1
1,17,4,LOAD_FIELD,760,14543
1,21,4,LOAD_FIELD,0,10000
1,23,4,LOAD_FIELD,0,1426
1,25,4,LOAD_FIELD,0,400
12,41,44,STORE_FIELD,99,1
12,41,16,LOAD_FIELD,99,1
13,41,68,LOAD_FIELD,99,1
13,41,96,STORE_FIELD,99,1
14,41,164,STORE_FIELD,99,1
14,41,128,LOAD_FIELD,99,1
15,41,196,LOAD_FIELD,99,1
15,41,232,STORE_FIELD,99,1
23,42,64,LOAD_FIELD,4999,1
23,42,72,LOAD_FIELD,4999,1
23,42,88,STORE_FIELD,4999,1
24,42,136,STORE_FIELD,4999,1
24,42,112,LOAD_FIELD,4999,1
24,42,120,LOAD_FIELD,4999,1
26,42,156,LOAD_FIELD,4999,1
27,42,188,STORE_FIELD,357,1
28,42,224,LOAD_FIELD,357,1
28,42,244,STORE_FIELD,357,1
32,42,288,LOAD_FIELD,4999,1
33,42,320,STORE_FIELD,353,1
34,42,344,LOAD_FIELD,353,1
34,42,360,STORE_FIELD,353,1
38,42,404,LOAD_FIELD,4999,1
39,42,436,STORE_FIELD,354,1
40,42,472,LOAD_FIELD,354,1
40,42,492,STORE_FIELD,354,1
44,42,536,LOAD_FIELD,4999,1
45,42,568,STORE_FIELD,358,1
46,42,608,STORE_FIELD,358,1
46,42,592,LOAD_FIELD,358,1
67,44,112,LOAD_FIELD,99,1
68,44,136,LOAD_FIELD,0,100
74,44,232,LOAD_FIELD,0,100
75,44,256,LOAD_FIELD,99,1
77,44,284,LOAD_FIELD,0,100
84,44,388,LOAD_FIELD,5049,1
85,44,412,LOAD_FIELD,4999,1
86,44,444,LOAD_FIELD,4900,100
86,44,464,LOAD_FIELD,0,1331
88,44,500,LOAD_FIELD,49,4951
90,44,536,LOAD_FIELD,0,50
103,48,32,LOAD_FIELD,399,1
103,48,68,STORE_FIELD,399,1
104,48,80,LOAD_FIELD,399,1
109,50,36,LOAD_FIELD,0,713
114,53,4,LOAD_FIELD,0,1
115,53,32,LOAD_FIELD,0,1
