Line Number,Bytecode ID,Instruction Index,Instruction,Hits,Misses
1,0,4,LOAD_FIELD,121083,765534
1,2,12,LOAD_FIELD,117624,1
1,3,4,LOAD_FIELD,849255,2246399
1,5,4,LOAD_FIELD,1431914,1859895
1,7,4,LOAD_FIELD,93616,199161
1,9,4,LOAD_FIELD,440441,1719528
1,13,4,LOAD_FIELD,3026101,2837858
1,15,12,LOAD_FIELD,886069,2568224
1,17,4,LOAD_FIELD,997957,4471812
1,19,4,LOAD_FIELD,1548602,987171
1,21,4,LOAD_FIELD,766312,1687445
1,23,4,LOAD_FIELD,10962,119578
15,39,60,LOAD_FIELD,538293,44027
16,39,84,LOAD_FIELD,44026,538294
35,71,16,STORE_FIELD,435073,1
36,71,40,STORE_FIELD,435073,1
38,45,48,LOAD_FIELD,52291,1
38,45,80,LOAD_FIELD,52291,1
38,45,84,LOAD_FIELD,41527,10765
38,45,44,LOAD_FIELD,52291,1
38,45,12,LOAD_FIELD,52291,1
41,72,24,LOAD_FIELD,0,207536
41,72,80,LOAD_FIELD,207535,1
41,72,72,LOAD_FIELD,207535,1
41,72,44,LOAD_FIELD,207535,1
41,72,52,LOAD_FIELD,207535,1
47,73,72,LOAD_FIELD,207535,1
47,73,52,LOAD_FIELD,207535,1
47,73,24,LOAD_FIELD,0,207536
47,73,80,LOAD_FIELD,207535,1
47,73,44,LOAD_FIELD,207535,1
52,74,12,LOAD_FIELD,1088614,1
52,74,20,LOAD_FIELD,1088614,1
56,74,104,LOAD_FIELD,965167,1
56,74,96,LOAD_FIELD,965167,1
66,79,16,STORE_FIELD,110313,1
67,79,40,STORE_FIELD,110313,1
68,79,64,STORE_FIELD,110313,1
68,47,12,LOAD_FIELD,107052,1
69,47,60,STORE_FIELD,41719,1
71,47,80,LOAD_FIELD,65332,1
71,47,92,LOAD_FIELD,51662,13671
71,47,88,LOAD_FIELD,65332,1
72,47,136,LOAD_FIELD,2306,1
72,47,140,LOAD_FIELD,2306,1
73,80,44,LOAD_FIELD,12914,1
73,80,108,LOAD_FIELD,12914,1
73,80,52,LOAD_FIELD,12914,1
73,80,80,LOAD_FIELD,12914,1
73,80,24,LOAD_FIELD,0,12915
73,80,100,LOAD_FIELD,12914,1
73,80,72,LOAD_FIELD,12914,1
74,47,208,LOAD_FIELD,84866,1
74,47,212,LOAD_FIELD,84866,1
75,47,252,LOAD_FIELD,82559,1
75,47,256,LOAD_FIELD,80253,2307
75,47,236,LOAD_FIELD,80253,2307
76,47,284,LOAD_FIELD,2306,80254
78,47,332,STORE_FIELD,2306,1
79,81,72,LOAD_FIELD,64483,1
79,81,80,LOAD_FIELD,64483,1
79,81,44,LOAD_FIELD,64483,1
79,81,108,LOAD_FIELD,64483,1
79,81,100,LOAD_FIELD,64483,1
79,81,52,LOAD_FIELD,64483,1
79,81,24,LOAD_FIELD,0,64484
82,47,352,LOAD_FIELD,107052,1
82,47,368,LOAD_FIELD,107052,1
82,47,356,LOAD_FIELD,65333,41720
83,47,396,LOAD_FIELD,41719,65334
83,47,392,LOAD_FIELD,107052,1
83,47,416,STORE_FIELD,107052,1
84,82,88,LOAD_FIELD,32241,1
84,82,96,LOAD_FIELD,32241,1
84,82,64,LOAD_FIELD,32241,1
84,82,56,LOAD_FIELD,32241,1
84,82,28,LOAD_FIELD,32241,1
84,82,36,LOAD_FIELD,32241,1
88,83,4,LOAD_FIELD,0,21528
89,49,4,LOAD_FIELD,799,1
90,49,36,LOAD_FIELD,51563,1
91,49,64,LOAD_FIELD,50221,543
91,49,60,LOAD_FIELD,50763,1
92,49,92,LOAD_FIELD,542,50222
92,84,4,LOAD_FIELD,0,50
93,84,32,LOAD_FIELD,0,50
98,85,44,LOAD_FIELD,12914,1
98,85,68,LOAD_FIELD,12914,1
98,85,24,LOAD_FIELD,0,12915
98,85,92,LOAD_FIELD,12914,1
105,88,24,LOAD_FIELD,0,1
108,88,72,LOAD_FIELD,0,1
115,87,28,LOAD_FIELD,61119,1
116,87,48,LOAD_FIELD,28471,1
131,95,16,STORE_FIELD,113103,1
132,95,40,STORE_FIELD,113103,1
137,96,28,LOAD_FIELD,61119,1
138,96,56,LOAD_FIELD,32247,1
140,96,84,LOAD_FIELD,28871,1
141,96,140,LOAD_FIELD,60719,1
143,96,172,LOAD_FIELD,32247,1
154,100,16,STORE_FIELD,61119,1
155,100,40,STORE_FIELD,61119,1
162,60,20,LOAD_FIELD,116103,1
162,60,12,LOAD_FIELD,116103,1
165,105,16,STORE_FIELD,209546,1
166,105,40,STORE_FIELD,209546,1
167,105,64,STORE_FIELD,209546,1
175,108,4,LOAD_FIELD,189333,20214
176,108,48,LOAD_FIELD,209546,1
177,108,64,LOAD_FIELD,96442,1
179,108,88,LOAD_FIELD,113103,1
181,108,144,LOAD_FIELD,195152,1
181,108,148,LOAD_FIELD,195152,1
181,108,120,LOAD_FIELD,224771,1
182,108,184,LOAD_FIELD,111667,1
182,108,192,LOAD_FIELD,111667,1
182,108,188,LOAD_FIELD,111667,1
182,108,176,LOAD_FIELD,111667,1
183,108,212,LOAD_FIELD,16814,1
183,108,208,LOAD_FIELD,16814,1
183,108,216,LOAD_FIELD,16814,1
184,108,268,LOAD_FIELD,10305,1
185,108,288,LOAD_FIELD,9946,1
185,108,304,STORE_FIELD,9946,1
186,108,328,STORE_FIELD,9946,1
187,108,344,LOAD_FIELD,9946,1
187,108,360,STORE_FIELD,9946,1
187,108,340,LOAD_FIELD,9946,1
188,108,376,LOAD_FIELD,9946,1
188,108,372,LOAD_FIELD,9946,1
191,108,408,LOAD_FIELD,6867,1
191,108,412,LOAD_FIELD,6867,1
192,108,428,LOAD_FIELD,4844,1
193,108,448,LOAD_FIELD,2573,2272
196,108,480,LOAD_FIELD,6867,1
196,108,496,STORE_FIELD,6867,1
197,108,508,LOAD_FIELD,6867,1
197,108,528,STORE_FIELD,6867,1
197,108,512,LOAD_FIELD,6867,1
198,108,540,LOAD_FIELD,3354,3514
198,108,556,LOAD_FIELD,6867,1
198,108,552,LOAD_FIELD,6867,1
202,108,576,LOAD_FIELD,94852,1
202,108,572,LOAD_FIELD,94852,1
202,108,580,LOAD_FIELD,94852,1
203,108,632,LOAD_FIELD,69223,1
204,108,652,LOAD_FIELD,46918,1
204,108,668,STORE_FIELD,46918,1
205,108,692,STORE_FIELD,46918,1
206,108,708,LOAD_FIELD,46918,1
206,108,724,STORE_FIELD,46918,1
206,108,704,LOAD_FIELD,46918,1
207,108,736,LOAD_FIELD,46918,1
207,108,740,LOAD_FIELD,46918,1
210,108,772,LOAD_FIELD,47933,1
210,108,776,LOAD_FIELD,47933,1
211,108,792,LOAD_FIELD,5720,1
212,108,812,LOAD_FIELD,3591,2130
215,108,860,STORE_FIELD,47933,1
215,108,844,LOAD_FIELD,47933,1
216,108,872,LOAD_FIELD,47933,1
216,108,876,LOAD_FIELD,47933,1
216,108,892,STORE_FIELD,47933,1
217,108,904,LOAD_FIELD,43618,4316
217,108,916,LOAD_FIELD,47933,1
217,108,920,LOAD_FIELD,47933,1
222,108,944,LOAD_FIELD,113103,1
222,108,960,STORE_FIELD,113103,1
286,110,4,LOAD_FIELD,71484,400
287,110,68,LOAD_FIELD,30763,1
291,111,12,LOAD_FIELD,399,1
294,111,60,LOAD_FIELD,399,1
297,111,128,LOAD_FIELD,0,61120
297,111,140,LOAD_FIELD,61119,1
297,111,148,LOAD_FIELD,61119,1
299,111,184,LOAD_FIELD,19900,41220
304,112,4,LOAD_FIELD,71883,1
307,112,48,LOAD_FIELD,566362,19968
307,112,60,LOAD_FIELD,586329,1
312,112,144,LOAD_FIELD,79905,1
314,112,164,LOAD_FIELD,475659,1
323,113,20,LOAD_FIELD,209546,1
327,113,92,LOAD_FIELD,839282,1
327,113,80,LOAD_FIELD,730340,108943
328,113,140,LOAD_FIELD,126779,1
330,113,184,LOAD_FIELD,616059,1
332,113,204,LOAD_FIELD,96442,1
333,113,236,STORE_FIELD,96442,1
335,113,268,LOAD_FIELD,0,96443
342,113,340,LOAD_FIELD,0,113104
343,113,380,STORE_FIELD,113103,1
344,113,428,STORE_FIELD,20213,1
346,113,448,LOAD_FIELD,92490,400
346,113,460,LOAD_FIELD,92889,1
347,113,496,STORE_FIELD,26608,1
349,113,520,STORE_FIELD,66280,1
353,113,552,LOAD_FIELD,0,113104
358,114,4,LOAD_FIELD,52778,1
360,114,40,STORE_FIELD,52778,1
360,114,28,LOAD_FIELD,52778,1
361,114,60,LOAD_FIELD,52778,1
362,114,96,STORE_FIELD,22663,1
362,114,80,LOAD_FIELD,22663,1
365,114,120,LOAD_FIELD,52778,1
365,114,132,STORE_FIELD,52778,1
366,114,152,LOAD_FIELD,52778,1
367,114,184,STORE_FIELD,5568,1
369,114,208,LOAD_FIELD,47209,1
369,114,212,LOAD_FIELD,47209,1
370,114,244,STORE_FIELD,5336,1
370,114,228,LOAD_FIELD,5336,1
372,114,256,LOAD_FIELD,41872,1
372,114,272,STORE_FIELD,41872,1
376,114,296,STORE_FIELD,52778,1
377,114,320,STORE_FIELD,52778,1
382,115,4,LOAD_FIELD,12588,1
384,115,40,STORE_FIELD,12588,1
384,115,28,LOAD_FIELD,12588,1
385,115,60,LOAD_FIELD,12588,1
386,115,96,STORE_FIELD,432,1
386,115,80,LOAD_FIELD,432,1
389,115,120,LOAD_FIELD,12588,1
389,115,132,STORE_FIELD,12588,1
390,115,152,LOAD_FIELD,12588,1
391,115,184,STORE_FIELD,3511,1
393,115,212,LOAD_FIELD,9076,1
393,115,208,LOAD_FIELD,9076,1
394,115,228,LOAD_FIELD,461,1
394,115,244,STORE_FIELD,461,1
396,115,256,LOAD_FIELD,8614,1
396,115,272,STORE_FIELD,8614,1
400,115,296,STORE_FIELD,12588,1
401,115,320,STORE_FIELD,12588,1
494,119,16,STORE_FIELD,99,1
497,120,20,LOAD_FIELD,429887,1
497,120,12,LOAD_FIELD,429887,1
500,120,64,LOAD_FIELD,389987,1
500,120,72,LOAD_FIELD,389987,1
512,125,16,STORE_FIELD,4304,1
513,125,40,STORE_FIELD,4304,1
514,125,64,STORE_FIELD,4304,1
526,128,20,LOAD_FIELD,19999,1
526,128,28,LOAD_FIELD,19999,1
526,128,4,LOAD_FIELD,19999,1
526,128,8,LOAD_FIELD,19999,1
527,128,52,LOAD_FIELD,19999,1
528,128,84,LOAD_FIELD,19999,1
528,128,72,LOAD_FIELD,19800,200
535,128,184,LOAD_FIELD,19999,1
535,128,172,LOAD_FIELD,0,20000
536,128,208,LOAD_FIELD,19800,200
539,131,72,LOAD_FIELD,0,200
543,129,12,LOAD_FIELD,19800,200
543,129,24,LOAD_FIELD,19999,1
548,131,144,LOAD_FIELD,199,1
548,131,140,LOAD_FIELD,199,1
549,131,180,LOAD_FIELD,199,1
549,131,184,LOAD_FIELD,199,1
549,131,168,LOAD_FIELD,0,200
556,130,32,LOAD_FIELD,32291,1
557,130,56,LOAD_FIELD,10764,10764
558,130,88,LOAD_FIELD,10763,10765
559,130,128,LOAD_FIELD,32291,1
560,130,152,LOAD_FIELD,10763,1
561,130,184,LOAD_FIELD,3698,7066
564,130,272,LOAD_FIELD,4304,1
564,130,260,LOAD_FIELD,0,4305
564,130,280,LOAD_FIELD,4304,1
565,130,300,LOAD_FIELD,4249,56
568,130,332,LOAD_FIELD,0,10764
571,130,368,LOAD_FIELD,21527,1
575,131,268,LOAD_FIELD,0,200
584,135,40,LOAD_FIELD,435071,1
584,135,68,LOAD_FIELD,421637,1
584,135,12,LOAD_FIELD,435071,1
584,135,96,LOAD_FIELD,421637,1
587,135,136,LOAD_FIELD,420540,1
588,135,156,LOAD_FIELD,420540,1
593,135,224,LOAD_FIELD,420540,1
594,135,244,LOAD_FIELD,420540,1
595,135,280,LOAD_FIELD,420540,1
595,135,272,LOAD_FIELD,420540,1
597,135,304,LOAD_FIELD,420540,1
598,135,324,LOAD_FIELD,420540,1
599,135,352,LOAD_FIELD,420540,1
599,135,360,LOAD_FIELD,420540,1
656,137,4,LOAD_FIELD,51684,200
659,137,80,LOAD_FIELD,40920,200
661,137,116,LOAD_FIELD,10764,41120
668,139,60,LOAD_FIELD,108614,19813
672,139,136,LOAD_FIELD,0,51884
673,139,168,LOAD_FIELD,0,51884
677,139,280,LOAD_FIELD,51883,1
678,139,328,LOAD_FIELD,51883,1
679,139,376,LOAD_FIELD,9283,42601
680,139,424,LOAD_FIELD,9283,42601
681,139,472,LOAD_FIELD,9259,42625
682,139,520,LOAD_FIELD,9259,42625
689,143,44,LOAD_FIELD,0,200
693,142,44,LOAD_FIELD,10621,143
693,142,12,LOAD_FIELD,41119,1
693,142,56,LOAD_FIELD,10763,1
693,142,16,LOAD_FIELD,0,41120
696,143,108,LOAD_FIELD,0,200
701,145,12,LOAD_FIELD,19999,1
702,145,48,LOAD_FIELD,19999,1
704,145,76,LOAD_FIELD,0,20000
705,145,104,LOAD_FIELD,0,20000
710,145,204,LOAD_FIELD,19999,1
712,145,272,LOAD_FIELD,19999,1
715,145,352,LOAD_FIELD,0,20000
721,147,48,LOAD_FIELD,19999,1
730,152,16,STORE_FIELD,19999,1
731,152,40,STORE_FIELD,19999,1
732,152,64,STORE_FIELD,19999,1
735,153,8,LOAD_FIELD,7396,14132
735,153,4,LOAD_FIELD,21527,1
735,153,20,LOAD_FIELD,21527,1
738,154,4,LOAD_FIELD,10763,1
739,154,24,LOAD_FIELD,10763,1
740,154,44,LOAD_FIELD,3698,7066
741,154,72,LOAD_FIELD,3698,7066
744,154,116,LOAD_FIELD,0,10764
745,154,148,LOAD_FIELD,0,10764
748,154,200,LOAD_FIELD,10416,298
749,154,244,LOAD_FIELD,0,10714
749,154,256,LOAD_FIELD,0,10714
751,154,296,LOAD_FIELD,10416,298
752,154,372,LOAD_FIELD,0,10714
758,154,560,LOAD_FIELD,0,10714
759,154,636,LOAD_FIELD,10713,1
768,154,932,LOAD_FIELD,0,4305
768,154,920,LOAD_FIELD,1529,2776
769,154,968,LOAD_FIELD,1529,2776
769,154,980,LOAD_FIELD,0,4305
771,154,1016,LOAD_FIELD,0,4305
772,154,1048,LOAD_FIELD,0,4305
774,154,1088,LOAD_FIELD,4304,1
775,154,1116,LOAD_FIELD,4304,1
776,154,1144,LOAD_FIELD,4304,1
777,154,1172,LOAD_FIELD,4304,1
778,154,1200,LOAD_FIELD,4304,1
779,154,1228,LOAD_FIELD,4304,1
787,154,1296,LOAD_FIELD,49,1
788,154,1328,LOAD_FIELD,0,50
801,158,16,STORE_FIELD,19999,1
802,158,40,STORE_FIELD,19999,1
813,161,64,LOAD_FIELD,0,100
814,161,88,LOAD_FIELD,99,1
814,161,92,LOAD_FIELD,99,1
