Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses
1,0,4,42,lambda-42,LOAD_FIELD,44556,234181
1,25,4,97,&,LOAD_FIELD,0,3032
1,23,4,96,>=,LOAD_FIELD,9029,18016
1,21,4,95,>,LOAD_FIELD,12002,25
1,19,4,94,<=,LOAD_FIELD,0,2006
1,17,4,93,<,LOAD_FIELD,32497,229628
1,15,12,92,!=,LOAD_FIELD,20041,81289
1,29,4,99,^,LOAD_FIELD,3024,8
1,9,4,89,/,LOAD_FIELD,0,11
1,7,4,88,*,LOAD_FIELD,24128,1005
1,5,4,87,-,LOAD_FIELD,11,17067
1,3,4,86,+,LOAD_FIELD,0,27012
1,2,12,63,lambda-63,LOAD_FIELD,27064,1
1,1,4,43,lambda-43,LOAD_FIELD,2001,2
1,13,4,91,=,LOAD_FIELD,234056,51344
5,93,12,144,_IdEntry.match,LOAD_FIELD,3015,1
5,93,44,144,_IdEntry.match,LOAD_FIELD,3015,1
6,38,24,103,vector_with,LOAD_FIELD,0,6021
7,38,48,103,vector_with,LOAD_FIELD,0,6021
12,94,24,145,IdentityDictionary._new_entry,LOAD_FIELD,0,16
12,71,16,125,Entry.init-values,STORE_FIELD,15,1
13,71,40,125,Entry.init-values,STORE_FIELD,15,1
14,71,64,125,Entry.init-values,STORE_FIELD,15,1
15,39,60,104,empty_vec,LOAD_FIELD,44091,9174
15,71,88,125,Entry.init-values,STORE_FIELD,15,1
16,39,84,104,empty_vec,LOAD_FIELD,9173,44092
17,100,4,155,_Planner._make_plan,LOAD_FIELD,0,5
20,101,4,149,lambda,LOAD_FIELD,119880,280
21,102,20,150,_Plan.execute,LOAD_FIELD,135,5
26,73,36,127,_hash,LOAD_FIELD,3024,8
27,73,76,127,_hash,LOAD_FIELD,3024,8
29,105,4,151,_Planner.incremental_add,LOAD_FIELD,3007,2
30,105,32,151,_Planner.incremental_add,LOAD_FIELD,0,3009
32,44,64,106,Vector.init-values,STORE_FIELD,9019,11
