Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses
1,1,4,43,lambda-43,LOAD_FIELD,0,31
1,3,4,86,+,LOAD_FIELD,8,1
1,13,4,91,=,LOAD_FIELD,17341,1456
1,15,12,92,!=,LOAD_FIELD,16631,4228
8,39,16,103,Element.init-values,STORE_FIELD,30,1
10,40,52,104,Element.length,LOAD_FIELD,8,1
10,40,12,104,Element.length,LOAD_FIELD,9,1
10,40,56,104,Element.length,LOAD_FIELD,0,9
18,42,4,105,List.benchmark,LOAD_FIELD,0,1
20,42,92,105,List.benchmark,LOAD_FIELD,0,1
18,42,16,105,List.benchmark,LOAD_FIELD,0,1
18,42,36,105,List.benchmark,LOAD_FIELD,0,1
18,42,56,105,List.benchmark,LOAD_FIELD,0,1
28,43,96,106,List.make_list,LOAD_FIELD,0,31
28,43,84,106,List.make_list,LOAD_FIELD,30,1
28,43,120,106,List.make_list,STORE_FIELD,30,1
27,43,56,106,List.make_list,LOAD_FIELD,0,31
43,44,96,107,List.is_shorter_than,LOAD_FIELD,18049,1
44,44,116,107,List.is_shorter_than,LOAD_FIELD,18049,1
55,45,120,108,List.tail,LOAD_FIELD,701,1
53,45,44,108,List.tail,LOAD_FIELD,701,1
54,45,76,108,List.tail,LOAD_FIELD,701,1
52,45,32,108,List.tail,LOAD_FIELD,701,1
54,45,88,108,List.tail,LOAD_FIELD,701,1
55,45,108,108,List.tail,LOAD_FIELD,701,1
53,45,56,108,List.tail,LOAD_FIELD,701,1
51,45,4,108,List.tail,LOAD_FIELD,2808,1
64,49,16,0,repl,LOAD_FIELD,0,1
64,49,4,0,repl,LOAD_FIELD,0,1
