Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses
1,0,4,42,lambda-42,LOAD_FIELD,281496,8163551
1,3,4,86,+,LOAD_FIELD,499,25085142
1,5,4,87,-,LOAD_FIELD,468998,8196049
1,7,4,88,*,LOAD_FIELD,8445544,24585144
1,9,4,89,/,LOAD_FIELD,0,250500
1,13,4,91,=,LOAD_FIELD,0,469002
1,17,4,93,<,LOAD_FIELD,499,8595694
1,21,4,95,>,LOAD_FIELD,0,8195047
7,37,4,103,Mandelbrot.inner_benchmark_loop,LOAD_FIELD,0,1
7,37,16,103,Mandelbrot.inner_benchmark_loop,LOAD_FIELD,0,1
7,37,28,103,Mandelbrot.inner_benchmark_loop,LOAD_FIELD,0,1
74,41,884,107,Mandelbrot._mandelbrot,LOAD_FIELD,0,500
62,41,644,107,Mandelbrot._mandelbrot,LOAD_FIELD,249999,7945048
65,41,688,107,Mandelbrot._mandelbrot,LOAD_FIELD,31497,218503
66,41,728,107,Mandelbrot._mandelbrot,LOAD_FIELD,31497,218503
69,41,780,107,Mandelbrot._mandelbrot,LOAD_FIELD,0,31000
75,41,932,107,Mandelbrot._mandelbrot,LOAD_FIELD,0,500
89,44,4,0,repl,LOAD_FIELD,0,1
