Line Number,Bytecode ID,Instruction Index,Instruction,Hits,Misses
1,0,4,LOAD_FIELD,5014,55483
1,25,4,LOAD_FIELD,0,9999
1,23,4,LOAD_FIELD,11009,9301
1,21,4,LOAD_FIELD,24753,9313
1,17,4,LOAD_FIELD,2334,9348
1,15,12,LOAD_FIELD,129856,1
1,29,4,LOAD_FIELD,0,4992
1,9,4,LOAD_FIELD,0,9999
1,5,4,LOAD_FIELD,356,8952
1,3,4,LOAD_FIELD,9307,1
1,1,4,LOAD_FIELD,0,10000
1,13,4,LOAD_FIELD,221294,48591
28,37,24,LOAD_FIELD,0,1
38,40,16,STORE_FIELD,20113,1
46,40,112,LOAD_FIELD,10466,1
54,40,208,STORE_FIELD,10126,1
80,49,28,LOAD_FIELD,18587,1
82,49,72,LOAD_FIELD,9293,1
84,49,116,STORE_FIELD,9293,1
85,49,128,LOAD_FIELD,9293,1
88,49,176,STORE_FIELD,9295,1
91,49,232,LOAD_FIELD,9295,1
94,50,44,LOAD_FIELD,1,1
102,51,40,LOAD_FIELD,11626,1
103,51,56,LOAD_FIELD,2325,2
105,51,80,LOAD_FIELD,9298,2
109,51,112,LOAD_FIELD,23251,1
111,51,156,LOAD_FIELD,2941,1
113,51,188,LOAD_FIELD,20309,1
115,51,248,STORE_FIELD,2324,1
115,51,236,LOAD_FIELD,2324,1
116,51,260,LOAD_FIELD,2324,1
119,51,296,LOAD_FIELD,17984,1
121,51,340,LOAD_FIELD,8684,1
123,51,376,LOAD_FIELD,9299,1
123,51,388,STORE_FIELD,9299,1
124,51,408,LOAD_FIELD,9298,2
124,51,404,LOAD_FIELD,9299,1
124,51,432,STORE_FIELD,9299,1
125,51,448,LOAD_FIELD,2324,6976
125,51,468,STORE_FIELD,9299,1
126,51,480,LOAD_FIELD,9299,1
129,52,44,LOAD_FIELD,1,1
136,53,8,LOAD_FIELD,9999,1
136,53,32,STORE_FIELD,9999,1
136,53,12,LOAD_FIELD,0,10000
137,53,56,LOAD_FIELD,9999,1
138,53,72,LOAD_FIELD,0,1
140,53,124,LOAD_FIELD,9998,1
141,53,180,STORE_FIELD,5006,1
141,53,160,LOAD_FIELD,5006,1
142,53,192,LOAD_FIELD,5006,1
145,53,248,LOAD_FIELD,4991,1
145,53,276,STORE_FIELD,4991,1
146,53,288,LOAD_FIELD,4991,1
149,54,44,LOAD_FIELD,0,1
154,55,24,LOAD_FIELD,0,8
160,56,36,LOAD_FIELD,5,1
160,56,24,LOAD_FIELD,0,6
162,56,88,STORE_FIELD,5,1
163,56,100,LOAD_FIELD,5,1
163,56,104,LOAD_FIELD,5,1
171,57,28,LOAD_FIELD,2326,1
173,57,76,LOAD_FIELD,2326,1
173,57,108,STORE_FIELD,2326,1
175,57,136,STORE_FIELD,2326,1
175,57,124,LOAD_FIELD,2326,1
176,57,160,STORE_FIELD,2326,1
180,57,220,LOAD_FIELD,356,8952
180,57,216,LOAD_FIELD,9307,1
180,57,240,STORE_FIELD,9307,1
181,57,260,LOAD_FIELD,9307,1
181,57,292,STORE_FIELD,356,1
183,57,352,LOAD_FIELD,9307,1
183,57,316,LOAD_FIELD,9306,2
183,57,312,LOAD_FIELD,9307,1
185,57,380,LOAD_FIELD,2326,6982
188,57,416,LOAD_FIELD,2326,1
191,58,44,LOAD_FIELD,0,1
195,59,4,LOAD_FIELD,0,1
196,59,48,LOAD_FIELD,0,1
197,59,88,LOAD_FIELD,0,1
199,59,128,LOAD_FIELD,0,1
200,59,172,LOAD_FIELD,0,1
201,59,212,LOAD_FIELD,0,1
202,59,252,LOAD_FIELD,0,1
204,59,292,LOAD_FIELD,0,1
206,59,336,LOAD_FIELD,0,1
207,59,376,LOAD_FIELD,0,1
208,59,416,LOAD_FIELD,0,1
210,59,456,LOAD_FIELD,0,1
211,59,500,LOAD_FIELD,0,1
212,59,544,LOAD_FIELD,0,1
214,59,588,LOAD_FIELD,0,1
215,59,616,LOAD_FIELD,0,1
215,59,644,LOAD_FIELD,0,1
219,60,8,LOAD_FIELD,33244,1
219,60,4,LOAD_FIELD,33244,1
224,61,12,LOAD_FIELD,0,9297
224,61,32,STORE_FIELD,9296,1
224,61,8,LOAD_FIELD,9296,1
225,61,48,LOAD_FIELD,9294,3
225,61,44,LOAD_FIELD,9296,1
226,61,72,LOAD_FIELD,9296,1
226,61,76,LOAD_FIELD,9296,1
230,62,4,LOAD_FIELD,23245,1
230,62,16,LOAD_FIELD,23245,1
234,62,92,LOAD_FIELD,0,23246
234,62,88,LOAD_FIELD,23245,1
234,62,112,STORE_FIELD,23245,1
236,62,136,STORE_FIELD,23245,1
237,62,164,STORE_FIELD,23245,1
237,62,152,LOAD_FIELD,23245,1
238,62,176,LOAD_FIELD,23241,5
238,62,192,LOAD_FIELD,23245,1
242,63,4,LOAD_FIELD,9998,1
246,63,80,LOAD_FIELD,9998,1
248,63,120,LOAD_FIELD,9998,1
248,63,112,LOAD_FIELD,9998,1
248,63,124,LOAD_FIELD,9998,1
260,65,4,LOAD_FIELD,23247,1
260,65,8,LOAD_FIELD,23243,5
261,65,32,LOAD_FIELD,23247,1
265,66,8,LOAD_FIELD,0,1
265,66,20,STORE_FIELD,0,1
266,66,44,LOAD_FIELD,106604,1
267,66,60,LOAD_FIELD,106603,1
267,66,64,LOAD_FIELD,106598,6
268,66,92,LOAD_FIELD,40813,1
268,66,88,LOAD_FIELD,40813,1
268,66,104,STORE_FIELD,40813,1
271,66,120,LOAD_FIELD,65789,1
271,66,136,STORE_FIELD,65789,1
271,66,124,LOAD_FIELD,65789,1
273,66,196,LOAD_FIELD,65789,1
273,66,220,STORE_FIELD,65789,1
273,66,200,LOAD_FIELD,65784,6
290,72,40,STORE_FIELD,9299,1
290,72,24,LOAD_FIELD,9299,1
290,72,8,LOAD_FIELD,9298,2
294,73,8,LOAD_FIELD,2326,1
294,73,24,LOAD_FIELD,2326,1
294,73,40,STORE_FIELD,2326,1
313,83,16,STORE_FIELD,7,1
314,83,40,STORE_FIELD,7,1
315,83,64,STORE_FIELD,7,1
325,88,4,LOAD_FIELD,5,1
326,89,4,LOAD_FIELD,5,1
327,90,4,LOAD_FIELD,5,1
330,91,16,STORE_FIELD,19295,1
334,92,16,STORE_FIELD,23247,1
338,93,16,STORE_FIELD,8489,1
339,93,40,STORE_FIELD,8489,1
340,93,64,STORE_FIELD,8489,1
345,94,16,STORE_FIELD,14759,2
346,94,40,STORE_FIELD,14759,2
347,94,64,STORE_FIELD,14759,2
352,95,16,STORE_FIELD,1,1
353,95,40,STORE_FIELD,1,1
354,95,64,STORE_FIELD,1,1
359,96,16,STORE_FIELD,2,1
360,96,40,STORE_FIELD,2,1
361,96,64,STORE_FIELD,2,1
366,97,4,LOAD_FIELD,106603,1
366,97,20,LOAD_FIELD,101041,2
366,97,16,LOAD_FIELD,101042,1
366,97,40,LOAD_FIELD,59879,1
370,98,16,LOAD_FIELD,41162,1
370,98,28,LOAD_FIELD,23249,1
370,98,32,LOAD_FIELD,23249,1
370,98,4,LOAD_FIELD,65789,1
377,100,24,LOAD_FIELD,0,1
382,101,24,LOAD_FIELD,0,2
387,102,24,LOAD_FIELD,0,3
405,113,16,STORE_FIELD,5,1
406,113,40,STORE_FIELD,5,1
407,113,64,STORE_FIELD,5,1
408,113,88,STORE_FIELD,5,1
409,113,112,STORE_FIELD,5,1
410,113,136,STORE_FIELD,5,1
412,113,152,LOAD_FIELD,0,6
412,113,172,STORE_FIELD,5,1
413,113,188,LOAD_FIELD,0,6
413,113,208,STORE_FIELD,5,1
414,113,224,LOAD_FIELD,0,6
414,113,244,STORE_FIELD,5,1
418,114,16,LOAD_FIELD,23245,1
419,114,44,STORE_FIELD,14758,1
420,114,68,STORE_FIELD,14758,1
421,114,88,LOAD_FIELD,14758,1
421,114,96,LOAD_FIELD,14758,1
425,114,168,STORE_FIELD,8486,1
425,114,136,LOAD_FIELD,8485,2
425,114,152,LOAD_FIELD,8486,1
431,115,4,LOAD_FIELD,65784,6
432,115,24,LOAD_FIELD,23249,1
433,115,60,STORE_FIELD,23249,1
433,115,48,LOAD_FIELD,23249,1
434,115,100,LOAD_FIELD,14755,5
434,115,120,LOAD_FIELD,8485,5
434,115,84,LOAD_FIELD,23249,1
438,115,156,LOAD_FIELD,65789,1
438,115,172,LOAD_FIELD,65789,1
452,120,60,LOAD_FIELD,29,9
453,120,84,LOAD_FIELD,8,30
460,122,24,LOAD_FIELD,0,1
